,mu,sd,skew,kurt,p10,p50,p90,prDec,prInc
10dayR2,0.0003,0.0,0.0037,0.0025,0.0,0.002,0.0001,0.0001,0.0001
30dayR2,0.0,0.0072,0.0071,0.0016,0.0056,0.0001,0.0123,0.0082,0.0112
50dayR2,0.0066,0.0172,0.0023,0.0,0.0162,0.001,0.0204,0.0215,0.0188
80dayR2,0.0053,0.0218,0.0031,0.0005,0.0199,0.0002,0.0263,0.0245,0.0244
110dayR2,0.0193,0.031,0.0038,0.0042,0.0325,0.0007,0.0325,0.0363,0.0314
130dayR2,0.0233,0.0366,0.0023,0.0023,0.0381,0.0007,0.0376,0.0441,0.0367
150dayR2,0.0335,0.0423,0.0055,0.0048,0.0449,0.0027,0.0433,0.054,0.0439
180dayR2,0.0589,0.0669,0.0018,0.0035,0.074,0.0023,0.0648,0.0896,0.0647
10dayPvalues,0.6841,0.931,0.1321,0.2185,0.9064,0.2672,0.7842,0.8014,0.8387
30dayPvalues,0.8937,0.0355,0.0369,0.3301,0.0654,0.7724,0.006,0.0252,0.0088
50dayPvalues,0.0445,0.0011,0.2329,0.9413,0.0016,0.4444,0.0004,0.0003,0.0007
80dayPvalues,0.0724,0.0003,0.1671,0.5731,0.0005,0.7471,0.0001,0.0001,0.0001
110dayPvalues,0.0006,0.0,0.1272,0.1098,0.0,0.5119,0.0,0.0,0.0
130dayPvalues,0.0002,0.0,0.2312,0.2349,0.0,0.5271,0.0,0.0,0.0
150dayPvalues,0.0,0.0,0.0674,0.0864,0.0,0.1953,0.0,0.0,0.0
180dayPvalues,0.0,0.0,0.2931,0.1453,0.0,0.2403,0.0,0.0,0.0
