,mu,sd,skew,kurt,p10,p50,p90,prDec,prInc
10dayR2,0.0022,0.0011,0.0089,0.0098,0.0013,0.0059,0.0021,0.003,0.0015
30dayR2,0.0001,0.0201,0.0053,0.0027,0.0149,0.002,0.0297,0.0183,0.0275
50dayR2,0.0014,0.0399,0.0006,0.0001,0.0305,0.0045,0.0523,0.033,0.0487
80dayR2,0.0009,0.0459,0.0002,0.0002,0.035,0.0103,0.0593,0.0377,0.0563
110dayR2,0.0032,0.0458,0.0006,0.0064,0.0368,0.0026,0.0603,0.0453,0.0578
130dayR2,0.0046,0.0483,0.0011,0.009,0.0382,0.0006,0.0644,0.0533,0.0622
150dayR2,0.0042,0.055,0.0005,0.0095,0.0439,0.0025,0.0723,0.0583,0.0703
180dayR2,0.0188,0.1068,0.0044,0.0023,0.0942,0.0094,0.1201,0.103,0.1159
,,,,,,,,,
10dayPvalues,0.2505,0.4032,0.0195,0.0145,0.3818,0.0568,0.2589,0.1756,0.3402
30dayPvalues,0.8193,0.0004,0.0732,0.1954,0.0025,0.2689,0,0.0008,0
50dayPvalues,0.3605,0,0.5481,0.8599,0,0.0968,0,0,0
80dayPvalues,0.4704,0,0.6989,0.7326,0,0.0121,0,0,0
110dayPvalues,0.1621,0,0.5326,0.048,0,0.208,0,0,0
130dayPvalues,0.0947,0,0.4087,0.019,0,0.5504,0,0,0
150dayPvalues,0.1094,0,0.5758,0.016,0,0.221,0,0,0
180dayPvalues,0.0007,0,0.1002,0.2351,0,0.0163,0,0,0
