,mu,sd,skew,kurt,p10,p50,p90,prDec,prInc
10dayR2,0.0023,0.0014,0.0026,0.0244,0.0025,0.0025,0.0001,0.001,0.0015
30dayR2,0.0,0.0042,0.0102,0.0396,0.0049,0.0028,0.004,0.0103,0.0111
50dayR2,0.0001,0.0141,0.0097,0.0429,0.0108,0.0036,0.0166,0.0231,0.0324
80dayR2,0.0001,0.0441,0.0037,0.0647,0.0274,0.0031,0.0583,0.0483,0.0814
110dayR2,0.003,0.0401,0.0002,0.0608,0.0226,0.0,0.0619,0.047,0.0749
130dayR2,0.0024,0.0262,0.0,0.0427,0.0138,0.0002,0.0448,0.0326,0.053
150dayR2,0.0011,0.0197,0.0004,0.0357,0.0087,0.0005,0.0406,0.0233,0.0446
180dayR2,0.0005,0.0108,0.0007,0.024,0.0035,0.0022,0.0317,0.0147,0.0266
10dayPvalues,0.2491,0.3582,0.2162,0.0002,0.224,0.2234,0.8132,0.4364,0.3467
30dayPvalues,0.9229,0.1178,0.0146,0.0,0.0924,0.2009,0.1264,0.0141,0.0109
50dayPvalues,0.8054,0.004,0.0173,0.0,0.0117,0.1491,0.0018,0.0002,0.0
80dayPvalues,0.801,0.0,0.1433,0.0,0.0001,0.1754,0.0,0.0,0.0
110dayPvalues,0.1829,0.0,0.7382,0.0,0.0003,0.9201,0.0,0.0,0.0
130dayPvalues,0.2388,0.0001,0.9473,0.0,0.0044,0.7569,0.0,0.0,0.0
150dayPvalues,0.424,0.0007,0.6337,0.0,0.0237,0.5833,0.0,0.0002,0.0
180dayPvalues,0.594,0.0117,0.5187,0.0002,0.1521,0.2599,0.0,0.0034,0.0001
