,mu,sd,skew,kurt,p10,p50,p90,prDec,prInc
10dayR2,0.0041,0.0005,0.0021,0.0006,0.0009,0,0.0001,0.0022,0.0004
30dayR2,0.013,0.0002,0.002,0.0007,0,0.0019,0.0014,0.0005,0.0004
50dayR2,0.0168,0.0046,0.0005,0.0033,0.002,0.0062,0.0079,0.0005,0.0031
80dayR2,0.0348,0.0214,0.0003,0.0108,0.0134,0.0252,0.0302,0.01,0.0141
110dayR2,0.0472,0.0393,0.0007,0.0129,0.0262,0.0369,0.0538,0.0208,0.0272
130dayR2,0.0624,0.0446,0.0026,0.0159,0.0294,0.051,0.0616,0.0223,0.0261
150dayR2,0.0712,0.0512,0.0033,0.0148,0.0337,0.0566,0.071,0.0249,0.029
180dayR2,0.0813,0.0644,0.0075,0.0192,0.0436,0.0712,0.0875,0.0329,0.032
,,,,,,,,,
10dayPvalues,0.1248,0.5911,0.2684,0.5524,0.4621,0.9221,0.8408,0.2554,0.6345
30dayPvalues,0.006,0.7062,0.2829,0.5281,0.9199,0.2922,0.3729,0.6081,0.6304
50dayPvalues,0.0018,0.1043,0.5875,0.1653,0.2861,0.0575,0.0321,0.6068,0.1778
80dayPvalues,0,0.0004,0.6919,0.0122,0.0053,0.0001,0,0.0161,0.0042
110dayPvalues,0,0,0.5262,0.0062,0.0001,0,0,0.0005,0.0001
130dayPvalues,0,0,0.2167,0.0024,0,0,0,0.0003,0.0001
150dayPvalues,0,0,0.1692,0.0034,0,0,0,0.0001,0
180dayPvalues,0,0,0.0367,0.0008,0,0,0,0,0
