,mu,sd,skew,kurt,p10,p50,p90,prDec,prInc
10dayR2,0.0019,0,0.0029,0.0015,0.0001,0.0027,0,0.0005,0.0001
30dayR2,0.0168,0.001,0.0098,0.0001,0.0001,0.0176,0.0027,0,0.0043
50dayR2,0.0204,0.0017,0.0134,0,0.0001,0.026,0.0043,0.0001,0.0063
80dayR2,0.0117,0.004,0.0045,0.0008,0.0008,0.0162,0.0075,0.0001,0.0078
110dayR2,0.0189,0.0112,0.0026,0,0.0052,0.0178,0.0183,0.0026,0.0176
130dayR2,0.0286,0.0182,0.0053,0.0004,0.0082,0.0311,0.0308,0.0055,0.0313
150dayR2,0.0269,0.0276,0.0012,0.0018,0.0159,0.0219,0.0408,0.0132,0.0385
180dayR2,0.0208,0.0386,0.0004,0.0127,0.0279,0.0104,0.0534,0.0248,0.044
,,,,,,,,,
10dayPvalues,0.2993,0.9927,0.1911,0.3559,0.7841,0.207,0.9876,0.5889,0.7977
30dayPvalues,0.0017,0.4423,0.0167,0.8614,0.8295,0.0013,0.2096,0.9446,0.1119
50dayPvalues,0.0005,0.3178,0.0051,0.9081,0.8002,0.0001,0.1114,0.8479,0.0558
80dayPvalues,0.0089,0.1282,0.1052,0.4977,0.4985,0.002,0.0367,0.8453,0.0331
110dayPvalues,0.0009,0.0105,0.2168,0.9075,0.081,0.0012,0.001,0.2188,0.0013
130dayPvalues,0,0.0011,0.0802,0.626,0.0287,0,0,0.0737,0
150dayPvalues,0.0001,0.0001,0.3988,0.3085,0.0023,0.0003,0,0.0054,0
180dayPvalues,0.0005,0,0.6184,0.0063,0.0001,0.0137,0,0.0001,0
