,mu,sd,skew,kurt,p10,p50,p90,prDec,prInc
10dayR2,0.0082,0.0083,0.0003,0.006,0.0086,0.0001,0.0081,0.0061,0.0071
30dayR2,0.0767,0.1075,0.0168,0.0127,0.1135,0.0409,0.0992,0.0604,0.085
50dayR2,0.1422,0.1822,0.0291,0.0218,0.1915,0.0481,0.1727,0.1182,0.1516
80dayR2,0.1798,0.2312,0.0372,0.0255,0.2372,0.0368,0.2251,0.1789,0.201
110dayR2,0.1612,0.2242,0.0607,0.0249,0.2305,0.0465,0.2195,0.1921,0.1946
130dayR2,0.1634,0.2247,0.0614,0.0437,0.2319,0.0411,0.2237,0.2104,0.1994
150dayR2,0.1645,0.2289,0.0377,0.0754,0.2345,0.0283,0.2345,0.2259,0.2093
180dayR2,0.2021,0.2556,0.02,0.1228,0.2618,0.0152,0.2653,0.2661,0.2391
,,,,,,,,,
10dayPvalues,0.0739,0.0717,0.73,0.1243,0.066,0.8797,0.0754,0.1215,0.0953
30dayPvalues,0,0,0.0101,0.0259,0,0.0001,0,0,0
50dayPvalues,0,0,0.0007,0.0034,0,0,0,0,0
80dayPvalues,0,0,0.0001,0.0015,0,0.0001,0,0,0
110dayPvalues,0,0,0,0.0017,0,0,0,0,0
130dayPvalues,0,0,0,0,0,0.0001,0,0,0
150dayPvalues,0,0,0.0001,0,0,0.0008,0,0,0
180dayPvalues,0,0,0.005,0,0,0.0146,0,0,0
