,mu,sd,skew,kurt,p10,p50,p90,prDec,prInc
10dayR2,0.0065,0.0042,0.0032,0.0006,0.0017,0.0005,0.0079,0.0015,0.0099
30dayR2,0.0112,0.0343,0.0023,0.0042,0.0268,0.0069,0.0415,0.0245,0.0401
50dayR2,0.0203,0.0633,0.0099,0.0094,0.0532,0.0213,0.0728,0.0508,0.0686
80dayR2,0.0457,0.0621,0.0137,0.0115,0.049,0.0339,0.0752,0.0425,0.0534
110dayR2,0.0456,0.0602,0.0246,0.0263,0.0471,0.041,0.0706,0.0405,0.0411
130dayR2,0.0646,0.0539,0.0278,0.0273,0.0413,0.054,0.0646,0.0359,0.034
150dayR2,0.0788,0.0559,0.0278,0.0328,0.0409,0.0575,0.069,0.0366,0.0363
180dayR2,0.0862,0.0782,0.0544,0.0673,0.0605,0.0824,0.0904,0.0544,0.0456
10dayPvalues,0.0532,0.1199,0.1757,0.5526,0.3167,0.5889,0.0324,0.3597,0.0165
30dayPvalues,0.0107,0.0,0.2503,0.1204,0.0001,0.0462,0.0,0.0002,0.0
50dayPvalues,0.0006,0.0,0.0164,0.0195,0.0,0.0004,0.0,0.0,0.0
80dayPvalues,0.0,0.0,0.0048,0.0098,0.0,0.0,0.0,0.0,0.0
110dayPvalues,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0
130dayPvalues,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0
150dayPvalues,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
180dayPvalues,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
