,mu,sd,skew,kurt,p10,p50,p90,prDec,prInc
10dayR2,0,0.0037,0.001,0.0117,0.0014,0.0016,0.005,0.0018,0.0009
30dayR2,0.0045,0.006,0.0147,0.0099,0.0096,0.002,0.0002,0.0054,0.0055
50dayR2,0.0027,0.0158,0.019,0.0116,0.0187,0.0035,0.003,0.0107,0.0104
80dayR2,0.0074,0.0265,0.0089,0.0062,0.0279,0.0001,0.0089,0.0181,0.0177
110dayR2,0.0102,0.025,0.0031,0.0013,0.0272,0,0.0114,0.0144,0.0162
130dayR2,0.0034,0.0131,0.0008,0.0018,0.0148,0.0007,0.0041,0.0032,0.0062
150dayR2,0.0015,0.0059,0.0001,0.0015,0.0069,0.0003,0.0011,0.0002,0.0021
180dayR2,0.0027,0.002,0.0037,0.0011,0.0027,0.0015,0.0002,0,0.0003
,,,,,,,,,
10dayPvalues,0.9413,0.1424,0.4574,0.009,0.3639,0.3394,0.0899,0.3066,0.4779
30dayPvalues,0.1064,0.0624,0.0034,0.0163,0.0182,0.2829,0.7482,0.0775,0.0747
50dayPvalues,0.2139,0.0024,0.0009,0.0093,0.0009,0.1562,0.1836,0.0125,0.0139
80dayPvalues,0.0386,0.0001,0.0226,0.0575,0.0001,0.8269,0.0228,0.0012,0.0013
110dayPvalues,0.015,0.0001,0.1765,0.3926,0.0001,0.9935,0.0098,0.0038,0.0021
130dayPvalues,0.1594,0.0056,0.4857,0.3021,0.0033,0.5384,0.1243,0.1743,0.0568
150dayPvalues,0.3572,0.0651,0.7701,0.3577,0.0454,0.6682,0.4235,0.707,0.2754
180dayPvalues,0.2135,0.2844,0.1413,0.4261,0.2133,0.346,0.7604,0.9748,0.6645
