,mu,sd,skew,kurt,p10,p50,p90,prDec,prInc
10dayR2,0.0005,0.0002,0.0024,0.0094,0.0004,0.0009,0.0002,0.0005,0
30dayR2,0.0139,0.0146,0.0013,0.0137,0.0077,0.0007,0.0194,0.0125,0.0203
50dayR2,0.0134,0.0481,0,0.009,0.0274,0,0.0574,0.0348,0.0641
80dayR2,0.0031,0.0716,0.0037,0.0016,0.0431,0.0018,0.0816,0.0481,0.0848
110dayR2,0.0011,0.0731,0.0112,0.0025,0.042,0.0108,0.0866,0.0487,0.0764
130dayR2,0.0062,0.0564,0.0133,0.0037,0.0299,0.0173,0.0718,0.0382,0.0583
150dayR2,0.0107,0.0435,0.0092,0.0036,0.0248,0.0152,0.0546,0.0317,0.0401
180dayR2,0.0062,0.0441,0.0005,0.0002,0.0357,0.0031,0.0437,0.0414,0.0321
,,,,,,,,,
10dayPvalues,0.5849,0.7446,0.2336,0.0191,0.6375,0.4753,0.7375,0.5806,0.9761
30dayPvalues,0.0042,0.0034,0.3876,0.0046,0.0341,0.5124,0.0007,0.0067,0.0005
50dayPvalues,0.0051,0,0.8937,0.0218,0.0001,0.9559,0,0,0
80dayPvalues,0.1792,0,0.1427,0.3351,0,0.3065,0,0,0
110dayPvalues,0.4228,0,0.0104,0.2289,0,0.012,0,0,0
130dayPvalues,0.0576,0,0.0052,0.1414,0,0.0014,0,0,0
150dayPvalues,0.0123,0,0.0201,0.1468,0.0001,0.0028,0,0,0
180dayPvalues,0.0563,0,0.6065,0.7475,0,0.1797,0,0,0
