,mu,sd,skew,kurt,p10,p50,p90,prDec,prInc
10dayR2,0,0.0001,0.0015,0.0023,0,0.0002,0,0,0.0001
30dayR2,0.0025,0.0101,0.002,0.0006,0.0088,0.0067,0.0062,0.0081,0.0076
50dayR2,0.0052,0.0135,0.0059,0.0019,0.0124,0.0093,0.0068,0.0106,0.0088
80dayR2,0.0071,0.0185,0.0046,0.0012,0.0174,0.0105,0.0104,0.0137,0.0143
110dayR2,0.0149,0.0237,0.0035,0.0014,0.023,0.0048,0.0132,0.0161,0.0219
130dayR2,0.0151,0.0265,0.0036,0.0014,0.0257,0.0052,0.0154,0.0178,0.0255
150dayR2,0.0174,0.0266,0.0044,0.0027,0.0257,0.0032,0.0151,0.0168,0.0276
180dayR2,0.0282,0.0379,0.0028,0.001,0.038,0.0019,0.0225,0.0266,0.0402
,,,,,,,,,
10dayPvalues,0.9514,0.7913,0.3051,0.2114,0.9842,0.6841,0.8964,0.9434,0.8074
30dayPvalues,0.1882,0.0087,0.2394,0.5318,0.0139,0.0323,0.0392,0.0187,0.0228
50dayPvalues,0.0596,0.0024,0.044,0.2566,0.0035,0.0118,0.0316,0.007,0.014
80dayPvalues,0.0279,0.0004,0.0749,0.3755,0.0005,0.0072,0.0077,0.0022,0.0017
110dayPvalues,0.0014,0.0001,0.12,0.3327,0.0001,0.0714,0.0026,0.0009,0.0001
130dayPvalues,0.0013,0,0.1189,0.3365,0,0.0588,0.0011,0.0005,0
150dayPvalues,0.0005,0,0.0814,0.176,0,0.1385,0.0013,0.0007,0
180dayPvalues,0,0,0.165,0.4108,0,0.2543,0.0001,0,0
