,mu,sd,skew,kurt,p10,p50,p90,prDec,prInc
10dayR2,0.0003,0.0021,0,0.0001,0.0009,0.0001,0.0064,0.0018,0.0034
30dayR2,0.0001,0.0102,0.0008,0.0015,0.0026,0.0029,0.0428,0.0162,0.0278
50dayR2,0.0032,0.0182,0.0017,0.0128,0.0058,0.0048,0.0576,0.0269,0.029
80dayR2,0.0331,0.0626,0.0001,0.0129,0.0334,0.0004,0.1036,0.0645,0.0498
110dayR2,0.0569,0.086,0.0002,0.0191,0.0501,0.0008,0.1206,0.0855,0.0713
130dayR2,0.0655,0.0958,0.0009,0.0217,0.0601,0,0.1122,0.0883,0.0738
150dayR2,0.0774,0.1006,0.0012,0.0258,0.066,0.0001,0.105,0.089,0.0654
180dayR2,0.0972,0.1112,0.0001,0.0258,0.0704,0.0001,0.1234,0.0864,0.075
,,,,,,,,,
10dayPvalues,0.664,0.2659,0.8794,0.8397,0.4598,0.7933,0.0537,0.3092,0.1577
30dayPvalues,0.8635,0.0144,0.4966,0.3426,0.2152,0.1967,0,0.002,0.0001
50dayPvalues,0.1707,0.0011,0.3222,0.0062,0.066,0.0935,0,0.0001,0
80dayPvalues,0,0,0.8497,0.0059,0,0.6291,0,0,0
110dayPvalues,0,0,0.75,0.0008,0,0.4923,0,0,0
130dayPvalues,0,0,0.4757,0.0003,0,0.9304,0,0,0
150dayPvalues,0,0,0.402,0.0001,0,0.7843,0,0,0
180dayPvalues,0,0,0.7691,0.0001,0,0.7822,0,0,0
