,mu,sd,skew,kurt,p10,p50,p90,prDec,prInc
10dayR2,0.0006,0.0009,0.0081,0.0044,0.0009,0.0029,0.0006,0.0017,0.0
30dayR2,0.0004,0.0004,0.0205,0.0016,0.0001,0.0049,0.0005,0.0002,0.0022
50dayR2,0.0006,0.0029,0.0208,0.0031,0.0012,0.0013,0.0039,0.0021,0.0074
80dayR2,0.0024,0.0078,0.0196,0.0046,0.0039,0.0002,0.01,0.0039,0.0108
110dayR2,0.0033,0.0129,0.0257,0.0074,0.0071,0.0002,0.0161,0.005,0.0142
130dayR2,0.0063,0.0153,0.0287,0.0082,0.0081,0.0,0.0198,0.006,0.0172
150dayR2,0.0064,0.0215,0.0266,0.0093,0.0127,0.0,0.0263,0.0099,0.0216
180dayR2,0.0079,0.0253,0.0235,0.0118,0.0149,0.0001,0.0306,0.011,0.0221
10dayPvalues,0.5407,0.4659,0.0308,0.1112,0.4712,0.1941,0.5591,0.3265,0.8931
30dayPvalues,0.616,0.6357,0.0005,0.3432,0.8223,0.0914,0.5953,0.7315,0.2621
50dayPvalues,0.5595,0.1924,0.0005,0.1841,0.409,0.3824,0.132,0.2764,0.0389
80dayPvalues,0.2403,0.0339,0.0007,0.1033,0.1315,0.7388,0.016,0.1335,0.0122
110dayPvalues,0.1643,0.0061,0.0001,0.0381,0.0421,0.7304,0.0022,0.0897,0.0041
130dayPvalues,0.0564,0.0029,0.0,0.0291,0.0308,0.9693,0.0007,0.0619,0.0015
150dayPvalues,0.0543,0.0004,0.0001,0.0204,0.0067,0.9842,0.0001,0.0166,0.0004
180dayPvalues,0.0323,0.0001,0.0002,0.0089,0.0032,0.8071,0.0,0.0117,0.0003
