,mu,sd,skew,kurt,p10,p50,p90,prDec,prInc
10dayR2,0.0006,0.0021,0.0046,0.0039,0.0021,0.001,0.0035,0.0028,0.0032
30dayR2,0.0001,0.0128,0.0047,0.0006,0.0104,0.0,0.019,0.0144,0.0173
50dayR2,0.0098,0.0231,0.0022,0.0,0.0222,0.001,0.0265,0.0297,0.025
80dayR2,0.0092,0.0297,0.0042,0.0015,0.0282,0.0002,0.0348,0.0332,0.033
110dayR2,0.0274,0.0376,0.0064,0.0081,0.0407,0.0014,0.0391,0.0442,0.0384
130dayR2,0.0337,0.0419,0.005,0.0053,0.0448,0.0023,0.0427,0.0522,0.0425
150dayR2,0.0462,0.0521,0.0078,0.0078,0.0565,0.0042,0.0529,0.0672,0.054
180dayR2,0.0707,0.0774,0.0041,0.0079,0.0869,0.0029,0.0756,0.1023,0.0765
10dayPvalues,0.5361,0.2534,0.0939,0.1235,0.26,0.4335,0.1429,0.1937,0.1653
30dayPvalues,0.8119,0.0053,0.0925,0.5604,0.0118,0.9675,0.0006,0.003,0.0011
50dayPvalues,0.015,0.0002,0.2469,0.956,0.0002,0.4295,0.0001,0.0,0.0001
80dayPvalues,0.0191,0.0,0.1124,0.3433,0.0,0.7028,0.0,0.0,0.0
110dayPvalues,0.0001,0.0,0.0515,0.0286,0.0,0.3615,0.0,0.0,0.0
130dayPvalues,0.0,0.0,0.0877,0.079,0.0,0.2513,0.0,0.0,0.0
150dayPvalues,0.0,0.0,0.0327,0.0337,0.0,0.1185,0.0,0.0,0.0
180dayPvalues,0.0,0.0,0.1263,0.0324,0.0,0.2006,0.0,0.0,0.0
