,mu,sd,skew,kurt,p10,p50,p90,prDec,prInc
10dayR2,0.0045,0.0051,0.0075,0.0144,0.0058,0.0039,0.0071,0.0075,0.0058
30dayR2,0.0016,0.0303,0.0034,0.0032,0.0251,0.0025,0.0404,0.027,0.0372
50dayR2,0.0032,0.0556,0.0,0.0,0.0444,0.0066,0.0694,0.0445,0.0643
80dayR2,0.0021,0.0594,0.0005,0.0001,0.0471,0.0122,0.0748,0.0477,0.0714
110dayR2,0.0073,0.0572,0.0004,0.0083,0.0485,0.0021,0.072,0.056,0.0696
130dayR2,0.0085,0.0607,0.001,0.0113,0.0498,0.0003,0.0785,0.0657,0.0765
150dayR2,0.0093,0.0737,0.0002,0.0116,0.0617,0.0023,0.0928,0.0774,0.0909
180dayR2,0.0279,0.1328,0.0063,0.0041,0.1206,0.011,0.1463,0.1256,0.1419
10dayPvalues,0.0961,0.0775,0.0323,0.003,0.0607,0.124,0.0372,0.0322,0.0608
30dayPvalues,0.3221,0.0,0.1529,0.1641,0.0001,0.2196,0.0,0.0,0.0
50dayPvalues,0.1623,0.0,0.8909,0.9999,0.0,0.0456,0.0,0.0,0.0
80dayPvalues,0.2679,0.0,0.5866,0.8538,0.0,0.0068,0.0,0.0,0.0
110dayPvalues,0.0379,0.0,0.6071,0.0269,0.0,0.2708,0.0,0.0,0.0
130dayPvalues,0.0257,0.0,0.4352,0.01,0.0,0.6538,0.0,0.0,0.0
150dayPvalues,0.0197,0.0,0.7244,0.0092,0.0,0.2453,0.0,0.0,0.0
180dayPvalues,0.0001,0.0,0.0576,0.1267,0.0,0.0119,0.0,0.0,0.0
