,mu,sd,skew,kurt,p10,p50,p90,prDec,prInc
10dayR2,0.0068,0.0001,0.0003,0.0001,0.0,0.0011,0.0006,0.0001,0.0004
30dayR2,0.0138,0.0008,0.0004,0.0026,0.0001,0.0039,0.0023,0.0,0.0009
50dayR2,0.0185,0.0059,0.0001,0.0049,0.0028,0.0082,0.0096,0.001,0.0039
80dayR2,0.0374,0.026,0.0008,0.0141,0.0167,0.0297,0.0356,0.0137,0.0178
110dayR2,0.0482,0.0454,0.0008,0.015,0.0308,0.0388,0.0611,0.026,0.0335
130dayR2,0.0611,0.0511,0.0033,0.0184,0.0346,0.0531,0.0688,0.0278,0.031
150dayR2,0.0717,0.0586,0.0042,0.0171,0.0395,0.0608,0.0794,0.0311,0.0344
180dayR2,0.0835,0.0729,0.0083,0.0228,0.05,0.0755,0.0973,0.0395,0.0382
10dayPvalues,0.0476,0.8414,0.6925,0.8074,0.9282,0.4274,0.5648,0.8008,0.6154
30dayPvalues,0.0047,0.4961,0.6216,0.2256,0.8456,0.1335,0.2505,0.8932,0.4779
50dayPvalues,0.0011,0.0675,0.7852,0.0959,0.2105,0.0309,0.0192,0.4585,0.1368
80dayPvalues,0.0,0.0001,0.5112,0.0047,0.0021,0.0,0.0,0.0053,0.0015
110dayPvalues,0.0,0.0,0.5076,0.0038,0.0,0.0,0.0,0.0001,0.0
130dayPvalues,0.0,0.0,0.1795,0.0014,0.0,0.0,0.0,0.0001,0.0
150dayPvalues,0.0,0.0,0.1305,0.0021,0.0,0.0,0.0,0.0,0.0
180dayPvalues,0.0,0.0,0.0338,0.0004,0.0,0.0,0.0,0.0,0.0
