,mu,sd,skew,kurt,p10,p50,p90,prDec,prInc
10dayR2,0.0085,0.0006,0.008,0.0005,0.0012,0.0098,0.0003,0.0024,0.0
30dayR2,0.0153,0.0,0.0118,0.0,0.0007,0.0207,0.0004,0.0014,0.0011
50dayR2,0.0226,0.0007,0.0136,0.0001,0.0,0.0281,0.003,0.0004,0.0042
80dayR2,0.014,0.0021,0.0066,0.001,0.0001,0.0202,0.0047,0.0001,0.0053
110dayR2,0.0189,0.0075,0.0024,0.0001,0.003,0.0189,0.0136,0.0011,0.0128
130dayR2,0.0285,0.0139,0.0049,0.0009,0.0057,0.0325,0.0253,0.0035,0.0253
150dayR2,0.0256,0.0231,0.0006,0.0027,0.0132,0.0205,0.0348,0.011,0.0316
180dayR2,0.0194,0.0335,0.0011,0.0173,0.0247,0.0095,0.0477,0.0221,0.0374
10dayPvalues,0.0262,0.5579,0.031,0.5767,0.3953,0.0167,0.6678,0.2325,0.9232
30dayPvalues,0.0029,0.9319,0.009,0.8706,0.528,0.0005,0.6352,0.3613,0.4278
50dayPvalues,0.0003,0.5122,0.0051,0.7724,0.9818,0.0001,0.1903,0.6205,0.1201
80dayPvalues,0.0047,0.2798,0.0529,0.4608,0.7996,0.0007,0.1009,0.7859,0.0834
110dayPvalues,0.0011,0.0407,0.2436,0.865,0.1941,0.0011,0.0056,0.4313,0.0072
130dayPvalues,0.0001,0.0052,0.0976,0.4812,0.0759,0.0,0.0002,0.1628,0.0002
150dayPvalues,0.0002,0.0003,0.5712,0.2262,0.0067,0.0007,0.0,0.0135,0.0
180dayPvalues,0.0011,0.0,0.4456,0.002,0.0002,0.0225,0.0,0.0005,0.0
