,mu,sd,skew,kurt,p10,p50,p90,prDec,prInc
10dayR2,0.0016,0.0015,0.0,0.0,0.001,0.0005,0.0006,0.002,0.0009
30dayR2,0.0091,0.0123,0.0007,0.0,0.0128,0.0,0.0042,0.0118,0.0059
50dayR2,0.0162,0.0153,0.0017,0.0,0.0171,0.0001,0.0038,0.0144,0.0057
80dayR2,0.0332,0.0209,0.0019,0.0,0.0258,0.0028,0.0043,0.0197,0.0045
110dayR2,0.0527,0.0291,0.0018,0.0,0.0369,0.0084,0.0067,0.0254,0.0047
130dayR2,0.0554,0.0317,0.0024,0.0001,0.0398,0.0075,0.0078,0.0266,0.0053
150dayR2,0.0579,0.0337,0.0035,0.0004,0.0418,0.0074,0.0087,0.0272,0.0055
180dayR2,0.0784,0.04,0.0026,0.0,0.053,0.0121,0.0103,0.0355,0.0055
10dayPvalues,0.2949,0.3198,0.9539,0.9731,0.3996,0.5409,0.5323,0.2453,0.4401
30dayPvalues,0.0128,0.0038,0.5026,0.9176,0.0031,0.8593,0.0928,0.0045,0.0448
50dayPvalues,0.0009,0.0013,0.2896,0.9092,0.0007,0.8522,0.1099,0.0018,0.049
80dayPvalues,0.0,0.0002,0.2662,0.9764,0.0,0.1698,0.0919,0.0003,0.0821
110dayPvalues,0.0,0.0,0.2797,0.956,0.0,0.0186,0.0356,0.0,0.0772
130dayPvalues,0.0,0.0,0.2067,0.8152,0.0,0.0264,0.0233,0.0,0.0623
150dayPvalues,0.0,0.0,0.1301,0.5988,0.0,0.0277,0.0171,0.0,0.0589
180dayPvalues,0.0,0.0,0.1907,0.9939,0.0,0.0051,0.0096,0.0,0.0601
