,mu,sd,skew,kurt,p10,p50,p90,prDec,prInc
10dayR2,0.0002,0.0002,0.0054,0.0012,0.0003,0.0013,0.0001,0.0004,0.0001
30dayR2,0.0,0.0008,0.0161,0.0032,0.0002,0.0018,0.001,0.0004,0.0026
50dayR2,0.0021,0.0033,0.0188,0.004,0.0012,0.0003,0.0046,0.002,0.0075
80dayR2,0.0024,0.0098,0.0187,0.0053,0.0056,0.0002,0.0119,0.0056,0.0126
110dayR2,0.0019,0.0143,0.0302,0.0094,0.0088,0.0015,0.0165,0.006,0.0151
130dayR2,0.0041,0.0175,0.0336,0.0101,0.0106,0.0009,0.0209,0.0081,0.0191
150dayR2,0.0047,0.0234,0.0327,0.0117,0.0151,0.0007,0.027,0.0115,0.0231
180dayR2,0.0077,0.0266,0.0298,0.014,0.0169,0.0003,0.031,0.0117,0.0227
10dayPvalues,0.7311,0.7372,0.077,0.4111,0.6968,0.3856,0.801,0.6413,0.8617
30dayPvalues,0.8937,0.5033,0.0023,0.1724,0.7536,0.3143,0.4435,0.6242,0.2215
50dayPvalues,0.2749,0.1732,0.001,0.129,0.4099,0.6932,0.1055,0.2809,0.0389
80dayPvalues,0.2494,0.0187,0.0011,0.0829,0.075,0.7177,0.0095,0.0768,0.0076
110dayPvalues,0.3071,0.0047,0.0,0.022,0.0265,0.3629,0.0023,0.067,0.0036
130dayPvalues,0.1341,0.0018,0.0,0.0181,0.0152,0.4758,0.0006,0.0341,0.0011
150dayPvalues,0.1066,0.0003,0.0,0.011,0.004,0.5255,0.0001,0.0117,0.0004
180dayPvalues,0.0406,0.0001,0.0001,0.0057,0.0024,0.7069,0.0,0.0115,0.0004
