,mu,sd,skew,kurt,p10,p50,p90,prDec,prInc
10dayR2,0.1036,0.4298,0.1714,0.1177,0.4466,0.1629,0.3736,0.3772,0.3865
30dayR2,0.0791,0.3353,0.1716,0.1212,0.3436,0.1345,0.2876,0.3,0.2991
50dayR2,0.0582,0.2647,0.1507,0.1037,0.2704,0.1169,0.2259,0.2318,0.2377
80dayR2,0.0499,0.1859,0.1353,0.0858,0.1934,0.0843,0.1524,0.1636,0.1593
110dayR2,0.0404,0.1466,0.1308,0.0801,0.1522,0.0698,0.1189,0.1317,0.1227
130dayR2,0.0347,0.1288,0.1334,0.0787,0.1336,0.0668,0.1037,0.1168,0.1049
150dayR2,0.026,0.1186,0.1357,0.0784,0.1219,0.0722,0.0962,0.1075,0.0963
180dayR2,0.017,0.1004,0.1268,0.0753,0.1017,0.0722,0.0817,0.0866,0.0822
,,,,,,,,,
10dayPvalues,0,0,0,0,0,0,0,0,0
30dayPvalues,0,0,0,0,0,0,0,0,0
50dayPvalues,0,0,0,0,0,0,0,0,0
80dayPvalues,0,0,0,0,0,0,0,0,0
110dayPvalues,0,0,0,0,0,0,0,0,0
130dayPvalues,0,0,0,0,0,0,0,0,0
150dayPvalues,0.0001,0,0,0,0,0,0,0,0
180dayPvalues,0.0012,0,0,0,0,0,0,0,0
