,mu,sd,skew,kurt,p10,p50,p90,prDec,prInc
10dayR2,0.2066,0.4577,0.062,0.006,0.4628,0.0226,0.4203,0.4003,0.423
30dayR2,0.2096,0.3709,0.056,0.0039,0.3871,0.0075,0.3286,0.3389,0.332
50dayR2,0.1946,0.2915,0.0452,0.0003,0.317,0.0036,0.2489,0.2761,0.2541
80dayR2,0.1688,0.2071,0.0381,0,0.2354,0.0006,0.1683,0.2042,0.1703
110dayR2,0.1375,0.1581,0.0447,0.0003,0.1831,0.0008,0.124,0.1625,0.1239
130dayR2,0.1183,0.1364,0.0501,0.0011,0.1592,0.0016,0.1053,0.1421,0.1032
150dayR2,0.1079,0.1195,0.0507,0.0012,0.1411,0.0015,0.0907,0.1269,0.0877
180dayR2,0.0866,0.0935,0.0428,0.0008,0.1124,0.0015,0.0699,0.0992,0.0669
,,,,,,,,,
10dayPvalues,0,0,0,0.0548,0,0.0002,0,0,0
30dayPvalues,0,0,0,0.1211,0,0.0319,0,0,0
50dayPvalues,0,0,0,0.6476,0,0.137,0,0,0
80dayPvalues,0,0,0,0.9743,0,0.5354,0,0,0
110dayPvalues,0,0,0,0.6508,0,0.4909,0,0,0
130dayPvalues,0,0,0,0.4149,0,0.3202,0,0,0
150dayPvalues,0,0,0,0.3885,0,0.342,0,0,0
180dayPvalues,0,0,0,0.4756,0,0.3463,0,0,0
