,mu,sd,skew,kurt,p10,p50,p90,prDec,prInc
10dayR2,0.1045,0.2022,0.0293,0.0345,0.1707,0.0265,0.1165,0.1798,0.1732
30dayR2,0.0736,0.2567,0.0372,0.0231,0.2023,0.0276,0.1909,0.2336,0.2611
50dayR2,0.0386,0.3097,0.0325,0.0183,0.2192,0.0299,0.296,0.2643,0.3754
80dayR2,0.0171,0.3052,0.0219,0.0209,0.1925,0.0153,0.3578,0.2773,0.4165
110dayR2,0.0125,0.2425,0.0124,0.0078,0.1428,0.0043,0.3265,0.2328,0.3509
130dayR2,0.0077,0.1867,0.0068,0.0028,0.1026,0.0006,0.2829,0.1828,0.2925
150dayR2,0.0013,0.1425,0.0049,0.0006,0.0716,0.0001,0.2525,0.1375,0.2498
180dayR2,0.0004,0.0889,0.0087,0,0.0407,0,0.1867,0.089,0.1787
,,,,,,,,,
10dayPvalues,0,0,0,0,0,0.0001,0,0,0
30dayPvalues,0,0,0,0.0002,0,0.0001,0,0,0
50dayPvalues,0,0,0,0.001,0,0,0,0,0
80dayPvalues,0.0015,0,0.0003,0.0005,0,0.0027,0,0,0
110dayPvalues,0.0067,0,0.007,0.0324,0,0.1133,0,0,0
130dayPvalues,0.0334,0,0.0456,0.2035,0,0.5518,0,0,0
150dayPvalues,0.3826,0,0.0905,0.5394,0,0.8523,0,0,0
180dayPvalues,0.646,0,0.0243,0.9727,0,0.9475,0,0,0
