,mu,sd,skew,kurt,p10,p50,p90,prDec,prInc
10dayR2,0.0153,0.4484,0.0577,0.0292,0.4408,0.0272,0.4332,0.4099,0.3449
30dayR2,0.0273,0.5562,0.0534,0.0163,0.5539,0.0224,0.5379,0.5093,0.4399
50dayR2,0.0402,0.5252,0.0509,0.0126,0.5313,0.0159,0.4996,0.4963,0.4134
80dayR2,0.0548,0.4718,0.0484,0.0076,0.4861,0.0087,0.4413,0.455,0.3659
110dayR2,0.0765,0.4062,0.0349,0.0034,0.4267,0.0016,0.3719,0.3988,0.3197
130dayR2,0.0877,0.3619,0.0306,0.0021,0.3854,0.0002,0.3261,0.3623,0.2877
150dayR2,0.0993,0.3251,0.0272,0.0015,0.3507,0.0001,0.288,0.3324,0.2622
180dayR2,0.1245,0.2666,0.0171,0.0003,0.2958,0.0037,0.2284,0.2844,0.2253
10dayPvalues,0.0029,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0
30dayPvalues,0.0001,0.0,0.0,0.0021,0.0,0.0003,0.0,0.0,0.0
50dayPvalues,0.0,0.0,0.0,0.0069,0.0,0.0024,0.0,0.0,0.0
80dayPvalues,0.0,0.0,0.0,0.0356,0.0,0.0246,0.0,0.0,0.0
110dayPvalues,0.0,0.0,0.0,0.1627,0.0,0.3429,0.0,0.0,0.0
130dayPvalues,0.0,0.0,0.0,0.2677,0.0,0.7324,0.0,0.0,0.0
150dayPvalues,0.0,0.0,0.0001,0.3461,0.0,0.8015,0.0,0.0,0.0
180dayPvalues,0.0,0.0,0.0016,0.6662,0.0,0.1449,0.0,0.0,0.0
