,mu,sd,skew,kurt,p10,p50,p90,prDec,prInc
10dayR2,0.0518,0.2866,0.0002,0.0458,0.24,0.0027,0.2795,0.2309,0.2847
30dayR2,0.0475,0.296,0.0081,0.0196,0.2658,0.0,0.2893,0.2656,0.2743
50dayR2,0.0497,0.263,0.0089,0.0138,0.2416,0.0001,0.2568,0.2423,0.2401
80dayR2,0.0428,0.213,0.0082,0.011,0.1981,0.0002,0.2066,0.2025,0.1916
110dayR2,0.0525,0.2049,0.0043,0.0168,0.1888,0.0,0.1969,0.1909,0.1848
130dayR2,0.0586,0.1994,0.0027,0.0206,0.1846,0.0003,0.1912,0.1811,0.1791
150dayR2,0.0663,0.1998,0.0016,0.0256,0.1838,0.0009,0.1912,0.1782,0.1806
180dayR2,0.0726,0.1946,0.0003,0.0278,0.1765,0.0024,0.1887,0.1682,0.181
10dayPvalues,0.0,0.0,0.7262,0.0,0.0,0.2123,0.0,0.0,0.0
30dayPvalues,0.0,0.0,0.03,0.0007,0.0,0.882,0.0,0.0,0.0
50dayPvalues,0.0,0.0,0.0223,0.0045,0.0,0.8254,0.0,0.0,0.0
80dayPvalues,0.0,0.0,0.0288,0.0113,0.0,0.7262,0.0,0.0,0.0
110dayPvalues,0.0,0.0,0.1144,0.0017,0.0,0.8765,0.0,0.0,0.0
130dayPvalues,0.0,0.0,0.2113,0.0005,0.0,0.6852,0.0,0.0,0.0
150dayPvalues,0.0,0.0,0.3372,0.0001,0.0,0.48,0.0,0.0,0.0
180dayPvalues,0.0,0.0,0.6609,0.0001,0.0,0.2361,0.0,0.0,0.0
