,mu,sd,skew,kurt,p10,p50,p90,prDec,prInc
10dayR2,0.302,0.4338,0.1123,0.0028,0.4481,0.1654,0.4001,0.2696,0.3692
30dayR2,0.2815,0.4146,0.107,0.0029,0.4277,0.1665,0.3842,0.2587,0.3528
50dayR2,0.1948,0.2802,0.0753,0.0016,0.2875,0.1009,0.2605,0.1874,0.2425
80dayR2,0.1084,0.1585,0.051,0.0006,0.1619,0.0595,0.1472,0.1118,0.139
110dayR2,0.0768,0.1106,0.032,0.0011,0.112,0.0355,0.104,0.082,0.1004
130dayR2,0.0715,0.0989,0.0189,0.0019,0.0989,0.0226,0.0942,0.0768,0.0933
150dayR2,0.0647,0.0878,0.0129,0.0021,0.087,0.016,0.0844,0.0702,0.0858
180dayR2,0.0497,0.0706,0.0131,0.0002,0.0689,0.0142,0.0674,0.0568,0.0712
10dayPvalues,0.0,0.0,0.0,0.2921,0.0,0.0,0.0,0.0,0.0
30dayPvalues,0.0,0.0,0.0,0.2893,0.0,0.0,0.0,0.0,0.0
50dayPvalues,0.0,0.0,0.0,0.4257,0.0,0.0,0.0,0.0,0.0
80dayPvalues,0.0,0.0,0.0,0.6316,0.0,0.0,0.0,0.0,0.0
110dayPvalues,0.0,0.0,0.0004,0.5193,0.0,0.0002,0.0,0.0,0.0
130dayPvalues,0.0,0.0,0.0064,0.3901,0.0,0.0028,0.0,0.0,0.0
150dayPvalues,0.0,0.0,0.0245,0.3612,0.0,0.0123,0.0,0.0,0.0
180dayPvalues,0.0,0.0,0.0232,0.793,0.0,0.0183,0.0,0.0,0.0
