,mu,sd,skew,kurt,p10,p50,p90,prDec,prInc
10dayR2,0.029,0.3649,0.1542,0.0943,0.3871,0.2717,0.3325,0.3783,0.3424
30dayR2,0.0498,0.3522,0.1164,0.0721,0.3641,0.2555,0.333,0.3576,0.3291
50dayR2,0.046,0.2895,0.0731,0.0417,0.2943,0.1867,0.2822,0.2838,0.2686
80dayR2,0.0327,0.2601,0.09,0.0547,0.2651,0.1659,0.2497,0.2608,0.2246
110dayR2,0.0283,0.2146,0.0568,0.0405,0.2157,0.1201,0.2102,0.209,0.1894
130dayR2,0.022,0.1887,0.047,0.0386,0.1889,0.0973,0.1845,0.1824,0.1688
150dayR2,0.0142,0.1674,0.0455,0.0412,0.1687,0.0809,0.1611,0.1628,0.1479
180dayR2,0.0088,0.1109,0.026,0.0257,0.1126,0.053,0.1057,0.1095,0.1041
10dayPvalues,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30dayPvalues,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50dayPvalues,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80dayPvalues,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110dayPvalues,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130dayPvalues,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150dayPvalues,0.0041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180dayPvalues,0.024,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0
