,mu,sd,skew,kurt,p10,p50,p90,prDec,prInc
10dayR2,0.1051,0.2748,0.0093,0.0018,0.2322,0.0131,0.2125,0.2825,0.2379
30dayR2,0.1355,0.3561,0.0154,0.0031,0.3091,0.0082,0.2448,0.3592,0.3185
50dayR2,0.1222,0.3497,0.0136,0.0043,0.2988,0.0068,0.2474,0.3385,0.3193
80dayR2,0.1081,0.321,0.0074,0.0038,0.2706,0.0063,0.2287,0.2942,0.3064
110dayR2,0.1145,0.3165,0.0013,0.0033,0.2579,0.0143,0.2411,0.2875,0.3077
130dayR2,0.1181,0.2895,0.0,0.0039,0.2313,0.0221,0.2224,0.2667,0.2802
150dayR2,0.114,0.2546,0.0015,0.0047,0.1997,0.0289,0.1993,0.2379,0.2523
180dayR2,0.105,0.206,0.0068,0.005,0.158,0.0361,0.1649,0.1905,0.2116
10dayPvalues,0.0,0.0,0.0202,0.3081,0.0,0.0056,0.0,0.0,0.0
30dayPvalues,0.0,0.0,0.0027,0.1815,0.0,0.0289,0.0,0.0,0.0
50dayPvalues,0.0,0.0,0.0048,0.1137,0.0,0.046,0.0,0.0,0.0
80dayPvalues,0.0,0.0,0.0379,0.1387,0.0,0.0553,0.0,0.0,0.0
110dayPvalues,0.0,0.0,0.3763,0.1668,0.0,0.0039,0.0,0.0,0.0
130dayPvalues,0.0,0.0,0.9402,0.1313,0.0,0.0003,0.0,0.0,0.0
150dayPvalues,0.0,0.0,0.3455,0.0998,0.0,0.0,0.0,0.0,0.0
180dayPvalues,0.0,0.0,0.047,0.0876,0.0,0.0,0.0,0.0,0.0
