,mu,sd,skew,kurt,p10,p50,p90,prDec,prInc
10dayR2,0.0095,0.2631,0.0051,0.0016,0.2346,0.0085,0.2108,0.231,0.2367
30dayR2,0.0361,0.3913,0.0044,0.0103,0.3311,0.0138,0.3348,0.3167,0.3742
50dayR2,0.0138,0.3853,0.0001,0.0247,0.3065,0.002,0.3456,0.3069,0.3611
80dayR2,0.0002,0.3242,0.0052,0.0467,0.2357,0.0042,0.3113,0.2535,0.2983
110dayR2,0.0134,0.2812,0.0209,0.0666,0.1816,0.0241,0.3004,0.2057,0.2642
130dayR2,0.0241,0.254,0.0276,0.0578,0.1564,0.0362,0.2863,0.1823,0.2448
150dayR2,0.0276,0.2173,0.0261,0.0463,0.1301,0.0378,0.2525,0.1559,0.2125
180dayR2,0.0265,0.1693,0.0128,0.0323,0.1055,0.026,0.193,0.1319,0.1578
10dayPvalues,0.0185,0.0,0.0844,0.3302,0.0,0.0253,0.0,0.0,0.0
30dayPvalues,0.0,0.0,0.1074,0.014,0.0,0.0044,0.0,0.0,0.0
50dayPvalues,0.0044,0.0,0.8406,0.0001,0.0,0.2787,0.0,0.0,0.0
80dayPvalues,0.742,0.0,0.0808,0.0,0.0,0.1194,0.0,0.0,0.0
110dayPvalues,0.0051,0.0,0.0005,0.0,0.0,0.0002,0.0,0.0,0.0
130dayPvalues,0.0002,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
150dayPvalues,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
180dayPvalues,0.0001,0.0,0.0062,0.0,0.0,0.0001,0.0,0.0,0.0
