,mu,sd,skew,kurt,p10,p50,p90,prDec,prInc
10dayR2,0.0921,0.4564,0.0762,0.1356,0.454,0.0675,0.4496,0.439,0.4544
30dayR2,0.067,0.3303,0.0689,0.1094,0.3267,0.0361,0.3356,0.3202,0.3426
50dayR2,0.0532,0.2563,0.0709,0.1041,0.2551,0.0218,0.2667,0.2527,0.2728
80dayR2,0.0471,0.1982,0.0636,0.0966,0.2018,0.012,0.2065,0.2034,0.2102
110dayR2,0.0387,0.162,0.0548,0.091,0.1679,0.0104,0.1692,0.173,0.1677
130dayR2,0.0374,0.146,0.0526,0.0929,0.1542,0.0088,0.1514,0.1615,0.147
150dayR2,0.0369,0.1354,0.0538,0.0991,0.1459,0.0077,0.1399,0.1556,0.1329
180dayR2,0.0338,0.1156,0.0551,0.0997,0.1267,0.005,0.1204,0.1375,0.1127
10dayPvalues,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30dayPvalues,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50dayPvalues,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0
80dayPvalues,0.0,0.0,0.0,0.0,0.0,0.0041,0.0,0.0,0.0
110dayPvalues,0.0,0.0,0.0,0.0,0.0,0.0075,0.0,0.0,0.0
130dayPvalues,0.0,0.0,0.0,0.0,0.0,0.0139,0.0,0.0,0.0
150dayPvalues,0.0,0.0,0.0,0.0,0.0,0.0217,0.0,0.0,0.0
180dayPvalues,0.0,0.0,0.0,0.0,0.0,0.0637,0.0,0.0,0.0
