,mu,sd,skew,kurt,p10,p50,p90,prDec,prInc
10dayR2,0.0845,0.1684,0.0148,0.0081,0.1057,0.0016,0.2238,0.2099,0.1255
30dayR2,0.1109,0.2057,0.0223,0.0031,0.1384,0.0076,0.212,0.2533,0.1586
50dayR2,0.1276,0.2225,0.0248,0.0009,0.1523,0.0113,0.2155,0.2606,0.1698
80dayR2,0.122,0.1961,0.0099,0.0012,0.1242,0.003,0.225,0.2413,0.1655
110dayR2,0.0926,0.1486,0.0047,0.0011,0.0894,0.0009,0.1904,0.1895,0.1299
130dayR2,0.074,0.1155,0.0044,0.0007,0.0677,0.0006,0.1569,0.1617,0.0963
150dayR2,0.0575,0.0976,0.0027,0.0002,0.0539,0.0002,0.1476,0.1435,0.0906
180dayR2,0.0434,0.0785,0.0046,0.0,0.0438,0.0008,0.1193,0.1265,0.0728
10dayPvalues,0.0,0.0,0.0032,0.0297,0.0,0.331,0.0,0.0,0.0
30dayPvalues,0.0,0.0,0.0003,0.1786,0.0,0.035,0.0,0.0,0.0
50dayPvalues,0.0,0.0,0.0001,0.4813,0.0,0.0102,0.0,0.0,0.0
80dayPvalues,0.0,0.0,0.016,0.4021,0.0,0.1824,0.0,0.0,0.0
110dayPvalues,0.0,0.0,0.0991,0.432,0.0,0.4609,0.0,0.0,0.0
130dayPvalues,0.0,0.0,0.1079,0.518,0.0,0.5399,0.0,0.0,0.0
150dayPvalues,0.0,0.0,0.2082,0.7522,0.0,0.7181,0.0,0.0,0.0
180dayPvalues,0.0,0.0,0.1027,0.9241,0.0,0.4991,0.0,0.0,0.0
