,mu,sd,skew,kurt,p10,p50,p90,prDec,prInc
10dayR2,0.0047,0.4218,0.0074,0.001,0.3968,0.002,0.4172,0.3808,0.4035
30dayR2,0.006,0.4284,0.0241,0.0024,0.4119,0.0063,0.4272,0.4104,0.4102
50dayR2,0.0048,0.4049,0.0296,0.0037,0.3942,0.0075,0.4009,0.411,0.3935
80dayR2,0.0025,0.3512,0.0456,0.006,0.3504,0.0081,0.342,0.3808,0.3374
110dayR2,0.0,0.3124,0.0468,0.0074,0.3246,0.0022,0.293,0.358,0.2985
130dayR2,0.0016,0.2881,0.0463,0.0076,0.3065,0.0004,0.264,0.3392,0.2716
150dayR2,0.0058,0.2691,0.0496,0.0097,0.2946,0.0001,0.2398,0.3203,0.246
180dayR2,0.0183,0.2325,0.0525,0.0113,0.2679,0.003,0.1963,0.2854,0.2023
10dayPvalues,0.098,0.0,0.0388,0.4378,0.0,0.2888,0.0,0.0,0.0
30dayPvalues,0.0631,0.0,0.0002,0.2405,0.0,0.0564,0.0,0.0,0.0
50dayPvalues,0.095,0.0,0.0,0.1435,0.0,0.0367,0.0,0.0,0.0
80dayPvalues,0.2292,0.0,0.0,0.0631,0.0,0.0302,0.0,0.0,0.0
110dayPvalues,0.8755,0.0,0.0,0.0389,0.0,0.2621,0.0,0.0,0.0
130dayPvalues,0.3383,0.0,0.0,0.036,0.0,0.6507,0.0,0.0,0.0
150dayPvalues,0.0664,0.0,0.0,0.0177,0.0,0.8322,0.0,0.0,0.0
180dayPvalues,0.0011,0.0,0.0,0.0105,0.0,0.1882,0.0,0.0,0.0
