,mu,sd,skew,kurt,p10,p50,p90,prDec,prInc
10dayR2,0.0498,0.2749,0.0009,0.0378,0.2333,0.0018,0.2703,0.226,0.2676
30dayR2,0.0458,0.2761,0.0075,0.0189,0.2494,0.0,0.271,0.2506,0.2554
50dayR2,0.0546,0.2502,0.0061,0.0182,0.2296,0.0,0.2447,0.2287,0.231
80dayR2,0.0525,0.1985,0.0023,0.019,0.1807,0.0004,0.1948,0.1802,0.1874
110dayR2,0.0637,0.1885,0.0004,0.0303,0.1693,0.0019,0.1831,0.1655,0.18
130dayR2,0.0724,0.1809,0.0,0.0371,0.1628,0.0034,0.175,0.1526,0.1733
150dayR2,0.082,0.1784,0.0002,0.0454,0.159,0.0056,0.1722,0.1457,0.1728
180dayR2,0.0953,0.171,0.0031,0.0515,0.1486,0.0122,0.1685,0.13,0.1747
10dayPvalues,0.0,0.0,0.4728,0.0,0.0,0.3074,0.0,0.0,0.0
30dayPvalues,0.0,0.0,0.037,0.0009,0.0,0.8882,0.0,0.0,0.0
50dayPvalues,0.0,0.0,0.0614,0.0012,0.0,0.9069,0.0,0.0,0.0
80dayPvalues,0.0,0.0,0.249,0.001,0.0,0.6134,0.0,0.0,0.0
110dayPvalues,0.0,0.0,0.6308,0.0,0.0,0.3048,0.0,0.0,0.0
130dayPvalues,0.0,0.0,0.9704,0.0,0.0,0.1711,0.0,0.0,0.0
150dayPvalues,0.0,0.0,0.7152,0.0,0.0,0.0786,0.0,0.0,0.0
180dayPvalues,0.0,0.0,0.1962,0.0,0.0,0.0097,0.0,0.0,0.0
