,mu,sd,skew,kurt,p10,p50,p90,prDec,prInc
10dayR2,0.2734,0.3918,0.0702,0.0095,0.3987,0.0941,0.3714,0.267,0.3435
30dayR2,0.1716,0.2209,0.0117,0.0081,0.2155,0.0018,0.2216,0.2131,0.2197
50dayR2,0.1797,0.206,0.0045,0.0085,0.2021,0.0077,0.2048,0.206,0.1958
80dayR2,0.1823,0.1921,0.0007,0.0049,0.1858,0.02,0.1925,0.1919,0.1816
110dayR2,0.208,0.1968,0.0059,0.0129,0.1882,0.0543,0.2018,0.1939,0.1903
130dayR2,0.2079,0.1868,0.0139,0.0113,0.1779,0.0664,0.1913,0.1783,0.1801
150dayR2,0.1714,0.1486,0.0093,0.0086,0.1424,0.0494,0.1507,0.1366,0.1438
180dayR2,0.1403,0.1173,0.0119,0.0003,0.1101,0.0512,0.1176,0.0978,0.1095
10dayPvalues,0.0,0.0,0.0,0.0548,0.0,0.0,0.0,0.0,0.0
30dayPvalues,0.0,0.0,0.0341,0.0778,0.0,0.4086,0.0,0.0,0.0
50dayPvalues,0.0,0.0,0.1935,0.0728,0.0,0.0876,0.0,0.0,0.0
80dayPvalues,0.0,0.0,0.6212,0.1759,0.0,0.0061,0.0,0.0,0.0
110dayPvalues,0.0,0.0,0.1421,0.0293,0.0,0.0,0.0,0.0,0.0
130dayPvalues,0.0,0.0,0.0245,0.0425,0.0,0.0,0.0,0.0,0.0
150dayPvalues,0.0,0.0,0.0672,0.0781,0.0,0.0,0.0,0.0,0.0
180dayPvalues,0.0,0.0,0.0404,0.7304,0.0,0.0,0.0,0.0,0.0
