,mu,sd,skew,kurt,p10,p50,p90,prDec,prInc
10dayR2,0.0901,0.4408,0.0781,0.1332,0.4376,0.059,0.437,0.4229,0.4429
30dayR2,0.0601,0.3104,0.0699,0.1063,0.3065,0.035,0.3189,0.3006,0.3245
50dayR2,0.0435,0.2407,0.0727,0.1011,0.238,0.0246,0.2557,0.2359,0.2594
80dayR2,0.0324,0.1842,0.0682,0.0955,0.1846,0.0184,0.2008,0.1863,0.2
110dayR2,0.0199,0.148,0.0619,0.0913,0.1492,0.0212,0.1667,0.1542,0.1588
130dayR2,0.0147,0.1303,0.06,0.092,0.1324,0.0228,0.1497,0.1395,0.1377
150dayR2,0.0104,0.1177,0.0619,0.0971,0.1208,0.025,0.1384,0.1302,0.1226
180dayR2,0.004,0.096,0.0636,0.0948,0.0975,0.0267,0.1201,0.1077,0.1019
10dayPvalues,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30dayPvalues,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50dayPvalues,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80dayPvalues,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0
110dayPvalues,0.0003,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0
130dayPvalues,0.0019,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0
150dayPvalues,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180dayPvalues,0.1063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
