,mu,sd,skew,kurt,p10,p50,p90,prDec,prInc
10dayR2,0.0052,0.3934,0.01,0.0002,0.3716,0.003,0.3904,0.3589,0.3753
30dayR2,0.0081,0.4063,0.028,0.0037,0.3897,0.0092,0.4095,0.39,0.3881
50dayR2,0.0086,0.3996,0.0346,0.0049,0.3862,0.0127,0.4021,0.405,0.3898
80dayR2,0.0086,0.3535,0.055,0.0079,0.3489,0.0183,0.353,0.3787,0.3414
110dayR2,0.0051,0.322,0.0656,0.0095,0.325,0.017,0.3174,0.3592,0.3092
130dayR2,0.0043,0.3006,0.0723,0.0103,0.3053,0.0172,0.2957,0.3406,0.2849
150dayR2,0.0028,0.2852,0.085,0.0137,0.2931,0.0169,0.2794,0.3216,0.2623
180dayR2,0.0008,0.2546,0.1043,0.0169,0.2679,0.0162,0.2458,0.2897,0.2231
10dayPvalues,0.083,0.0,0.0159,0.7628,0.0,0.1866,0.0,0.0,0.0
30dayPvalues,0.0306,0.0,0.0001,0.1462,0.0,0.0216,0.0,0.0,0.0
50dayPvalues,0.0263,0.0,0.0,0.0961,0.0,0.0071,0.0,0.0,0.0
80dayPvalues,0.0273,0.0,0.0,0.035,0.0,0.0013,0.0,0.0,0.0
110dayPvalues,0.0934,0.0,0.0,0.0211,0.0,0.002,0.0,0.0,0.0
130dayPvalues,0.1216,0.0,0.0,0.0168,0.0,0.002,0.0,0.0,0.0
150dayPvalues,0.2143,0.0,0.0,0.0059,0.0,0.0022,0.0,0.0,0.0
180dayPvalues,0.5186,0.0,0.0,0.0024,0.0,0.0029,0.0,0.0,0.0
