,market,idt,maturity_target,mu,sd,skew,kurt,p10,p50,p90,lg_change_decr,prDec,lg_change_incr,prInc
5032,LR3y3m,8/10/2006,60.0,0.064998642,0.032129258,1.460686868,2.146478261,0.034048387,0.047839052,0.05356781,-5.77031,0.001022351,5.77031,
5033,LR3y3m,8/17/2006,60.0,0.063122448,0.031175311,1.515493922,2.478179889,0.033168317,0.047609797,0.053521959,-5.77375,0.002262289,5.77375,
5034,LR3y3m,8/31/2006,60.0,0.062096405,0.031353922,1.563418782,2.608338164,0.032219828,0.047326087,0.053465217,-5.8,0.002534236,5.8,
5035,LR3y3m,9/7/2006,60.0,0.051601788,0.013949829,-0.278707131,-0.265827962,0.032242424,0.047759336,0.053551867,-5.81,0.001583871,5.81,
5036,LR3y3m,9/21/2006,60.0,0.056906627,0.020975364,0.483422277,0.140763674,0.030675676,0.047774567,0.053554913,-5.8225,0.001742451,5.8225,
5037,LR3y3m,10/19/2006,60.0,0.051381053,0.015830859,-0.336890958,0.268859521,0.030986667,0.047560669,0.053512134,-5.86,0.006888835,5.86,
5038,LR3y3m,10/26/2006,60.0,0.05140938,0.016713786,-0.111026033,0.163710442,0.030123529,0.047336489,0.053467298,-5.87,0.006867518,5.87,
5039,LR3y3m,11/23/2006,60.0,0.047310645,0.013176686,-0.516224154,0.239926345,0.02919,0.046676083,0.053335217,-5.91,0.003800435,5.91,
5040,LR3y3m,12/7/2006,60.0,0.0482176,0.018388793,0.436211176,0.793623696,0.026729412,0.045716495,0.053143299,-5.92,0.006402064,5.92,
5041,LR3y3m,12/14/2006,60.0,0.04489573,0.01267828,-0.926045625,0.751516699,0.02723,0.046147059,0.053229412,-5.93,0.006384341,5.93,
5042,LR3y3m,12/21/2006,60.0,0.055089884,0.024606778,1.051727237,1.9985058,0.027845455,0.046918552,0.05338371,-5.93,0.00085673,5.93,
5043,LR3y3m,12/28/2006,60.0,0.043677449,0.009473402,-1.6478341,2.42278786,0.029366667,0.046685185,0.053337037,-5.93538,0.00085196,5.93538,
5044,LR3y3m,1/11/2007,60.0,0.041419531,0.008497984,-1.401485537,2.917327856,0.030780645,0.042071339,0.052137411,-5.95031,0.000847243,5.95031,
5045,LR3y3m,1/18/2007,60.0,0.048079546,0.010683456,-0.852440997,0.620159289,0.033313333,0.047461604,0.053492321,-5.96,0.000865943,5.96,
5046,LR3y3m,1/25/2007,60.0,0.053710307,0.016624041,0.04010662,0.143426588,0.033364286,0.04784739,0.053569478,-5.96475,0.001847613,5.96475,
5047,LR3y3m,2/1/2007,60.0,0.045272393,0.00817321,-2.06259205,4.766131622,0.034215385,0.047622407,0.053524481,-5.96,0.002007,5.96,
5048,LR3y3m,2/8/2007,60.0,0.054153913,0.018256121,0.49690884,0.747748472,0.032825,0.047604341,0.053520868,-5.96,0.002035704,5.96,
5049,LR3y3m,2/15/2007,60.0,0.04434999,0.008889931,-1.787922341,3.246498389,0.031084848,0.047068966,0.053413793,-5.97938,0.002013226,5.97938,
5050,LR3y3m,2/22/2007,60.0,0.049175897,0.012706642,-0.503098305,0.233056598,0.031927273,0.047357759,0.053471552,-5.99,0.002037263,5.99,
5051,LR3y3m,3/1/2007,60.0,0.047077083,0.013640423,-0.55498006,0.223024276,0.028297561,0.046615023,0.053323005,-6.0,0.004821982,6.0,
5052,LR3y3m,3/29/2007,60.0,0.049651376,0.015803614,-0.109897595,0.289638838,0.029635897,0.046882353,0.053376471,-6.0225,0.007996994,6.0225,
5053,LR3y3m,4/5/2007,60.0,0.047114756,0.0121518,-1.073621364,1.308787717,0.030029412,0.047151163,0.053430233,-6.02813,0.008547009,6.02813,
5054,LR3y3m,4/26/2007,60.0,0.044246189,0.00966604,-2.035366697,4.430488366,0.030232258,0.0473,0.05346,-6.06825,0.008469791,6.06825,
5055,LR3y3m,5/3/2007,60.0,0.050239636,0.01537325,-0.305251584,0.185284838,0.030152941,0.047268398,0.05345368,-6.07688,0.005599104,6.07688,
5056,LR3y3m,5/17/2007,60.0,0.045019785,0.008736592,-2.055808682,4.451599415,0.03235,0.047659751,0.05353195,,0.002826456,,
5057,LR3y3m,5/24/2007,60.0,0.049553767,0.011250027,-1.252016439,1.834074034,0.034666667,0.048043478,0.053608696,-6.08,0.004520014,6.08,
5058,LR3y3m,6/7/2007,60.0,0.067449865,0.024640595,0.424243027,0.428905722,0.038076923,0.048964335,0.053792867,-6.09,0.003744432,6.09,
5059,LR3y3m,6/14/2007,60.0,0.055251906,0.012918068,-1.085724158,1.569057095,0.037792453,0.048852059,0.053770412,-6.1,0.003609071,6.1,
5060,LR3y3m,6/21/2007,60.0,0.077134956,0.036078775,0.89358869,0.467245831,0.037577778,0.048930796,0.053786159,-6.1075,0.000912058,6.1075,
5061,LR3y3m,7/12/2007,60.0,0.06888973,0.029977331,1.043265908,1.44444814,0.036874439,0.048721264,0.053744253,-6.14875,0.0037756,6.14875,
5062,LR3y3m,7/19/2007,60.0,0.061034732,0.021738481,0.208526497,0.227913704,0.035531915,0.048545455,0.053709091,-6.13,0.003522986,6.13,
5063,LR3y3m,7/26/2007,60.0,0.063715951,0.033893188,1.13401495,1.492686309,0.028987097,0.047661224,0.053532245,,0.004578348,,
5064,LR3y3m,8/16/2007,60.0,0.060831798,0.033119283,1.135309411,1.626049764,0.026320001,0.047246753,0.053449351,-6.16,0.007816862,6.16,
5065,LR3y3m,8/23/2007,60.0,0.066474936,0.041586143,0.926388021,0.488423773,0.020285714,0.047392189,0.053478438,-6.16625,0.024064171,6.16625,
