,market,idt,maturity_target,mu,sd,skew,kurt,p10,p50,p90,lg_change_decr,prDec,lg_change_incr,prInc
613,citi,1/15/2010,3.0,-0.02703,0.21667,-0.12627,1.29823,-0.28914,-0.02231,0.22632,-20.0,0.18247,20.0,0.12316
614,citi,1/29/2010,3.0,-0.02606,0.20616,0.48387,0.85134,-0.27354,-0.0398,0.23574,-20.0,0.19372,20.0,0.12864
615,citi,2/12/2010,3.0,-0.05405,0.22312,-0.68429,1.6546,-0.33284,-0.03263,0.19362,-20.0,0.20387,20.0,0.09479
616,citi,2/26/2010,3.0,-0.04571,0.21555,-0.37688,0.86218,-0.32198,-0.03169,0.20558,-20.0,0.20782,20.0,0.10527
617,citi,3/15/2010,3.0,-0.03663,0.23749,-0.04059,0.16111,-0.34302,-0.03248,0.26091,-20.0,0.24075,20.0,0.15327
618,citi,3/31/2010,3.0,-0.02306,0.20022,-0.06701,0.64821,-0.27827,-0.01732,0.21743,-20.0,0.17554,20.0,0.11624
619,citi,4/15/2010,3.0,-0.01469,0.24303,-0.29571,1.24253,-0.30848,-0.0069,0.2719,-20.0,0.19153,20.0,0.16452
620,citi,4/30/2010,3.0,-0.00698,0.24982,-0.01957,0.88339,-0.31149,-0.00667,0.29474,-20.0,0.19455,20.0,0.18052
621,citi,5/14/2010,3.0,-0.04747,0.26707,-0.70308,1.16908,-0.39178,-0.01809,0.25389,-20.0,0.23583,20.0,0.15198
622,citi,5/28/2010,3.0,-0.04131,0.25117,-0.67123,1.32001,-0.35944,-0.01591,0.24181,-20.0,0.22119,20.0,0.14194
623,citi,6/15/2010,3.0,-0.01772,0.238,-0.68351,1.54019,-0.31714,0.00615,0.24805,-20.0,0.18466,20.0,0.15092
624,citi,6/30/2010,3.0,-0.02068,0.24425,-0.35277,0.95974,-0.33049,-0.0048,0.2626,-20.0,0.20346,20.0,0.16093
625,citi,7/15/2010,3.0,-0.00362,0.2231,-0.56232,1.4505,-0.2801,0.01225,0.25217,-20.0,0.16158,20.0,0.15591
626,citi,7/30/2010,3.0,0.00532,0.20563,-0.64821,1.78941,-0.2463,0.02069,0.2394,-20.0,0.13535,20.0,0.14485
627,citi,8/13/2010,3.0,-0.02326,0.2179,-0.64301,1.17517,-0.30233,-0.00151,0.22451,-20.0,0.1794,20.0,0.12621
628,citi,8/31/2010,3.0,-0.02063,0.19907,-0.47279,0.99288,-0.27587,-0.00408,0.20866,-20.0,0.16354,20.0,0.10931
629,citi,9/15/2010,3.0,-0.00847,0.1759,-0.66445,2.28583,-0.22003,0.0044,0.18884,-20.0,0.1171,20.0,0.08801
630,citi,9/30/2010,3.0,-0.00461,0.18345,-0.63844,1.71871,-0.23068,0.01053,0.20183,-20.0,0.12441,20.0,0.10224
631,citi,10/15/2010,3.0,-0.00262,0.21462,-0.57566,1.41563,-0.26934,0.01384,0.24348,-20.0,0.15436,20.0,0.14756
632,citi,10/29/2010,3.0,0.00345,0.15743,-0.53148,2.0485,-0.18484,0.01149,0.18294,-20.0,0.08694,20.0,0.08156
633,citi,11/15/2010,3.0,-0.02039,0.18017,0.62859,1.19014,-0.23208,-0.0352,0.20609,-20.0,0.14386,20.0,0.10482
634,citi,11/30/2010,3.0,-0.01322,0.17437,-0.03211,0.49721,-0.23753,-0.00862,0.19777,-20.0,0.13859,20.0,0.09744
635,citi,12/15/2010,3.0,-0.01175,0.17627,0.31868,0.57226,-0.22736,-0.01978,0.21221,-20.0,0.13231,20.0,0.11066
636,citi,12/31/2010,3.0,-0.00809,0.17188,-0.24151,0.91986,-0.22037,-0.00286,0.19658,-20.0,0.11872,20.0,0.09644
637,citi,1/14/2011,3.0,-0.00498,0.16393,-0.09865,0.65164,-0.206,-0.00473,0.19863,-20.0,0.10626,20.0,0.09859
638,citi,1/31/2011,3.0,-0.00318,0.15284,-0.44007,1.07115,-0.19574,0.00681,0.17419,-20.0,0.0962,20.0,0.07128
639,citi,2/15/2011,3.0,0.00035,0.14626,-0.43714,1.30764,-0.17755,0.00814,0.17059,-20.0,0.08183,20.0,0.06918
640,citi,2/28/2011,3.0,-0.00513,0.15751,-0.41665,1.051,-0.20324,0.00472,0.17793,-20.0,0.10306,20.0,0.07598
641,citi,3/15/2011,3.0,-0.00839,0.16245,0.0575,0.26643,-0.21381,-0.0089,0.1958,-20.0,0.11553,20.0,0.09547
642,citi,3/31/2011,3.0,-0.00319,0.13392,-0.38141,1.22954,-0.1682,0.00385,0.15211,-20.0,0.0716,20.0,0.05031
643,citi,4/15/2011,3.0,-0.00141,0.12956,-0.24805,0.73811,-0.16792,0.00588,0.15054,-20.0,0.07019,20.0,0.04834
644,citi,4/29/2011,3.0,-0.00365,0.12474,-0.2867,0.79276,-0.16196,0.00243,0.1434,-20.0,0.0642,20.0,0.04194
645,citi,5/13/2011,3.0,-0.05176,0.18853,-1.04863,1.18141,-0.33544,-0.01776,0.1444,-20.0,0.16367,20.0,0.04485
646,citi,5/31/2011,3.0,-0.05707,0.13221,-0.37789,-0.48232,-0.25739,-0.03256,0.09429,-20.0,0.1781,20.0,0.01136
