,market,idt,maturity_target,mu,sd,skew,kurt,p10,p50,p90,lg_change_decr,prDec,lg_change_incr,prInc
1226,corn,10/29/2010,6.0,-0.039461768,0.255162082,0.360684688,0.493575866,-0.345066424,-0.056919785,0.292563527,-20.0,0.259879184,20.0,0.162104582
1227,corn,11/30/2010,6.0,-0.031782691,0.271860191,0.335411448,0.509822456,-0.360760765,-0.046419986,0.318180553,-20.0,0.263078245,20.0,0.177532624
1228,corn,12/31/2010,6.0,-0.047724553,0.291412824,0.151622794,0.234270238,-0.408921554,-0.056591715,0.329120404,-20.0,0.29694112,20.0,0.185053423
1229,corn,1/31/2011,6.0,-0.027340719,0.26218567,0.23362738,0.269733258,-0.348753331,-0.040734322,0.314471236,-20.0,0.252527355,20.0,0.184116012
1230,corn,2/28/2011,6.0,-0.039574064,0.278278104,0.086249736,0.065250655,-0.388493116,-0.047221634,0.322980379,-20.0,0.281512908,20.0,0.191938446
1231,corn,3/31/2011,6.0,-0.029757729,0.280562376,0.275627559,0.277743836,-0.364141569,-0.053930624,0.348098074,-20.0,0.266683935,20.0,0.198497536
1232,corn,4/29/2011,6.0,-0.017725682,0.289543774,0.079580597,0.198199541,-0.381738228,-0.022477868,0.353735812,-20.0,0.258572585,20.0,0.216030742
1233,corn,5/31/2011,6.0,-0.033235935,0.25613045,0.093845164,0.235140891,-0.353604577,-0.038363386,0.294127268,-20.0,0.25091021,20.0,0.172957903
1234,corn,6/29/2011,6.0,-0.02269901,0.249784379,0.068258718,0.35283864,-0.334879744,-0.025613609,0.29263872,-20.0,0.228755917,20.0,0.1751915
1235,corn,7/29/2011,6.0,-0.011305777,0.248775521,-0.010956966,0.327992055,-0.323315741,-0.011742786,0.301909564,-20.0,0.212606005,20.0,0.188655729
1236,corn,8/11/2011,6.0,-0.006369143,0.246498778,-0.072348611,0.314981964,-0.318766522,-0.003519606,0.300713702,-20.0,0.205730241,20.0,0.192728529
1237,corn,8/26/2011,6.0,-0.023374619,0.217045516,0.06399945,0.262930862,-0.294808268,-0.026887163,0.253210368,-20.0,0.199586879,20.0,0.146123451
1238,corn,9/8/2011,6.0,-0.020940306,0.228643237,-0.022834129,0.170639415,-0.310914458,-0.021640142,0.271217881,-20.0,0.20886829,20.0,0.16276517
1239,corn,9/23/2011,6.0,-0.020692606,0.221952322,0.138553505,0.082832652,-0.299967707,-0.026686578,0.266531747,-20.0,0.210206679,20.0,0.158158217
1240,corn,10/6/2011,6.0,-0.01985655,0.244737211,0.021572525,0.24889987,-0.331399087,-0.019568383,0.286780839,-20.0,0.224300416,20.0,0.175928743
1241,corn,10/20/2011,6.0,-0.01382731,0.227242988,0.037827588,0.255730557,-0.302276288,-0.01408138,0.271100445,-20.0,0.200524748,20.0,0.165210277
1242,corn,11/3/2011,6.0,-0.022783164,0.225024134,0.028221911,0.152182312,-0.309356288,-0.023473887,0.263220484,-20.0,0.210729909,20.0,0.156190479
1243,corn,11/17/2011,6.0,-0.016216415,0.21342221,-0.00992961,0.070670426,-0.289095673,-0.016611636,0.257537029,-20.0,0.191906744,20.0,0.153781909
1244,corn,12/1/2011,6.0,-0.011708978,0.199957615,-0.078826248,0.334595659,-0.267326791,-0.007647951,0.235131234,-20.0,0.165902823,20.0,0.134622764
1245,corn,12/15/2011,6.0,-0.008940526,0.208108716,-0.083949203,0.279738661,-0.275128777,-0.005904893,0.250130432,-20.0,0.17204576,20.0,0.149995722
1246,corn,12/29/2011,6.0,-0.009893513,0.232854102,0.021849035,0.266797338,-0.304927254,-0.009705994,0.282435391,-20.0,0.200239995,20.0,0.175431308
1247,corn,1/12/2012,6.0,-0.004204308,0.196288884,0.066266098,0.361680385,-0.249595698,-0.006668897,0.243037614,-20.0,0.15047786,20.0,0.141192248
1248,corn,1/26/2012,6.0,-0.017921795,0.214822917,0.116442168,0.368299919,-0.288834488,-0.020035846,0.250634576,-20.0,0.192959607,20.0,0.14579727
1249,corn,2/9/2012,6.0,-0.013629462,0.205644162,0.082694266,0.400306986,-0.272632105,-0.01517742,0.242491053,-20.0,0.174368592,20.0,0.139464066
1250,corn,2/23/2012,6.0,-0.009880493,0.20705691,0.042963853,0.302598025,-0.270956802,-0.011038508,0.250088914,-20.0,0.172423065,20.0,0.147044879
1251,corn,3/8/2012,6.0,-0.006099536,0.204724861,0.05539072,0.301674859,-0.26368977,-0.007657152,0.252057683,-20.0,0.164600743,20.0,0.149220605
1252,corn,3/22/2012,6.0,-0.019004222,0.217868225,0.083131437,0.257713063,-0.293227479,-0.021621087,0.257614626,-20.0,0.196631741,20.0,0.150404727
1253,corn,4/5/2012,6.0,-0.016272744,0.208898058,0.133565551,0.310341027,-0.278326433,-0.02001589,0.247895543,-20.0,0.183973497,20.0,0.143103739
1254,corn,4/19/2012,6.0,-0.01241894,0.20782831,0.151381793,0.352873431,-0.271757504,-0.016743881,0.250566202,-20.0,0.176466729,20.0,0.145713113
1255,corn,5/3/2012,6.0,-0.010133673,0.213056159,0.192398439,0.345653276,-0.275589943,-0.016036482,0.260338233,-20.0,0.180836678,20.0,0.153651297
1256,corn,5/17/2012,6.0,-0.0082935,0.214468578,0.257677505,0.460815189,-0.27229413,-0.016537739,0.264009868,-20.0,0.178527463,20.0,0.155568433
1257,corn,5/31/2012,6.0,-0.005151101,0.229476356,0.262113378,0.419984039,-0.287815839,-0.014460664,0.287476383,-20.0,0.192462304,20.0,0.174727422
1258,corn,6/14/2012,6.0,-0.021304769,0.210416774,0.22450422,0.405174068,-0.281105879,-0.028448306,0.246607609,-20.0,0.190144806,20.0,0.138877757
1259,corn,6/28/2012,6.0,-0.019288851,0.237591,0.061677759,0.298716287,-0.318646672,-0.021120357,0.280160626,-20.0,0.215414603,20.0,0.168813234
1260,corn,7/12/2012,6.0,-0.01748694,0.246137022,0.073250845,0.244813994,-0.326894656,-0.021151855,0.295973958,-20.0,0.221890089,20.0,0.179855125
1261,corn,7/26/2012,6.0,-0.015158329,0.246010066,0.187154192,0.377226936,-0.319056988,-0.022946747,0.29800096,-20.0,0.218214613,20.0,0.178848371
1262,corn,8/9/2012,6.0,-0.029153199,0.22393083,0.108931359,0.229917681,-0.309544319,-0.034289692,0.258169086,-20.0,0.216291369,20.0,0.147945215
1263,corn,8/23/2012,6.0,-0.025535228,0.217227621,0.137432876,0.31646385,-0.295789649,-0.030967654,0.250407299,-20.0,0.203431979,20.0,0.143077503
1264,corn,9/6/2012,6.0,-0.020301251,0.200535062,0.181026294,0.340280599,-0.269668713,-0.025929821,0.235423351,-20.0,0.177741457,20.0,0.130855029
1265,corn,9/20/2012,6.0,-0.01581,0.18705,0.23747,0.62206,-0.24339,-0.02261,0.21929,-20.0,0.14836,20.0,0.11624
1266,corn,10/4/2012,6.0,-0.01633,0.19365,0.32234,0.41774,-0.25289,-0.02687,0.23307,-20.0,0.16402,20.0,0.12811
1267,corn,10/18/2012,6.0,-0.01026,0.17224,0.24368,0.38478,-0.22319,-0.01681,0.20974,-20.0,0.12692,20.0,0.10866
1268,corn,11/1/2012,6.0,-0.00845,0.17705,0.26427,0.39519,-0.22633,-0.01604,0.2188,-20.0,0.13045,20.0,0.1169
1269,corn,11/15/2012,6.0,-0.01316,0.16136,0.21219,0.30082,-0.21309,-0.01908,0.19396,-20.0,0.11613,20.0,0.09464
1270,corn,11/29/2012,6.0,-0.01135,0.16381,0.17673,0.25965,-0.21516,-0.01644,0.19927,-20.0,0.11767,20.0,0.09905
1271,corn,12/13/2012,6.0,-0.01007,0.16777,0.13359,0.12202,-0.22178,-0.0136,0.20514,-20.0,0.1262,20.0,0.10542
1272,corn,12/27/2012,6.0,-0.00862,0.18182,0.10041,0.22819,-0.2378,-0.01159,0.22239,-20.0,0.14212,20.0,0.12149
1273,corn,1/10/2013,6.0,-0.01454,0.18108,0.02259,0.28202,-0.24481,-0.01427,0.21192,-20.0,0.14833,20.0,0.11167
1274,corn,1/24/2013,6.0,-0.01012,0.16741,-0.0046,0.22483,-0.22422,-0.00893,0.19927,-20.0,0.12584,20.0,0.0993
1275,corn,2/7/2013,6.0,-0.01974,0.18758,-0.03396,0.22663,-0.25991,-0.01773,0.21529,-20.0,0.16343,20.0,0.11452
1276,corn,2/21/2013,6.0,-0.01854,0.18299,0.10906,0.30265,-0.24893,-0.02112,0.2127,-20.0,0.15511,20.0,0.1117
1277,corn,3/7/2013,6.0,-0.01818,0.19146,0.12608,0.2964,-0.25886,-0.02116,0.22384,-20.0,0.16551,20.0,0.12179
1278,corn,3/21/2013,6.0,-0.01646,0.19984,0.09659,0.26492,-0.26803,-0.01914,0.23667,-20.0,0.17369,20.0,0.13354
1279,corn,4/4/2013,6.0,-0.01356,0.19758,0.05779,0.24358,-0.26347,-0.01485,0.23555,-20.0,0.16791,20.0,0.13407
1280,corn,4/18/2013,6.0,-0.01074,0.21394,-0.03463,0.21217,-0.28462,-0.00861,0.25752,-20.0,0.18261,20.0,0.15536
1281,corn,5/2/2013,6.0,-0.02637,0.2188,-0.0794,0.24657,-0.30759,-0.02232,0.24578,-20.0,0.20527,20.0,0.14203
1282,corn,5/30/2013,6.0,-0.02024,0.20916,-0.05712,0.34173,-0.28771,-0.0166,0.23783,-20.0,0.18647,20.0,0.1356
1283,corn,6/13/2013,6.0,-0.01551,0.19475,-0.01189,0.33809,-0.26206,-0.01436,0.22718,-20.0,0.16397,20.0,0.12592
