,market,idt,maturity_target,mu,sd,skew,kurt,p10,p50,p90,lg_change_decr,prDec,lg_change_incr,prInc
1812,euro,4/29/2011,3.0,-0.00367959,0.062658824,-0.322282579,0.407039063,-0.084136536,-0.001107017,0.073020907,-10.0,0.06929616,10.0,0.039502469
1813,euro,5/31/2011,3.0,-0.002385818,0.067099922,-0.398745879,0.492905198,-0.089829121,0.001716692,0.078190183,-10.0,0.080085755,10.0,0.049806807
1814,euro,6/29/2011,3.0,-0.0055479,0.067269187,-0.504290585,0.852588613,-0.091415942,-0.000979653,0.073914734,-10.0,0.08452654,10.0,0.043076593
1815,euro,7/29/2011,3.0,-0.002831637,0.065686599,-0.518887465,0.728761033,-0.087916636,0.002190923,0.07471881,-10.0,0.077758753,10.0,0.041656376
1816,euro,8/11/2011,3.0,-0.00211829,0.075176283,-0.598367629,0.821080646,-0.100179159,0.004951185,0.085865959,-10.0,0.100230454,10.0,0.065004757
1817,euro,8/26/2011,3.0,1.72e-05,0.070635844,-0.718675709,1.077019532,-0.091750961,0.007509091,0.08126877,-10.0,0.086027582,10.0,0.051547783
1818,euro,9/8/2011,3.0,-7.82e-05,0.079246282,-0.804990369,1.338431046,-0.103026759,0.009312066,0.089312278,-10.0,0.10433237,10.0,0.072407471
1819,euro,9/23/2011,3.0,0.000911888,0.091863914,-0.662662669,0.967844887,-0.118692517,0.010189666,0.107035155,-10.0,0.130063349,10.0,0.117803908
1820,euro,10/6/2011,3.0,0.001117463,0.082091572,-0.540309322,0.848549884,-0.104992861,0.008009021,0.097030926,-10.0,0.109098935,10.0,0.092576161
1821,euro,10/20/2011,3.0,0.002803365,0.081867672,-0.588822897,0.774173383,-0.104564557,0.010285388,0.098231636,-10.0,0.1076916,10.0,0.095663252
1822,euro,11/3/2011,3.0,-0.001211042,0.076138874,-0.648264254,0.693233563,-0.103644539,0.008662572,0.085523545,-10.0,0.10694686,10.0,0.062496196
1823,euro,11/17/2011,3.0,0.000371645,0.083676254,-0.849681634,1.30682672,-0.109931635,0.011566617,0.09360632,-10.0,0.115174943,10.0,0.082555139
1824,euro,12/1/2011,3.0,0.000268345,0.08202409,-0.658627147,0.903179515,-0.107877117,0.009397976,0.094258429,-10.0,0.112433462,10.0,0.085466154
1825,euro,12/15/2011,3.0,0.000795169,0.078891476,-0.622863422,0.903875372,-0.102621234,0.008774358,0.091688454,-10.0,0.104278263,10.0,0.078811754
1826,euro,12/29/2011,3.0,0.000917668,0.074412518,-0.443648502,0.602589311,-0.096286653,0.006589781,0.089241756,-10.0,0.092866463,10.0,0.07371613
1827,euro,1/12/2012,3.0,0.000505192,0.062081193,-0.221602059,0.474872018,-0.078862502,0.002823446,0.075822498,-10.0,0.059304955,10.0,0.047281554
1828,euro,1/26/2012,3.0,0.001370635,0.060021114,-0.278546672,0.407283484,-0.076396885,0.00389639,0.07382936,-10.0,0.055128352,10.0,0.041587329
1829,euro,2/9/2012,3.0,0.00217445,0.054594218,-0.346836093,0.446265069,-0.06874001,0.004664832,0.068393755,-10.0,0.042102159,10.0,0.02705724
1830,euro,2/23/2012,3.0,0.002622916,0.050874138,-0.307140074,0.383637327,-0.063413246,0.004270218,0.06388651,-10.0,0.032304119,10.0,0.020699121
1831,euro,3/8/2012,3.0,0.000880063,0.05680715,-0.569731733,0.860668104,-0.072814521,0.00581164,0.067057626,-10.0,0.052720899,10.0,0.025309953
1832,euro,3/22/2012,3.0,0.000458637,0.05285048,-0.345434524,0.433184621,-0.068815438,0.003416257,0.063829298,-10.0,0.040554302,10.0,0.021986401
1833,euro,4/5/2012,3.0,0.000929367,0.05356109,-0.381938979,0.420765762,-0.069333106,0.00428514,0.065052919,-10.0,0.042552634,10.0,0.022235581
1834,euro,4/19/2012,3.0,0.001425294,0.048966652,-0.409480247,0.426630407,-0.063282599,0.004858892,0.059911634,-10.0,0.031587977,10.0,0.013408435
1835,euro,5/3/2012,3.0,0.001709712,0.046487442,-0.38426671,0.492291666,-0.059168396,0.004318795,0.057101564,-10.0,0.025734593,10.0,0.011012299
1836,euro,5/17/2012,3.0,0.002928129,0.056053633,-0.406799508,0.455764541,-0.070628173,0.006499016,0.070139619,-10.0,0.046539525,10.0,0.028515035
1837,euro,5/31/2012,3.0,0.00081722,0.06808142,-0.678372339,0.949918656,-0.089330975,0.00859245,0.078595064,-10.0,0.082247989,10.0,0.046972771
1838,euro,6/14/2012,3.0,0.00112677,0.064692956,-0.581284445,0.785599746,-0.083870773,0.007440328,0.07634249,-10.0,0.072020665,10.0,0.042732779
1839,euro,6/28/2012,3.0,0.001082713,0.056345184,-0.450964006,0.57433631,-0.072766203,0.00511238,0.067470558,-10.0,0.050459882,10.0,0.026699032
1840,euro,7/12/2012,3.0,0.000840749,0.054820466,-0.257072772,0.46472225,-0.06996609,0.003445207,0.066910706,-10.0,0.042733535,10.0,0.029548706
