,market,idt,maturity_target,mu,sd,skew,kurt,p10,p50,p90,lg_change_decr,prDec,lg_change_incr,prInc
2392,gold,11/30/2010,6.0,-0.004179613,0.158655788,-0.026317392,0.729372042,-0.199222908,-0.003858386,0.190147921,-20.0,0.099310424,20.0,0.090527129
2393,gold,12/31/2010,6.0,-0.007899894,0.151087803,0.00891027,0.456643387,-0.197431415,-0.007989984,0.179623319,-20.0,0.097205804,20.0,0.079967327
2394,gold,1/31/2011,6.0,-0.007914057,0.141959435,-0.208558227,0.520444002,-0.190063636,-0.002251993,0.163423581,-20.0,0.090076545,20.0,0.061770078
2395,gold,2/28/2011,6.0,-0.009908517,0.133096741,-0.063939218,0.758719483,-0.17525491,-0.00794863,0.151045372,-20.0,0.074659967,20.0,0.053372743
2396,gold,3/31/2011,6.0,-0.007174303,0.122636878,-0.010454639,0.59142553,-0.160017644,-0.006777443,0.143192987,-20.0,0.058885938,20.0,0.045164015
2397,gold,4/29/2011,6.0,-0.007062614,0.129998955,0.166419613,0.796048184,-0.16578114,-0.009898126,0.15273546,-20.0,0.063647141,20.0,0.057049355
2398,gold,5/31/2011,6.0,-0.007770987,0.129824615,0.050454907,0.685577656,-0.167704648,-0.008719935,0.151593105,-20.0,0.066472181,20.0,0.054093118
2399,gold,6/29/2011,6.0,-0.004462119,0.120699666,-0.000312088,0.620189948,-0.153588855,-0.004512391,0.143962276,-20.0,0.053285951,20.0,0.045730302
2400,gold,7/29/2011,6.0,-0.003432352,0.12939527,0.092812102,0.588064664,-0.163102901,-0.005643213,0.157470927,-20.0,0.060853167,20.0,0.058644464
2401,gold,8/11/2011,6.0,-0.00590217,0.187381128,0.248764904,0.792853846,-0.230866896,-0.013187644,0.228373114,-20.0,0.132745808,20.0,0.124681989
2402,gold,8/26/2011,6.0,-0.015123257,0.194498581,0.083784773,1.017249586,-0.253007744,-0.014788144,0.217139283,-20.0,0.151465954,20.0,0.114602641
2403,gold,9/8/2011,6.0,-0.01199571,0.20187403,0.055475469,0.719570958,-0.259281774,-0.01334801,0.236397113,-20.0,0.158746991,20.0,0.132199276
2404,gold,9/23/2011,6.0,-0.008615849,0.218704156,-0.195046827,0.509225656,-0.288296617,1.52e-05,0.254350714,-20.0,0.178194588,20.0,0.15643455
2405,gold,10/6/2011,6.0,-0.02462253,0.233030398,-0.075782551,0.4873954,-0.322549207,-0.018513395,0.258341056,-20.0,0.210308233,20.0,0.151072469
2406,gold,10/20/2011,6.0,-0.017118491,0.203879963,-0.040658686,0.348678609,-0.278532354,-0.012514291,0.234022745,-20.0,0.177792409,20.0,0.131788433
2407,gold,11/3/2011,6.0,-0.012325348,0.193763592,0.033297937,0.778529921,-0.250688644,-0.012561012,0.224075653,-20.0,0.149472544,20.0,0.121230856
2408,gold,11/17/2011,6.0,-0.008116037,0.199852962,-0.177451706,0.70440083,-0.259896277,-0.001565559,0.23151663,-20.0,0.154102013,20.0,0.131110764
2409,gold,12/1/2011,6.0,-0.005134425,0.188020289,-0.118879797,0.739559959,-0.238155159,-0.002215507,0.222920921,-20.0,0.135188129,20.0,0.122587517
2410,gold,12/15/2011,6.0,-0.011338252,0.191871881,-0.310005805,0.734581326,-0.255986672,-0.000939067,0.215190294,-20.0,0.149453238,20.0,0.115866538
2411,gold,12/29/2011,6.0,-0.00624426,0.173020053,-0.334776226,0.899435229,-0.223928397,0.002503502,0.197718138,-20.0,0.121395104,20.0,0.097932576
2412,gold,1/12/2012,6.0,-0.005948324,0.160770794,-0.117633749,0.811401933,-0.205055507,-0.003124092,0.187371105,-20.0,0.10478368,20.0,0.087457535
2413,gold,1/26/2012,6.0,-0.012354929,0.161474865,-0.042638524,0.814079844,-0.211981622,-0.010330442,0.18194304,-20.0,0.112083956,20.0,0.083254635
