DATE,EXPINF2YR
1982-01-01,6.4520483
1982-02-01,6.4728648
1982-03-01,6.2955332
1982-04-01,6.2227328
1982-05-01,5.8522017
1982-06-01,5.8388713
1982-07-01,6.412069
1982-08-01,6.2152739
1982-09-01,6.1069701
1982-10-01,5.3481248
1982-11-01,4.8502753
1982-12-01,4.862399
1983-01-01,4.9315961
1983-02-01,4.8602869
1983-03-01,4.4803673
1983-04-01,4.8366872
1983-05-01,4.7420485
1983-06-01,4.5861457
1983-07-01,5.0503638
1983-08-01,5.2888962
1983-09-01,5.2687262
1983-10-01,5.1918824
1983-11-01,5.2747922
1983-12-01,5.2775221
1984-01-01,5.3292706
1984-02-01,5.1981932
1984-03-01,5.1656168
1984-04-01,5.5430085
1984-05-01,5.6274968
1984-06-01,5.8336356
1984-07-01,5.9240863
1984-08-01,5.5102921
1984-09-01,5.4741881
1984-10-01,5.5441275
1984-11-01,5.1302254
1984-12-01,5.08562
1985-01-01,5.1264496
1985-02-01,4.9702339
1985-03-01,5.2473119
1985-04-01,5.0665183
1985-05-01,4.9583609
1985-06-01,4.7276271
1985-07-01,4.5979983
1985-08-01,4.6756146
1985-09-01,4.6487083
1985-10-01,4.6186542
1985-11-01,4.4967862
1985-12-01,4.3005902
1986-01-01,4.1155317
1986-02-01,4.1353033
1986-03-01,3.7382824
1986-04-01,3.4007531
1986-05-01,3.333163
1986-06-01,3.7971316
1986-07-01,3.6926506
1986-08-01,3.5685622
1986-09-01,3.4707596
1986-10-01,3.5871384
1986-11-01,3.4161711
1986-12-01,3.5959559
1987-01-01,3.5249946
1987-02-01,3.570319
1987-03-01,3.3021683
1987-04-01,3.6620176
1987-05-01,3.9587918
1987-06-01,3.9955849
1987-07-01,4.0042242
1987-08-01,4.1295339
1987-09-01,4.2538558
1987-10-01,4.40551
1987-11-01,4.0747772
1987-12-01,4.1611261
1988-01-01,3.9374048
1988-02-01,3.8546686
1988-03-01,3.7794035
1988-04-01,4.0513229
1988-05-01,4.1390119
1988-06-01,4.0997123
1988-07-01,4.226112
1988-08-01,4.304395
1988-09-01,4.3786325
1988-10-01,4.2894975
1988-11-01,4.1940383
1988-12-01,4.3777801
1989-01-01,4.4567507
1989-02-01,4.3791422
1989-03-01,4.5204276
1989-04-01,4.6015009
1989-05-01,4.6184648
1989-06-01,4.2936544
1989-07-01,4.1406212
1989-08-01,3.9541036
1989-09-01,4.0123086
1989-10-01,4.1345927
1989-11-01,3.9349472
1989-12-01,3.7497278
1990-01-01,4.0748741
1990-02-01,4.2936246
1990-03-01,4.0987718
1990-04-01,4.1752035
1990-05-01,4.3057047
1990-06-01,4.1603288
1990-07-01,4.0824702
1990-08-01,4.075384
1990-09-01,4.4807585
1990-10-01,4.5785561
1990-11-01,4.5181857
1990-12-01,4.4277978
1991-01-01,3.9749226
1991-02-01,3.8090494
1991-03-01,3.8727357
1991-04-01,3.8334966
1991-05-01,3.7555982
1991-06-01,3.757891
1991-07-01,3.9201466
1991-08-01,3.8546876
1991-09-01,3.675809
1991-10-01,3.6154615
1991-11-01,3.5323928
1991-12-01,3.5250056
1992-01-01,3.307224
1992-02-01,3.4413436
1992-03-01,3.5917606
1992-04-01,3.5054862
1992-05-01,3.5191611
1992-06-01,3.5542475
1992-07-01,3.3390634
1992-08-01,3.1798473
1992-09-01,3.0696832
1992-10-01,2.9744898
1992-11-01,3.1741821
1992-12-01,3.1902548
1993-01-01,3.1495661
1993-02-01,3.0051148
1993-03-01,2.9490215
1993-04-01,2.9378206
1993-05-01,2.8602657
1993-06-01,2.8779479
1993-07-01,2.8385638
1993-08-01,2.8725724
1993-09-01,2.7191341
1993-10-01,2.7545638
1993-11-01,2.8156677
1993-12-01,2.7780093
1994-01-01,2.9016318
1994-02-01,2.8325738
1994-03-01,3.185882
1994-04-01,3.329433
1994-05-01,3.3406803
1994-06-01,3.4425401
1994-07-01,3.4247607
1994-08-01,3.3757207
1994-09-01,3.3748931
1994-10-01,3.6007146
1994-11-01,3.6889137
1994-12-01,3.8873276
1995-01-01,3.8105331
1995-02-01,3.6868635
1995-03-01,3.5451
1995-04-01,3.5244194
1995-05-01,3.4517124
1995-06-01,3.0675927
1995-07-01,3.1889636
1995-08-01,3.2471844
1995-09-01,3.1809187
1995-10-01,3.1326904
1995-11-01,3.0156328
1995-12-01,2.8371686
1996-01-01,2.9666451
1996-02-01,2.9032205
1996-03-01,2.8160727
1996-04-01,3.157641
1996-05-01,3.2748079
1996-06-01,3.3148001
1996-07-01,3.2362311
1996-08-01,3.2072324
1996-09-01,3.2772105
1996-10-01,3.2503857
1996-11-01,3.1575925
1996-12-01,3.0263283
1997-01-01,3.2108967
1997-02-01,3.1876106
1997-03-01,3.2723654
1997-04-01,3.3359542
1997-05-01,3.2530506
1997-06-01,3.2570317
1997-07-01,3.1712498
1997-08-01,3.0729975
1997-09-01,3.1121132
1997-10-01,3.0605105
1997-11-01,3.0174173
1997-12-01,2.9994531
1998-01-01,2.8783443
1998-02-01,2.7819915
1998-03-01,2.9389525
1998-04-01,2.855318
1998-05-01,2.8241272
1998-06-01,2.7166043
1998-07-01,2.8432135
1998-08-01,2.8297815
1998-09-01,2.646287
1998-10-01,2.3643988
1998-11-01,2.4279354
1998-12-01,2.3893118
1999-01-01,2.482668
1999-02-01,2.5139316
1999-03-01,2.7635005
1999-04-01,2.7715098
1999-05-01,2.8032151
1999-06-01,2.691105
1999-07-01,2.9238756
1999-08-01,2.9585371
1999-09-01,2.9153414
1999-10-01,3.0163362
1999-11-01,3.0804422
1999-12-01,3.1956718
2000-01-01,3.2086219
2000-02-01,3.2860047
2000-03-01,3.3230982
2000-04-01,3.2126894
2000-05-01,3.3377469
2000-06-01,3.5357755
2000-07-01,3.1321545
2000-08-01,3.1448381
2000-09-01,3.1305367
2000-10-01,3.0861684
