,market,idt,maturity_target,mu,sd,skew,kurt,p10,p50,p90,lg_change_decr,prDec,lg_change_incr,prInc
3430,infl2y,6/25/2009,24.0,0.014229874,0.026015298,0.848134463,0.814701216,,0.011068966,0.049329897,-1.0,0.484263959,3.0,0.253807107
3431,infl2y,10/8/2009,24.0,0.011222248,0.020425369,1.351956572,5.333180045,-0.014827784,0.010084909,0.033828383,-1.0,0.497784491,3.0,0.135045317
3432,infl2y,10/15/2009,24.0,0.012383311,0.020495113,1.279369783,5.033463419,-0.013896966,0.011270707,0.034705591,-1.0,0.467194969,3.0,0.147849057
3433,infl2y,10/22/2009,24.0,0.01296625,0.020580087,1.259487012,4.978543153,-0.013439203,0.01186454,0.035279743,-1.0,0.452313812,3.0,0.154791279
3434,infl2y,10/29/2009,24.0,0.013779244,0.020662893,1.212547833,4.779814368,-0.012753008,0.012722623,0.036547264,-1.0,0.431732462,3.0,0.165325622
3435,infl2y,11/5/2009,24.0,0.014081545,0.020692947,1.196599743,4.720258751,-0.01248913,0.013049051,0.036995169,-1.0,0.424152649,3.0,0.169394928
3436,infl2y,11/12/2009,24.0,0.01415088,0.020699841,1.192662506,4.704861172,-0.012428364,0.013124748,0.03709396,-1.0,0.422429345,3.0,0.170349769
3437,infl2y,11/19/2009,24.0,0.014614476,0.021643585,1.515589183,6.065112792,-0.011657078,0.012978374,0.037871327,-1.0,0.422859572,3.0,0.169883977
3438,infl2y,11/26/2009,24.0,0.014823946,0.021661837,1.504868516,6.021373619,-0.011456019,0.013204157,0.038151244,-1.0,0.417496124,3.0,0.172610414
3439,infl2y,12/3/2009,24.0,0.014655459,0.02162579,1.505489882,6.013331273,-0.011614329,0.013029042,0.037930233,-1.0,0.421665331,3.0,0.170488684
3440,infl2y,12/10/2009,24.0,0.013717482,0.022032209,1.558770502,6.05154247,-0.013178596,0.011942502,0.037436364,-1.0,0.449904819,3.0,0.162984671
3441,infl2y,12/17/2009,24.0,0.014971979,0.02215154,1.494463192,5.782470058,-0.012079485,0.01326704,0.039102021,-1.0,0.41814403,3.0,0.178861178
3442,infl2y,12/24/2009,24.0,0.016212,0.021248762,1.093850896,4.491543533,-0.01185,0.015824816,0.039650122,-1.0,0.367533451,3.0,0.201110831
3443,infl2y,12/31/2009,24.0,0.017064562,0.021307955,1.041261938,4.302135436,-0.010978661,0.016775814,0.040627068,-1.0,0.347997573,3.0,0.215412621
3444,infl2y,1/7/2010,24.0,0.017770408,0.02131788,0.992867602,4.137483018,-0.01016208,0.017538492,0.041351787,-1.0,0.332067786,3.0,0.227748165
3445,infl2y,1/14/2010,24.0,0.017686796,0.021347862,0.998925364,4.144959549,-0.010327273,0.01744506,0.041307475,-1.0,0.334255255,3.0,0.226541285
3446,infl2y,1/21/2010,24.0,0.017948463,0.021395423,0.993992465,4.148164806,-0.010058642,0.017713385,0.041573095,-1.0,0.328790845,3.0,0.231265372
3447,infl2y,1/28/2010,24.0,0.017330937,0.021290928,1.024079373,4.25801479,-0.010629557,0.017069238,0.04087327,-1.0,0.341676689,3.0,0.219758469
3448,infl2y,2/4/2010,24.0,0.017730899,0.02133968,1.006060431,4.201043462,-0.010211325,0.017490165,0.041298319,-1.0,0.333066213,3.0,0.226910748
3449,infl2y,2/11/2010,24.0,0.017296376,0.021329554,1.02756862,4.255216089,-0.010747544,0.017024876,0.040889539,-1.0,0.342852833,3.0,0.219493187
3450,infl2y,2/18/2010,24.0,0.018262793,0.021372198,0.968645261,4.061377219,-0.009634352,0.018048852,0.041854473,-1.0,0.32167955,3.0,0.23684871
3451,infl2y,2/25/2010,24.0,0.016354528,0.021190417,1.083945531,4.484085624,-0.011581735,0.015998795,0.039718501,-1.0,0.363488732,3.0,0.202768201
3452,infl2y,3/4/2010,24.0,0.016447364,0.021202348,1.079324019,4.468156881,-0.011494475,0.016102985,0.039832411,-1.0,0.361373519,3.0,0.204303494
3453,infl2y,3/11/2010,24.0,0.016980916,0.021245885,1.044790859,4.334559445,-0.010959732,0.016692155,0.040456325,-1.0,0.349279063,3.0,0.213427456
3454,infl2y,3/18/2010,24.0,0.01575106,0.016128766,0.689296316,4.57885572,-0.003711049,0.016096215,0.033343528,-1.0,0.329762739,3.0,0.147061768
3455,infl2y,3/25/2010,24.0,0.015126959,0.016092275,0.732894294,4.761996208,-0.00414484,0.015380813,0.03284952,-1.0,0.346957698,3.0,0.13720429
3456,infl2y,4/1/2010,24.0,0.01576278,0.016176581,0.708877634,4.692966571,-0.003734571,0.016100838,0.033362892,-1.0,0.329723768,3.0,0.147340452
3457,infl2y,4/8/2010,24.0,0.016736696,0.016183526,0.623814662,4.329713981,-0.002961519,0.017147451,0.034041838,-1.0,0.303738786,3.0,0.163910189
3458,infl2y,4/15/2010,24.0,0.016930005,0.016197472,0.613396185,4.297196567,-0.002811518,0.017343536,0.034172606,-1.0,0.298823235,3.0,0.167426139
3459,infl2y,4/22/2010,24.0,0.017369608,0.016785319,0.624988243,4.106983788,-0.00313436,0.017738599,0.034846176,-1.0,0.294592292,3.0,0.182579061
3460,infl2y,4/29/2010,24.0,0.018088103,0.016786391,0.576658636,3.949022557,-0.002496301,0.018444427,0.03572036,-1.0,0.277069112,3.0,0.19609846
3461,infl2y,5/6/2010,24.0,0.016578276,0.016740641,0.677752801,4.304741791,-0.00373785,0.01693171,0.034349664,-1.0,0.314180562,3.0,0.168018627
3462,infl2y,5/13/2010,24.0,0.016676232,0.016140246,0.266331592,2.103585852,-0.003543073,0.017204301,0.034520671,-1.0,0.307551797,3.0,0.172780502
3463,infl2y,5/20/2010,24.0,0.012419205,0.016426524,0.928486675,5.265534557,-0.008148523,0.012209136,0.030825612,-1.0,0.430561809,3.0,0.107934364
3464,infl2y,5/27/2010,24.0,0.01162344,0.016238104,0.339285879,1.607674153,-0.010936408,0.011909203,0.031145056,-1.0,0.445763559,3.0,0.112271932
3465,infl2y,6/3/2010,24.0,0.01139213,0.016249014,0.359600382,1.681156241,-0.011219629,0.011666081,0.030935762,-1.0,0.452452603,3.0,0.10979035
3466,infl2y,6/10/2010,24.0,0.010378102,0.016122852,0.400591863,1.739447954,-0.012171375,0.010642869,0.029784293,-1.0,0.481202443,3.0,0.097992591
3467,infl2y,6/17/2010,24.0,0.010354507,0.016121305,0.401461691,1.74083879,-0.012197624,0.010619983,0.029757266,-1.0,0.481859977,3.0,0.09774624
3468,infl2y,6/24/2010,24.0,0.010520186,0.016143465,0.396151168,1.738137334,-0.012044388,0.010783205,0.029957233,-1.0,0.477162561,3.0,0.099595223
3469,infl2y,7/1/2010,24.0,0.011397818,0.016263183,0.356123704,1.646869766,-0.011248295,0.011672501,0.030962822,-1.0,0.452320359,3.0,0.11007984
3470,infl2y,7/8/2010,24.0,0.010404287,0.016139146,0.409539396,1.807171439,-0.012154039,0.010666667,0.029815705,-1.0,0.480513332,3.0,0.098280588
3471,infl2y,7/15/2010,24.0,0.011157526,0.016043732,0.410452347,2.322015842,-0.011314429,0.011553341,0.030008188,-1.0,0.45381896,3.0,0.100079665
3472,infl2y,7/22/2010,24.0,0.01068214,0.016236998,0.435631334,2.491125624,-0.012574513,0.011198423,0.029591707,-1.0,0.464493366,3.0,0.096183472
3473,infl2y,7/29/2010,24.0,0.011968304,0.016394475,0.409389492,2.602139781,-0.011268504,0.012543905,0.030947029,-1.0,0.427318794,3.0,0.110214119
3474,infl2y,8/5/2010,24.0,0.012457144,0.016432518,0.363794806,2.401425048,-0.010769419,0.013101243,0.031458676,-1.0,0.413367074,3.0,0.116726208
3475,infl2y,8/12/2010,24.0,0.011614301,0.01633792,0.418301849,2.57678315,-0.011608397,0.012158877,0.030556785,-1.0,0.437397607,3.0,0.105743931
3476,infl2y,8/19/2010,24.0,0.010730062,0.016248244,0.488279287,2.864170898,-0.012437367,0.011223932,0.029485191,-1.0,0.463338456,3.0,0.095260523
3477,infl2y,8/26/2010,24.0,0.011261539,0.016278688,0.446617216,2.705856893,-0.011895787,0.011778894,0.030102963,-1.0,0.447555556,3.0,0.101012346
3478,infl2y,9/2/2010,24.0,0.010656539,0.016145377,0.43567594,2.640109231,-0.01256179,0.011227461,0.029293355,-1.0,0.463199921,3.0,0.09351287
3479,infl2y,9/9/2010,24.0,0.011765424,0.016254141,0.355401226,2.367493749,-0.01149961,0.012414002,0.030632787,-1.0,0.430639714,3.0,0.106710043
3480,infl2y,9/16/2010,24.0,0.011407033,0.016219533,0.214722551,1.354098652,-0.012167862,0.012102837,0.030729557,-1.0,0.441193971,3.0,0.107918485
3481,infl2y,9/23/2010,24.0,0.011616277,0.01625336,0.210119011,1.372255582,-0.011975601,0.012329256,0.030954869,-1.0,0.435396806,3.0,0.110635137
3482,infl2y,9/30/2010,24.0,0.012084514,0.015918078,0.387663754,2.710781142,-0.010079823,0.012598498,0.030204835,-1.0,0.420324298,3.0,0.101992821
3483,infl2y,10/7/2010,24.0,0.012445736,0.016610191,0.862039118,5.78746156,-0.00987088,0.012831527,0.03046665,-1.0,0.414118316,3.0,0.104669847
3484,infl2y,10/14/2010,24.0,0.011713721,0.017582343,1.002092046,4.681086978,-0.011030591,0.011253998,0.031773707,-1.0,0.46315347,3.0,0.116882635
3485,infl2y,10/21/2010,24.0,0.01169166,0.017413301,0.721845387,2.870869458,-0.011406962,0.011342222,0.032331256,-1.0,0.462673654,3.0,0.124042122
3486,infl2y,10/28/2010,24.0,0.011804662,0.017417703,0.710811566,2.816186709,-0.011298818,0.011457832,0.032438152,-1.0,0.459541287,3.0,0.125429426
3487,infl2y,11/4/2010,24.0,0.013902421,0.01696444,0.452737526,1.79812483,-0.008160769,0.013778006,0.033867474,-1.0,0.400079008,3.0,0.150437015
3488,infl2y,11/11/2010,24.0,0.014557301,0.017016337,0.424283278,1.730000018,-0.007326797,0.014520706,0.034349053,-1.0,0.383278883,3.0,0.16025641
3489,infl2y,11/18/2010,24.0,0.013866915,0.016501777,0.411014303,1.485562242,-0.007117331,0.013617177,0.033663085,-1.0,0.402227293,3.0,0.147353539
3490,infl2y,11/25/2010,24.0,0.01404369,0.01814822,0.485608033,1.343133659,-0.009995879,0.013635442,0.035678053,-1.0,0.410955503,3.0,0.170540326
3491,infl2y,12/2/2010,24.0,0.014232328,0.018196287,0.499533037,1.455904172,-0.009801532,0.013832161,0.035980801,-1.0,0.406571429,3.0,0.173267081
3492,infl2y,12/9/2010,24.0,0.014907073,0.017971905,0.45868369,1.411123019,-0.008527286,0.01462063,0.036441413,-1.0,0.387920314,3.0,0.18008854
3493,infl2y,12/16/2010,24.0,0.016615895,0.018089422,0.387251741,1.254199547,-0.006352174,0.0165296,0.038751285,-1.0,0.3480707,3.0,0.208376898
3494,infl2y,12/23/2010,24.0,0.018063576,0.018178825,0.347798985,1.235806159,-0.004633172,0.018033194,0.040401495,-1.0,0.315803828,3.0,0.233673014
3495,infl2y,12/30/2010,24.0,0.017571332,0.018141501,0.359695891,1.234945968,-0.004968143,0.017527435,0.039868602,-1.0,0.326577637,3.0,0.224845767
3496,infl2y,1/6/2011,24.0,0.019219588,0.018255026,0.288919688,1.070666265,-0.003844969,0.019199452,0.041661808,-1.0,0.292316508,3.0,0.256913648
3497,infl2y,1/13/2011,24.0,0.020158471,0.018351813,0.265560372,1.063659485,-0.003156589,0.020131295,0.04255099,-1.0,0.274146244,3.0,0.276159467
3498,infl2y,1/27/2011,24.0,0.019258101,0.018184123,0.220142799,0.712625595,-0.003887717,0.019255479,0.041899794,-1.0,0.29427258,3.0,0.261958007
3499,infl2y,2/3/2011,24.0,0.019910184,0.018195866,0.178550332,0.581788584,-0.003412066,0.019914248,0.042569942,-1.0,0.282570225,3.0,0.276526009
3500,infl2y,2/10/2011,24.0,0.019915196,0.018227225,0.204123902,0.621501042,-0.003358844,0.019846991,0.042630164,-1.0,0.283427001,3.0,0.275683777
3501,infl2y,2/17/2011,24.0,0.021078315,0.017374355,0.138287593,0.669796524,-0.001213137,0.021011843,0.042681859,-1.0,0.24896152,3.0,0.28977937
3502,infl2y,2/24/2011,24.0,0.023967219,0.016986054,0.069000262,0.657803406,0.002788295,0.023964666,0.044498363,-1.0,0.194479047,3.0,0.35198565
3503,infl2y,3/3/2011,24.0,0.024382846,0.017698115,0.083528227,0.601631825,0.002081197,0.02440345,0.045932907,-1.0,0.19741173,3.0,0.366709056
3504,infl2y,3/10/2011,24.0,0.02583974,0.016558986,0.000897502,0.646209018,0.005571169,0.026061721,0.045906818,-1.0,0.160672536,3.0,0.396209521
3505,infl2y,3/17/2011,24.0,0.026510527,0.016239904,-0.025763339,0.66307609,0.006361335,0.026771794,0.046306493,-1.0,0.147149461,3.0,0.412110443
3506,infl2y,3/24/2011,24.0,0.027194166,0.016205301,-0.047565144,0.655968897,0.006899351,0.027476259,0.04722973,-1.0,0.137840515,3.0,0.430237741
3507,infl2y,3/31/2011,24.0,0.025987208,0.016877163,0.005508954,0.604697403,0.005390654,0.026205168,0.046752727,-1.0,0.163030454,3.0,0.401747379
3508,infl2y,4/7/2011,24.0,0.025418854,0.015496951,-0.404496058,0.968359439,0.007063573,0.026331081,0.043703208,-1.0,0.138530823,3.0,0.389998412
3509,infl2y,4/14/2011,24.0,0.026713652,0.014544334,-0.097904676,0.753459775,0.008210963,0.027026251,0.044300029,-1.0,0.121473432,3.0,0.409655069
3510,infl2y,4/21/2011,24.0,0.025987689,0.014924747,-0.0659687,0.734094434,0.007228452,0.026259836,0.044124063,-1.0,0.13620286,3.0,0.391072585
3511,infl2y,4/28/2011,24.0,0.026622077,0.014851265,-0.084640064,0.737171164,0.007811366,0.026927741,0.04448812,-1.0,0.126834692,3.0,0.408598962
3512,infl2y,5/5/2011,24.0,0.02469331,0.014521832,-0.054724004,0.741852089,0.006621336,0.024825316,0.042833156,-1.0,0.14922779,3.0,0.352435815
3513,infl2y,5/12/2011,24.0,0.022402203,0.014292953,0.017959534,0.773816219,0.005316442,0.022294713,0.040565675,-1.0,0.18444312,3.0,0.28839565
3514,infl2y,5/19/2011,24.0,0.021242738,0.014163974,0.047782258,0.84815474,0.004314944,0.021152711,0.039047015,-1.0,0.204154052,3.0,0.257556206
3515,infl2y,5/26/2011,24.0,0.021159803,0.014137837,0.049554059,0.852295099,0.004236025,0.02107319,0.038904737,-1.0,0.205426357,3.0,0.255196761
3516,infl2y,6/2/2011,24.0,0.020643673,0.014213388,-0.046894091,0.691009873,0.002937864,0.020764041,0.038362003,-1.0,0.216838505,3.0,0.248389016
3517,infl2y,6/9/2011,24.0,0.020193273,0.013780222,-0.047452621,0.81273319,0.003220627,0.020336028,0.036861145,-1.0,0.218480737,3.0,0.230414975
3518,infl2y,6/16/2011,24.0,0.019126597,0.012713584,-0.030292315,1.302364636,0.0041893,0.019355267,0.034056004,-1.0,0.221577956,3.0,0.184706116
3519,infl2y,6/23/2011,24.0,0.017688306,0.012486879,0.007326675,1.370404928,0.002388662,0.018019394,0.032921954,-1.0,0.25477912,3.0,0.151545166
3520,infl2y,6/30/2011,24.0,0.018003028,0.012984277,-0.084840444,1.001985352,0.001438141,0.018452017,0.033732952,-1.0,0.253075702,3.0,0.171147931
3521,infl2y,7/7/2011,24.0,0.0195604,0.01334342,-0.138579912,1.083402551,0.003185185,0.019912169,0.034925622,-1.0,0.220664847,3.0,0.210071942
3522,infl2y,7/14/2011,24.0,0.01922817,0.013463821,-0.116086952,1.097574796,0.00246961,0.01960271,0.034824823,-1.0,0.229873669,3.0,0.204384444
3523,infl2y,7/21/2011,24.0,0.019951446,0.013481113,-0.140558348,1.091357713,0.003508687,0.020282478,0.03568599,-1.0,0.214013086,3.0,0.221274908
3524,infl2y,7/28/2011,24.0,0.020198327,0.013230468,-0.202666078,1.087747079,0.004396003,0.020558365,0.035460414,-1.0,0.203998216,3.0,0.223543401
3525,infl2y,8/4/2011,24.0,0.015190721,0.01306264,-0.054302613,1.033257326,-0.001706544,0.015624343,0.031619864,-1.0,0.32949434,3.0,0.122411151
3526,infl2y,8/11/2011,24.0,0.014294917,0.014947416,0.179660064,1.575769654,-0.004441655,0.014522767,0.0327741,-1.0,0.372588682,3.0,0.137623958
3527,infl2y,8/18/2011,24.0,0.012216656,0.014508076,0.207032466,1.498009795,-0.006145062,0.012269826,0.030483031,-1.0,0.429773894,3.0,0.105129344
3528,infl2y,8/25/2011,24.0,0.012843363,0.014534407,0.183060276,1.440163797,-0.005165579,0.012919578,0.031129764,-1.0,0.411551902,3.0,0.1129842
3529,infl2y,9/1/2011,24.0,0.017038038,0.013621708,-0.315067826,0.81773309,-0.000919078,0.017998867,0.033334214,-1.0,0.274981477,3.0,0.162336379
3530,infl2y,9/8/2011,24.0,0.016053153,0.01404248,0.159302636,2.252118368,-0.001941307,0.016666161,0.03251763,-1.0,0.31142843,3.0,0.143040664
3531,infl2y,9/15/2011,24.0,0.015975826,0.014254768,0.373550311,3.025984915,-0.001930454,0.016386391,0.032584491,-1.0,0.316786914,3.0,0.139528563
3532,infl2y,9/22/2011,24.0,0.014385216,0.014188445,0.463126191,3.437885183,-0.003201969,0.014575549,0.031167772,-1.0,0.362000791,3.0,0.114793397
3533,infl2y,9/29/2011,24.0,0.013595721,0.013495083,0.426804059,3.470222711,-0.003166724,0.013675487,0.029630493,-1.0,0.380429405,3.0,0.095923617
3534,infl2y,10/6/2011,24.0,0.014531507,0.014005303,0.64029875,5.436554894,-0.002605975,0.014825341,0.030540429,-1.0,0.349405352,3.0,0.106491576
3535,infl2y,10/13/2011,24.0,0.014608487,0.014385533,0.836293027,6.643529464,-0.002700691,0.014806288,0.030735708,-1.0,0.349955388,3.0,0.10880341
3536,infl2y,10/20/2011,24.0,0.015768527,0.013930916,0.652060307,5.534214248,-0.00123245,0.01614647,0.031614943,-1.0,0.313218391,3.0,0.122275069
3537,infl2y,10/27/2011,24.0,0.017406294,0.013337578,0.469041286,4.608103708,0.001399189,0.017802068,0.032615316,-1.0,0.262373049,3.0,0.143819668
3538,infl2y,11/3/2011,24.0,0.017095897,0.013866,0.55832211,4.820648966,0.000257326,0.017457361,0.03275478,-1.0,0.277464371,3.0,0.144917854
3539,infl2y,11/10/2011,24.0,0.017322684,0.014483151,0.584441964,4.903012135,-0.000387798,0.017735928,0.033268966,-1.0,0.276730807,3.0,0.156417378
3540,infl2y,11/17/2011,24.0,0.014768759,0.014284712,0.673037226,5.390476725,-0.002717723,0.015085653,0.031096498,-1.0,0.346436736,3.0,0.114004572
3541,infl2y,11/24/2011,24.0,0.014341982,0.013891093,0.64000768,5.290964194,-0.002715765,0.014552794,0.030378693,-1.0,0.357022123,3.0,0.104523987
3542,infl2y,12/1/2011,24.0,0.016214477,0.015332492,0.691020486,4.955564253,-0.002564753,0.016604882,0.033112096,-1.0,0.316064875,3.0,0.148745164
3543,infl2y,12/8/2011,24.0,0.016186524,0.015311795,0.674974819,4.836206289,-0.00258289,0.016580512,0.033092927,-1.0,0.316702175,3.0,0.148317891
3544,infl2y,12/15/2011,24.0,0.01498733,0.015416318,0.747308324,5.161092899,-0.003694683,0.015297992,0.032263934,-1.0,0.350588119,3.0,0.131247208
3545,infl2y,12/22/2011,24.0,0.015467928,0.016378946,0.860681198,5.686303854,-0.004201082,0.015874759,0.033073762,-1.0,0.341164251,3.0,0.145135763
3546,infl2y,12/29/2011,24.0,0.015458577,0.016165862,0.855109059,5.797062979,-0.003978224,0.015872047,0.032907056,-1.0,0.339416419,3.0,0.142383778
3547,infl2y,1/5/2012,24.0,0.016552691,0.016106225,0.854145758,5.809046142,-0.002871508,0.016910095,0.033601666,-1.0,0.311060937,3.0,0.157924772
3548,infl2y,1/12/2012,24.0,0.01698506,0.015696444,0.791905978,5.573999409,-0.002033609,0.017323293,0.033689982,-1.0,0.297178218,3.0,0.161633663
3549,infl2y,3/29/2012,24.0,0.021698603,0.015205178,0.564634224,4.576220747,0.005166667,0.021541096,0.03840625,-1.0,0.179551122,3.0,0.250623441
3550,infl2y,4/5/2012,24.0,0.020954764,0.015905607,0.328062832,1.906424526,0.001538462,0.020793651,0.04,-1.0,0.22,3.0,0.255
3551,infl2y,4/12/2012,24.0,0.019789017,0.015759688,0.470259402,2.482537567,0.000366667,0.019612403,0.0383,-1.0,0.243142145,3.0,0.225685786
3552,infl2y,4/19/2012,24.0,0.019098542,0.016218067,0.850305681,4.869648502,-0.00059375,0.018867188,0.037107143,-1.0,0.260598504,3.0,0.209476309
3553,infl2y,4/26/2012,24.0,0.019316458,0.014870791,0.270090188,1.710596497,0.001142857,0.019264706,0.036714286,-1.0,0.241293532,3.0,0.208955224
3554,infl2y,5/10/2012,24.0,0.019140403,0.013562742,0.701287121,2.658943851,0.002487179,0.018758865,0.034706667,-1.0,0.246268657,3.0,0.187810945
3555,infl2y,5/24/2012,24.0,0.017932016,0.013571724,0.42830979,2.398660822,0.001690476,0.017769784,0.033808824,-1.0,0.269326683,3.0,0.164588529
3556,infl2y,6/7/2012,24.0,0.013400413,0.014974354,0.510670501,1.277014296,-0.004984375,0.01272,0.032022727,-1.0,0.41521197,3.0,0.122194514
3557,infl2y,6/14/2012,24.0,0.013546893,0.015873289,0.506215885,1.989724939,-0.004967742,0.01304878,0.032511111,-1.0,0.406716418,3.0,0.128109453
3558,infl2y,6/21/2012,24.0,0.013760485,0.016070145,0.527129742,2.300384347,-0.004966667,0.013278689,0.032955556,-1.0,0.400497512,3.0,0.133084577
3559,infl2y,6/28/2012,24.0,0.012429644,0.016484664,1.078129509,6.001057685,-0.006727273,0.011825397,0.031358974,-1.0,0.44278607,3.0,0.11318408
