,market,idt,maturity_target,mu,sd,skew,kurt,p10,p50,p90,lg_change_decr,prDec,lg_change_incr,prInc
4446,iyr,10/29/2010,3.0,-0.01537962,0.136964567,-0.948439994,1.454774284,-0.196560597,0.005728845,0.135343859,-20.0,0.097425611,20.0,0.022713267
4447,iyr,11/29/2010,3.0,-0.008931761,0.132599279,-1.101659741,1.824669675,-0.186258754,0.016055002,0.131943298,-20.0,0.088976278,20.0,0.016269865
4448,iyr,12/31/2010,3.0,-0.004860054,0.119345784,-0.799043018,1.280880449,-0.158785528,0.009047768,0.131906166,-20.0,0.062629678,20.0,0.017100084
4449,iyr,1/31/2011,3.0,0.000338061,0.109281359,-1.278825651,2.279705538,-0.147426961,0.023510077,0.111530273,-20.0,0.060188614,20.0,0.003245645
4450,iyr,2/28/2011,3.0,0.003416203,0.100808668,-1.390540942,2.931218339,-0.129663842,0.024589929,0.104839863,-20.0,0.04769664,20.0,0.001771007
4451,iyr,3/31/2011,3.0,0.004094209,0.093272088,-1.118044087,2.17818194,-0.116625121,0.019065992,0.103910384,-20.0,0.035999041,20.0,0.002161175
4452,iyr,4/29/2011,3.0,0.002103601,0.092366851,-1.431321436,3.381444179,-0.114291014,0.018935067,0.095961319,-20.0,0.040185734,20.0,0.000947085
4453,iyr,5/31/2011,3.0,0.003422594,0.096781483,-1.390484483,2.638271966,-0.130741391,0.025503027,0.099089009,-20.0,0.045556305,20.0,0.000873836
4454,iyr,6/29/2011,3.0,0.003818057,0.107862396,-1.082194043,2.136394922,-0.13553953,0.020952786,0.120361545,-20.0,0.049915317,20.0,0.008715423
4455,iyr,7/29/2011,3.0,-0.000352999,0.127134216,-1.582443374,3.577661324,-0.165849034,0.027710281,0.122470011,-20.0,0.079474054,20.0,0.009950972
4456,iyr,8/11/2011,3.0,-0.006823086,0.188950371,-1.422136156,2.515955832,-0.272981632,0.038807261,0.177699107,-20.0,0.139733399,20.0,0.065456288
4457,iyr,8/26/2011,3.0,-0.000729639,0.192809873,-1.704828386,4.014330963,-0.247922858,0.04480258,0.179478079,-20.0,0.125937689,20.0,0.068854172
4458,iyr,9/8/2011,3.0,-0.007574497,0.17404803,-1.293899262,2.727114193,-0.228852234,0.024020987,0.17383142,-20.0,0.120308555,20.0,0.059873111
