,market,idt,maturity_target,mu,sd,skew,kurt,p10,p50,p90,lg_change_decr,prDec,lg_change_incr,prInc
6892,pound,4/29/2011,3.0,-0.00203311,0.048537042,-0.326349704,0.713841455,-0.062990991,-0.000361868,0.056491232,-10.0,0.033301906,10.0,0.0147656
6893,pound,5/31/2011,3.0,-0.001342048,0.051231771,-0.357944106,0.598962909,-0.067134763,0.0012908,0.060340084,-10.0,0.038263306,10.0,0.018064558
6894,pound,6/29/2011,3.0,-0.001974911,0.051605685,-0.56378805,0.665355123,-0.069733491,0.002639862,0.058864178,-10.0,0.044720068,10.0,0.011282855
6895,pound,7/29/2011,3.0,-0.001980573,0.049081177,-0.377778963,0.597773801,-0.065126585,0.000737773,0.056929535,-10.0,0.034678722,10.0,0.013294085
6896,pound,8/11/2011,3.0,-0.002220571,0.053799487,-0.471745269,0.866807937,-0.071514845,0.001533908,0.06104094,-10.0,0.048503882,10.0,0.020784427
6897,pound,8/26/2011,3.0,-0.000857558,0.056363599,-0.458610592,0.663427948,-0.073477574,0.002517549,0.066975111,-10.0,0.051359465,10.0,0.024979729
6898,pound,9/8/2011,3.0,-0.001196345,0.063403417,-0.439206359,0.646518806,-0.083480751,0.003122027,0.074149223,-10.0,0.069084114,10.0,0.041633984
6899,pound,9/23/2011,3.0,-0.000219545,0.069608144,-0.476248468,0.564558136,-0.091877864,0.005355822,0.082492059,-10.0,0.085141685,10.0,0.056950446
6900,pound,10/6/2011,3.0,0.000946561,0.062960482,-0.530041704,0.776531429,-0.080720421,0.00588251,0.075138258,-10.0,0.066573778,10.0,0.040483079
6901,pound,10/20/2011,3.0,0.001641552,0.057052307,-0.521768175,0.710241416,-0.072845845,0.006066659,0.069161641,-10.0,0.051098362,10.0,0.02701779
6902,pound,11/3/2011,3.0,-0.001062695,0.051229832,-0.371344127,0.356485102,-0.069301722,0.003030052,0.059145516,-10.0,0.039080252,10.0,0.01640391
6903,pound,11/17/2011,3.0,-0.000830009,0.056060748,-0.584725797,0.906872775,-0.073070366,0.003613376,0.06497412,-10.0,0.052949535,10.0,0.021213737
6904,pound,12/1/2011,3.0,-0.000368061,0.061128496,-0.578544444,1.011221788,-0.078580766,0.004289776,0.071053965,-10.0,0.062391854,10.0,0.033949586
6905,pound,12/15/2011,3.0,0.00025415,0.059171111,-0.573336967,0.885660627,-0.076366798,0.005094403,0.069411238,-10.0,0.058156588,10.0,0.029235308
6906,pound,12/29/2011,3.0,0.000477069,0.056028193,-0.459123148,0.735253213,-0.071704044,0.004065241,0.066508606,-10.0,0.04873962,10.0,0.026640504
6907,pound,1/12/2012,3.0,0.000487391,0.048645371,-0.329537452,0.581738868,-0.061622542,0.002823446,0.059307788,-10.0,0.030120334,10.0,0.015774002
6908,pound,1/26/2012,3.0,0.0006204,0.042704916,-0.217227307,0.459030112,-0.054053081,0.001958585,0.052765335,-10.0,0.016532709,10.0,0.00889139
6909,pound,2/9/2012,3.0,0.001284233,0.036800484,-0.303481582,0.508753288,-0.046310487,0.002344855,0.045901649,-10.0,0.008656167,10.0,0.002345223
6910,pound,2/23/2012,3.0,0.00117818,0.035649501,-0.11044708,0.676320611,-0.043877217,0.00109062,0.044180449,-10.0,0.006269319,10.0,0.004391931
6911,pound,3/8/2012,3.0,-0.000586865,0.042776761,-0.337914972,0.658117029,-0.055167655,0.001353803,0.050606723,-10.0,0.019999465,10.0,0.007298143
6912,pound,3/22/2012,3.0,-4.41e-05,0.043777047,-0.356940501,0.557120881,-0.056438941,0.00195931,0.052754375,-10.0,0.02158139,10.0,0.007611461
6913,pound,4/5/2012,3.0,0.000191406,0.041644159,-0.302084088,0.512365341,-0.053570958,0.002151988,0.05027634,-10.0,0.016467535,10.0,0.006359441
6914,pound,4/19/2012,3.0,0.000602838,0.037942224,-0.296618413,0.472681197,-0.048120397,0.001834757,0.046503157,-10.0,0.009972689,10.0,0.003022304
6915,pound,5/3/2012,3.0,0.000873178,0.03540019,-0.247716775,0.553068138,-0.044349559,0.001454314,0.043893356,-10.0,0.006734034,10.0,0.00221353
6916,pound,5/17/2012,3.0,0.001628413,0.045863579,-0.221928948,0.506786124,-0.057255035,0.002802638,0.056666079,-10.0,0.022084847,10.0,0.014251913
6917,pound,5/31/2012,3.0,0.000148858,0.04981436,-0.522190849,0.712619453,-0.064592137,0.004311832,0.058934286,-10.0,0.037412483,10.0,0.012436073
6918,pound,6/14/2012,3.0,0.000719301,0.048816574,-0.588305998,0.854710859,-0.062876247,0.005125001,0.057557852,-10.0,0.035520899,10.0,0.01048169
6919,pound,6/28/2012,3.0,0.001037253,0.044284647,-0.552842078,0.792471429,-0.05654507,0.0046036,0.052929246,-10.0,0.025384264,10.0,0.005610836
6920,pound,7/12/2012,3.0,0.000836265,0.040978124,-0.37329489,0.470183379,-0.052555505,0.003445207,0.04996188,-10.0,0.015429367,10.0,0.004385317
6921,pound,7/26/2012,3.0,0.001128713,0.041240104,-0.258422766,0.283266813,-0.052606004,0.002667584,0.051478355,-10.0,0.013018874,10.0,0.005594162
6922,pound,8/9/2012,3.0,-0.000237761,0.041147462,-0.368819548,0.639289812,-0.053148397,0.001962347,0.049011912,-10.0,0.017127369,10.0,0.005223188
6923,pound,8/23/2012,3.0,-1.21e-05,0.038261632,-0.372894637,0.667238094,-0.049123942,0.00209026,0.04588974,-10.0,0.012362314,10.0,0.002951439
6924,pound,9/6/2012,3.0,6.02e-06,0.037447508,-0.361950797,0.642769154,-0.047836277,0.001790562,0.044814114,-10.0,0.010909705,10.0,0.002549639
6925,pound,9/20/2012,3.0,0.00026,0.03317,-0.31536,0.44757,-0.0424,0.00146,0.04036,-10.0,0.00444,10.0,0.0007
6926,pound,10/4/2012,3.0,0.0005,0.03408,-0.29376,0.35895,-0.0441,0.00215,0.04204,-10.0,0.00481,10.0,0.00096
6927,pound,10/18/2012,3.0,0.00069,0.0309,-0.26822,0.46936,-0.03935,0.00183,0.03828,-10.0,0.00245,10.0,0.00048
6928,pound,11/1/2012,3.0,0.00075,0.03059,-0.19931,0.411,-0.03865,0.00143,0.03776,-10.0,0.00189,10.0,0.00053
6929,pound,11/15/2012,3.0,0.00085,0.02789,-0.08763,0.45974,-0.03466,0.00093,0.03501,-10.0,0.00064,10.0,0.00037
6930,pound,11/29/2012,3.0,-0.00012,0.0297,-0.32353,0.53998,-0.03828,0.00129,0.0356,-10.0,0.0022,10.0,0.00023
6931,pound,12/13/2012,3.0,-2e-05,0.0276,-0.2601,0.46289,-0.03558,0.00093,0.03353,-10.0,0.00099,10.0,9e-05
6932,pound,12/27/2012,3.0,-6e-05,0.03232,-0.15989,0.29438,-0.04154,0.00052,0.03961,-10.0,0.00247,10.0,0.00087
6933,pound,1/10/2013,3.0,0.00015,0.02949,-0.15206,0.31487,-0.03789,0.00057,0.03626,-10.0,0.00113,10.0,0.00034
6934,pound,1/24/2013,3.0,0.00056,0.03429,-0.18483,0.41993,-0.04351,0.0013,0.04226,-10.0,0.00443,10.0,0.00186
6935,pound,2/7/2013,3.0,0.00078,0.0355,-0.15424,0.42659,-0.04477,0.00155,0.04441,-10.0,0.00543,10.0,0.00289
6936,pound,2/21/2013,3.0,0.00191,0.04298,-0.21139,0.30535,-0.05413,0.00311,0.05495,-10.0,0.01517,10.0,0.0089
6937,pound,3/7/2013,3.0,-0.00023,0.04233,-0.36044,0.53776,-0.0547,0.0018,0.05061,-10.0,0.01868,10.0,0.00584
6938,pound,3/21/2013,3.0,0.00016,0.0396,-0.34447,0.46845,-0.05132,0.00196,0.04811,-10.0,0.01328,10.0,0.00349
6939,pound,4/4/2013,3.0,0.00051,0.03662,-0.35893,0.43454,-0.04744,0.00269,0.04462,-10.0,0.00863,10.0,0.0016
6940,pound,4/18/2013,3.0,0.00075,0.03701,-0.32496,0.39924,-0.04749,0.00244,0.04533,-10.0,0.00843,10.0,0.00206
6941,pound,5/2/2013,3.0,0.00096,0.03355,-0.29203,0.46074,-0.04214,0.00217,0.0418,-10.0,0.00466,10.0,0.00098
6942,pound,5/30/2013,3.0,-1e-05,0.04167,-0.47247,0.56547,-0.05433,0.00304,0.04982,-10.0,0.01913,10.0,0.00341
6943,pound,6/13/2013,3.0,7e-05,0.0416,-0.38953,0.39225,-0.0545,0.0028,0.05004,-10.0,0.01671,10.0,0.004
6944,pound,6/27/2013,3.0,0.0006,0.04665,-0.44173,0.54094,-0.06031,0.00359,0.05634,-10.0,0.02833,10.0,0.00909
6945,pound,7/11/2013,3.0,0.00054,0.04792,-0.28932,0.28955,-0.06213,0.00287,0.05874,-10.0,0.0272,10.0,0.01325
6946,pound,7/25/2013,3.0,0.0012,0.04459,-0.31279,0.23125,-0.05742,0.00333,0.05531,-10.0,0.01954,10.0,0.00783
6947,pound,8/8/2013,3.0,0.00157,0.03851,-0.3453,0.42722,-0.04876,0.00323,0.04829,-10.0,0.01071,10.0,0.00283
6948,pound,8/22/2013,3.0,0.00223,0.04198,-0.32675,0.50499,-0.05153,0.00343,0.05279,-10.0,0.01626,10.0,0.00657
6949,pound,9/5/2013,3.0,0.00039,0.03909,-0.53301,0.6903,-0.05064,0.00312,0.04651,-10.0,0.01524,10.0,0.00168
