,market,idt,maturity_target,mu,sd,skew,kurt,p10,p50,p90,lg_change_decr,prDec,lg_change_incr,prInc
7472,silver,10/29/2010,6.0,-0.00982022,0.237378707,-0.006625217,0.546307521,-0.307333165,-0.008445009,0.2818428,-20.0,0.196708061,20.0,0.172803644
7473,silver,11/30/2010,6.0,-0.027678823,0.270377589,0.018306908,0.528283183,-0.367594702,-0.026122071,0.304029967,-20.0,0.24518001,20.0,0.18159024
7474,silver,12/31/2010,6.0,-0.034428199,0.258405776,-0.033616712,0.405069621,-0.365118045,-0.029747158,0.282282163,-20.0,0.245783887,20.0,0.167151195
7475,silver,1/31/2011,6.0,-0.015763328,0.248349534,-0.311017978,0.74121773,-0.331064665,-0.003456909,0.27978715,-20.0,0.203803383,20.0,0.174941932
7476,silver,2/28/2011,6.0,-0.025879464,0.247320645,-0.158933224,0.618505351,-0.338288549,-0.019224995,0.274934507,-20.0,0.216899858,20.0,0.162833545
7477,silver,3/31/2011,6.0,-0.017159968,0.256620655,-0.24039494,0.672945585,-0.340760049,-0.007488046,0.292496563,-20.0,0.214034438,20.0,0.182188177
7478,silver,4/29/2011,6.0,-0.015269224,0.307958431,-0.201057339,0.711623582,-0.403120657,-0.005010092,0.354155269,-20.0,0.246248995,20.0,0.224393905
7479,silver,5/31/2011,6.0,-0.032249514,0.29662323,-0.447447691,0.718947871,-0.418845752,-0.008719935,0.313998948,-20.0,0.251330181,20.0,0.202151145
7480,silver,6/29/2011,6.0,-0.017839383,0.273925978,-0.413916652,0.796886092,-0.369335775,0.001017511,0.301845844,-20.0,0.223677394,20.0,0.198859624
7481,silver,7/29/2011,6.0,-0.012983623,0.291821649,-0.165597612,0.60499336,-0.382942543,-0.003376537,0.33869482,-20.0,0.237958451,20.0,0.216933924
7482,silver,8/11/2011,6.0,-0.009116079,0.331134502,-0.19407974,0.626165302,-0.42789854,0.002403612,0.38984148,-20.0,0.256710545,20.0,0.249622013
7483,silver,8/26/2011,6.0,-0.051707587,0.321020189,-0.252902213,0.370178032,-0.471029893,-0.034773392,0.335442151,-20.0,0.295946875,20.0,0.20352429
7484,silver,9/8/2011,6.0,-0.041627857,0.310940275,-0.315184624,0.571180729,-0.446179948,-0.022591878,0.327476494,-20.0,0.27313114,20.0,0.202791602
7485,silver,9/23/2011,6.0,-0.050965302,0.368396457,-0.340849631,0.051806189,-0.544684888,-0.025685946,0.398980557,-20.0,0.324081667,20.0,0.261029727
7486,silver,10/6/2011,6.0,-0.04463954,0.404126321,-0.495005855,0.463915056,-0.589282698,-0.004593409,0.429341639,-20.0,0.308178408,20.0,0.273192249
7487,silver,10/20/2011,6.0,-0.024797138,0.383969667,-0.470826546,0.557746974,-0.535065545,0.010254569,0.421997188,-20.0,0.286346918,20.0,0.28067524
7488,silver,11/3/2011,6.0,-0.056260412,0.350299576,-0.330672742,0.243171422,-0.524009568,-0.030176432,0.364900561,-20.0,0.312914456,20.0,0.22676211
7489,silver,11/17/2011,6.0,-0.044572839,0.344605132,-0.35777603,0.329476107,-0.505306907,-0.016831677,0.3648973,-20.0,0.296759455,20.0,0.233136616
7490,silver,12/1/2011,6.0,-0.031316632,0.325964973,-0.319415824,0.345208945,-0.462287982,-0.008521583,0.35779489,-20.0,0.278586726,20.0,0.234469809
7491,silver,12/15/2011,6.0,-0.019383855,0.329334756,-0.458186802,0.520182318,-0.457454246,0.009974665,0.367358005,-20.0,0.261532689,20.0,0.251711531
7492,silver,12/29/2011,6.0,-0.007673672,0.313171199,-0.538519457,0.779697621,-0.419401844,0.022110202,0.354993761,-20.0,0.235813579,20.0,0.249960081
7493,silver,1/12/2012,6.0,-0.003271133,0.28749474,-0.395696577,0.781838506,-0.372573043,0.01588916,0.334247231,-20.0,0.218890863,20.0,0.227677211
7494,silver,1/26/2012,6.0,-0.024804885,0.286283226,-0.308814644,0.794274547,-0.386809134,-0.010326532,0.314020531,-20.0,0.23908608,20.0,0.197661594
7495,silver,2/9/2012,6.0,-0.020063785,0.279940311,-0.190687289,0.660232007,-0.376624249,-0.008219958,0.312686987,-20.0,0.235262306,20.0,0.196000984
7496,silver,2/23/2012,6.0,-0.012275831,0.257970237,-0.208016016,0.669520159,-0.340222439,-0.002151541,0.296585833,-20.0,0.210479321,20.0,0.187276021
7497,silver,3/8/2012,6.0,-0.004617934,0.254320256,-0.296296893,0.794211121,-0.326122849,0.007502795,0.296929291,-20.0,0.197198794,20.0,0.192803555
7498,silver,3/22/2012,6.0,-0.017548671,0.250821032,-0.398928504,0.668599955,-0.342978232,1.35e-05,0.278293231,-20.0,0.208968855,20.0,0.177881495
7499,silver,4/5/2012,6.0,-0.012495726,0.233783385,-0.349340915,0.622120641,-0.31487021,0.002520948,0.265201489,-20.0,0.191893341,20.0,0.165586765
7500,silver,4/19/2012,6.0,-0.007948124,0.231044919,-0.35235803,0.710810914,-0.302488762,0.004761483,0.267059927,-20.0,0.182867101,20.0,0.168515463
7501,silver,5/3/2012,6.0,-0.023190512,0.224275416,-0.417173565,0.756152227,-0.313909063,-0.006313024,0.238808753,-20.0,0.191805082,20.0,0.139362782
7502,silver,5/17/2012,6.0,-0.025753759,0.249033939,-0.376142526,0.732748835,-0.348037642,-0.009175365,0.267504482,-20.0,0.213561595,20.0,0.161975292
7503,silver,5/31/2012,6.0,-0.024965537,0.261292637,-0.485868388,0.837960808,-0.365766248,-0.002697889,0.276811248,-20.0,0.218938723,20.0,0.17538811
7504,silver,6/14/2012,6.0,-0.023346929,0.261172148,-0.371642242,0.719655269,-0.361072962,-0.004698636,0.28236258,-20.0,0.222523424,20.0,0.177995717
7505,silver,6/28/2012,6.0,-0.017884643,0.257435893,-0.334792511,0.702154702,-0.348914096,-0.002447543,0.286272234,-20.0,0.21410081,20.0,0.181328736
7506,silver,7/12/2012,6.0,-0.010835697,0.24730557,-0.396030158,0.909276679,-0.324065432,0.00465447,0.279047708,-20.0,0.19501462,20.0,0.177863015
7507,silver,7/26/2012,6.0,-0.007000921,0.240032061,-0.333669387,0.835101542,-0.310919342,0.006002819,0.276182234,-20.0,0.187296035,20.0,0.175916625
7508,silver,8/9/2012,6.0,-0.026235136,0.237669753,-0.375633588,0.829475757,-0.330486306,-0.010766581,0.251910046,-20.0,0.204197868,20.0,0.14893523
7509,silver,8/23/2012,6.0,-0.020983186,0.225267127,-0.344207064,0.950439699,-0.304156414,-0.008476992,0.242425141,-20.0,0.18760234,20.0,0.141031183
7510,silver,9/6/2012,6.0,-0.017899005,0.230023689,-0.3450949,0.872104887,-0.310634969,-0.004150796,0.251576458,-20.0,0.188264208,20.0,0.149629528
7511,silver,9/20/2012,6.0,-0.01406,0.22513,-0.326,0.862,-0.29925,-0.00192,0.25092,-20.0,0.18131,20.0,0.15011
7512,silver,10/4/2012,6.0,-0.01018,0.20693,-0.24801,0.72429,-0.26991,-0.00252,0.23838,-20.0,0.16206,20.0,0.13838
7513,silver,10/18/2012,6.0,-0.0054,0.19814,-0.34481,0.69756,-0.25897,0.00586,0.22985,-20.0,0.15025,20.0,0.1319
7514,silver,11/1/2012,6.0,-0.00271,0.18796,-0.31725,0.69497,-0.24296,0.0073,0.22063,-20.0,0.13729,20.0,0.12203
7515,silver,11/15/2012,6.0,-0.01183,0.19555,-0.3219,0.6671,-0.26306,-0.00046,0.21954,-20.0,0.1555,20.0,0.12061
7516,silver,11/29/2012,6.0,-0.00638,0.16835,-0.29821,0.64875,-0.22195,0.00249,0.19412,-20.0,0.12044,20.0,0.0935
7517,silver,12/13/2012,6.0,-0.00551,0.18128,-0.26484,0.65934,-0.23597,0.00262,0.21159,-20.0,0.13241,20.0,0.11214
7518,silver,12/27/2012,6.0,-0.00476,0.17848,-0.16775,0.48334,-0.23279,0.00112,0.21175,-20.0,0.13136,20.0,0.11252
7519,silver,1/10/2013,6.0,-0.01134,0.17869,-0.22025,0.53765,-0.24064,-0.00373,0.20358,-20.0,0.13794,20.0,0.10364
7520,silver,1/24/2013,6.0,-0.00911,0.17417,-0.2454,0.619,-0.23205,-0.00096,0.19865,-20.0,0.12963,20.0,0.09886
7521,silver,2/7/2013,6.0,-0.01563,0.17862,-0.26962,0.51401,-0.24568,-0.00638,0.19843,-20.0,0.14359,20.0,0.09818
7522,silver,2/21/2013,6.0,-0.01437,0.18079,-0.27536,0.47548,-0.24964,-0.00396,0.20183,-20.0,0.14672,20.0,0.10189
7523,silver,3/7/2013,6.0,-0.00947,0.16871,-0.30378,0.57399,-0.2267,1e-05,0.19181,-20.0,0.12484,20.0,0.09098
7524,silver,3/21/2013,6.0,-0.0075,0.16362,-0.25284,0.59495,-0.21648,1e-05,0.1882,-20.0,0.11574,20.0,0.08762
7525,silver,4/4/2013,6.0,-0.00612,0.16158,-0.23135,0.52705,-0.21268,0.00052,0.18896,-20.0,0.11237,20.0,0.08816
7526,silver,4/18/2013,6.0,-0.00629,0.21027,-0.43884,0.6018,-0.28353,0.01106,0.2402,-20.0,0.16698,20.0,0.14617
