market,idt,maturity_target,mu,sd,skew,kurt,p10,p50,p90,lg_change_decr,prDec,lg_change_incr,prInc
soybns,10/29/10,6,-0.022527011,0.175517681,0.747746173,1.834466703,-0.224806545,-0.036797013,0.18955426,-20,0.131650879,20,0.092082957
soybns,11/30/10,6,-0.019983778,0.203619184,0.587065653,1.33482793,-0.258413169,-0.034370735,0.231811993,-20,0.168560333,20,0.123049296
soybns,12/31/10,6,-0.032758208,0.230668307,0.404212437,0.66076849,-0.309218146,-0.047015576,0.262451807,-20,0.224925996,20,0.143987149
soybns,1/31/11,6,-0.018201527,0.194542078,0.461177229,0.838679933,-0.250062906,-0.030921253,0.228569457,-20,0.160139603,20,0.121570234
soybns,2/28/11,6,-0.012539929,0.199376693,0.307698997,0.78488083,-0.25667676,-0.019244459,0.234233898,-20,0.16133998,20,0.129078328
soybns,3/31/11,6,-0.024545722,0.221444412,0.442121384,0.885685761,-0.290769183,-0.035827345,0.250238128,-20,0.202252598,20,0.13658059
soybns,4/29/11,6,-0.013965333,0.203667334,0.511970812,0.908075744,-0.255138194,-0.028735464,0.2432572,-20,0.165118019,20,0.13296155
soybns,5/31/11,6,-0.016111737,0.162300057,0.304167432,0.825025016,-0.214427891,-0.021539701,0.184145599,-20,0.11648847,20,0.086477531
soybns,6/29/11,6,-0.011526969,0.148851794,0.310148488,0.671653363,-0.19379278,-0.017005198,0.174346656,-20,0.09313628,20,0.077055254
soybns,7/29/11,6,-0.011548602,0.155003252,0.306703395,0.67192195,-0.20050696,-0.018139165,0.183221979,-20,0.100726231,20,0.085087303
soybns,8/11/11,6,-0.008817876,0.150458489,0.262819953,0.714548523,-0.192051106,-0.014176696,0.178885641,-20,0.090830898,20,0.080676174
soybns,8/26/11,6,-0.015401231,0.154135818,0.381809445,0.761083288,-0.201557958,-0.023657782,0.178451627,-20,0.101806848,20,0.08182868
soybns,9/8/11,6,-0.011944469,0.145136119,0.317006123,0.595327289,-0.187863649,-0.019264601,0.173413877,-20,0.085582639,20,0.076256491
soybns,9/23/11,6,-0.012817773,0.163331574,0.253133299,0.162348565,-0.215262035,-0.020696494,0.200275156,-20,0.119779377,20,0.100335419
soybns,10/6/11,6,-0.009191752,0.171889855,-0.03870324,0.408242905,-0.228288799,-0.006647286,0.201814647,-20,0.129005427,20,0.101699384
soybns,10/20/11,6,-0.005809805,0.15985687,-0.02312902,0.449710475,-0.207077751,-0.004845782,0.191483011,-20,0.10745658,20,0.091253678
soybns,11/3/11,6,-0.011161108,0.15768841,-0.007395532,0.446127086,-0.210931892,-0.009318062,0.182678107,-20,0.111630925,20,0.083135324
soybns,11/17/11,6,-0.008483118,0.153839082,-0.102849261,0.421135636,-0.205021309,-0.004362435,0.179397808,-20,0.105686147,20,0.079061094
soybns,12/1/11,6,-0.007527076,0.161028013,-0.070997459,0.467667594,-0.211414229,-0.004576857,0.18994021,-20,0.112070697,20,0.089773236
soybns,12/15/11,6,-0.006136478,0.165305507,-0.03459996,0.366306669,-0.215849139,-0.004287456,0.198930862,-20,0.116447805,20,0.099111505
soybns,12/29/11,6,-0.005644329,0.168839341,0.060045625,0.459452723,-0.216840235,-0.00683887,0.204328099,-20,0.117622669,20,0.104295113
soybns,1/12/12,6,-0.003545166,0.15727047,0.104152491,0.573360375,-0.198103334,-0.005450818,0.191387467,-20,0.097966813,20,0.09171016
soybns,1/26/12,6,-0.011620872,0.162870317,0.219416084,0.568630707,-0.212883275,-0.015996818,0.192036854,-20,0.114670942,20,0.092863674
soybns,2/9/12,6,-0.008269614,0.149739711,0.201444069,0.568864135,-0.193169712,-0.012017921,0.17910461,-20,0.092162375,20,0.080457249
soybns,2/23/12,6,-0.00688197,0.154111238,0.183540498,0.541100692,-0.197091667,-0.011038508,0.186513734,-20,0.096889836,20,0.087233558
soybns,3/8/12,6,-0.004010059,0.1439281,0.141684263,0.55805369,-0.181449433,-0.007065277,0.1755236,-20,0.080143033,20,0.076344707
soybns,3/22/12,6,-0.011484729,0.157752069,0.212350451,0.439180615,-0.206871545,-0.016171939,0.18902724,-20,0.108206065,20,0.089895331
soybns,4/5/12,6,-0.010692379,0.157745511,0.335667186,0.762247777,-0.201039862,-0.017945209,0.187352204,-20,0.101530592,20,0.089302366
soybns,4/19/12,6,-0.008885606,0.147676854,0.375249578,0.668680023,-0.187272489,-0.017288409,0.179211256,-20,0.084736981,20,0.081621873
soybns,5/3/12,6,-0.008692316,0.170266449,0.390924686,0.757141573,-0.213467347,-0.018346302,0.206752069,-20,0.115496489,20,0.105950108
soybns,5/17/12,6,-0.007535183,0.173497949,0.42887106,0.719079913,-0.216156669,-0.018389649,0.213375768,-20,0.119349998,20,0.111612517
soybns,5/31/12,6,-0.0042955,0.171299026,0.335775891,0.674386399,-0.212460874,-0.012477794,0.211831037,-20,0.114660445,20,0.110458867
soybns,6/14/12,6,-0.0111315,0.162127941,0.323779583,0.668582783,-0.208797806,-0.018414883,0.193141625,-20,0.109972384,20,0.093643937
soybns,6/28/12,6,-0.011271582,0.187150543,0.352839534,0.636963207,-0.237466934,-0.021161843,0.226555468,-20,0.143685926,20,0.122153686
soybns,7/12/12,6,-0.012109049,0.212644572,0.499359734,0.968281827,-0.262970769,-0.026739141,0.254970161,-20,0.172246707,20,0.141468104
soybns,7/26/12,6,-0.009333368,0.226484481,0.505783861,0.760442438,-0.276517023,-0.028098172,0.283435773,-20,0.187157327,20,0.160361364
soybns,8/9/12,6,-0.024606102,0.188307426,0.447799146,0.853090358,-0.247859067,-0.03742848,0.215229136,-20,0.158059563,20,0.111820294
soybns,8/23/12,6,-0.022458051,0.188366814,0.477419643,0.718590763,-0.245264865,-0.037466504,0.221690846,-20,0.156653744,20,0.115950163
soybns,9/6/12,6,-0.018508949,0.182254337,0.433462039,0.673572017,-0.235236908,-0.032157389,0.217810004,-20,0.142745126,20,0.113797163
soybns,9/20/12,6,-0.01331,0.1688,0.30484,0.63387,-0.21752,-0.02112,0.20043,-20,0.12021,20,0.10033
soybns,10/4/12,6,-0.01278,0.16785,0.3701,0.63699,-0.21588,-0.02217,0.20096,-20,0.11892,20,0.10065
soybns,10/18/12,6,-0.00831,0.15292,0.28362,0.56273,-0.19434,-0.01517,0.18549,-20,0.09366,20,0.08704
soybns,11/1/12,6,-0.00652,0.15778,0.23426,0.58864,-0.19873,-0.01258,0.19263,-20,0.09823,20,0.09352
soybns,11/15/12,6,-0.01043,0.14137,0.18821,0.55063,-0.18454,-0.01427,0.16683,-20,0.08256,20,0.06945
soybns,11/29/12,6,-0.01077,0.1498,0.29697,0.46481,-0.19372,-0.01795,0.18134,-20,0.09225,20,0.0834
soybns,12/13/12,6,-0.00679,0.13633,0.14194,0.77874,-0.17367,-0.00939,0.16067,-20,0.07194,20,0.06336
soybns,12/27/12,6,-0.00387,0.14868,-0.05696,0.67673,-0.18808,-0.00274,0.17797,-20,0.08813,20,0.07796
soybns,1/10/13,6,-0.00883,0.14995,-0.05688,0.61926,-0.19701,-0.00663,0.17328,-20,0.09723,20,0.07398
soybns,1/24/13,6,-0.00778,0.14299,0.04173,0.55484,-0.18667,-0.00794,0.16824,-20,0.08553,20,0.06922
soybns,2/7/13,6,-0.01206,0.15006,0.037,0.39153,-0.19944,-0.01381,0.17828,-20,0.09914,20,0.0788
soybns,2/21/13,6,-0.01147,0.15104,0.01266,0.38008,-0.20205,-0.01117,0.17722,-20,0.10241,20,0.0775
soybns,3/7/13,6,-0.01071,0.15584,0.08885,0.50165,-0.20417,-0.01311,0.18518,-20,0.10394,20,0.08624
soybns,3/21/13,6,-0.00972,0.14788,0.15405,0.36109,-0.19399,-0.01321,0.17751,-20,0.09345,20,0.07848
soybns,4/4/13,6,-0.00767,0.1432,0.08586,0.36619,-0.18775,-0.00919,0.1717,-20,0.0864,20,0.0722
soybns,4/18/13,6,-0.00652,0.14929,0.10053,0.45776,-0.19293,-0.00861,0.18014,-20,0.09212,20,0.08048
soybns,5/2/13,6,-0.01026,0.15025,-0.04269,0.45595,-0.2,-0.00823,0.17449,-20,0.10024,20,0.07468
soybns,5/30/13,6,-0.00584,0.14112,-0.10108,0.53296,-0.18383,-0.00298,0.16639,-20,0.08413,20,0.06585
soybns,6/13/13,6,-0.00732,0.16745,-0.06036,0.43174,-0.21947,-0.0047,0.19888,-20,0.11985,20,0.09849
