,market,idt,maturity_target,mu,sd,skew,kurt,p10,p50,p90,lg_change_decr,prDec,lg_change_incr,prInc
8641,sp12m,1/12/2007,12.0,0.034318371,0.132615741,-1.055813914,1.657518003,-0.14244995,0.0577475,0.176415672,-20.0,0.061515155,20.0,0.056906397
8642,sp12m,1/31/2007,12.0,0.03421423,0.127646016,-1.046949859,1.586451003,-0.138259331,0.057101095,0.17086697,-20.0,0.057727047,20.0,0.048626996
8643,sp12m,2/15/2007,12.0,0.033656541,0.124386094,-1.014142307,1.566904123,-0.132250762,0.054340571,0.168376502,-20.0,0.053694243,20.0,0.045370941
8644,sp12m,2/28/2007,12.0,0.031560357,0.141960098,-0.914293754,1.341103065,-0.155425754,0.051932857,0.189107991,-20.0,0.070288586,20.0,0.080664519
8645,sp12m,3/15/2007,12.0,0.032991753,0.145163034,-1.071622704,1.637862331,-0.162515617,0.05963031,0.18769008,-20.0,0.075176012,20.0,0.07607378
8646,sp12m,3/30/2007,12.0,0.03419518,0.142878196,-1.097246818,1.611682906,-0.154655696,0.06230012,0.184753029,-20.0,0.072474815,20.0,0.069478609
8647,sp12m,4/13/2007,12.0,0.036062644,0.135179709,-1.198970357,1.816596835,-0.151700695,0.066081082,0.173953319,-20.0,0.06769295,20.0,0.049130612
8648,sp12m,4/30/2007,12.0,0.031997608,0.132758435,-0.894519072,1.47760381,-0.140958411,0.048099327,0.180880905,-20.0,0.059960923,20.0,0.068549306
8649,sp12m,5/15/2007,12.0,0.031641432,0.142340702,-0.80999722,1.220271823,-0.152795002,0.048657045,0.193532895,-20.0,0.066465603,20.0,0.0886673
8650,sp12m,5/31/2007,12.0,0.033588291,0.144625377,-0.879779939,1.111590491,-0.160891845,0.05537388,0.194461741,-20.0,0.072131293,20.0,0.089117224
8651,sp12m,6/15/2007,12.0,0.034973268,0.143535739,-0.911009376,1.25574552,-0.155294715,0.057335108,0.193673033,-20.0,0.068437673,20.0,0.088149609
8652,sp12m,6/29/2007,12.0,0.033318413,0.139622958,-1.040302521,2.519305363,-0.130690667,0.043840092,0.190015833,-20.0,0.063217753,20.0,0.085023895
8653,sp12m,7/13/2007,12.0,0.034147926,0.162237246,-1.037901324,1.367139068,-0.190622257,0.064878835,0.206839064,-20.0,0.09384368,20.0,0.113939914
8654,sp12m,7/31/2007,12.0,0.027885212,0.189278211,-0.964125768,1.184350868,-0.238046432,0.058535739,0.233739173,-20.0,0.12088651,20.0,0.16086172
