,market,idt,maturity_target,mu,sd,skew,kurt,p10,p50,p90,lg_change_decr,prDec,lg_change_incr,prInc
10532,tr5yr,9/10/2014,3.0,0.00073,0.01548,-0.49725,0.6282,-0.0198,0.00152,0.01899,-3.0,0.03796,3.0,0.01704
10533,tr5yr,9/17/2014,3.0,0.00071,0.01489,-0.49342,0.75518,-0.0187,0.00161,0.01792,-3.0,0.03404,3.0,0.01499
10534,tr5yr,9/24/2014,3.0,0.00057,0.01408,-0.29778,0.40397,-0.0181,0.00114,0.01732,-3.0,0.02439,3.0,0.01283
10535,tr5yr,10/1/2014,3.0,0.00051,0.01492,-0.22744,0.31928,-0.01872,0.00062,0.0185,-3.0,0.03042,3.0,0.01818
10536,tr5yr,10/8/2014,3.0,0.00034,0.01511,-0.03558,0.41817,-0.01887,2e-05,0.01867,-3.0,0.02724,3.0,0.02543
10537,tr5yr,10/15/2014,3.0,-0.0002,0.02304,0.35734,0.35815,-0.02853,-0.0021,0.02945,-3.0,0.08737,3.0,0.09679
10538,tr5yr,10/22/2014,3.0,0.00011,0.02245,0.34321,0.30008,-0.02752,-0.00216,0.02836,-3.0,0.08391,3.0,0.0881
10539,tr5yr,10/29/2014,3.0,0.00106,0.0219,-0.04957,0.1879,-0.02709,4e-05,0.02845,-3.0,0.084,3.0,0.08623
10540,tr5yr,11/5/2014,3.0,0.00031,0.01624,-0.25196,0.43756,-0.02051,0.00084,0.02009,-3.0,0.04152,3.0,0.02756
10541,tr5yr,11/12/2014,3.0,0.0001,0.01586,-0.12893,0.34309,-0.02035,0.00044,0.01953,-3.0,0.03593,3.0,0.02786
10542,tr5yr,11/19/2014,3.0,0.00027,0.01596,-0.11703,0.41979,-0.01976,0.00046,0.01983,-3.0,0.03575,3.0,0.03082
10543,tr5yr,11/26/2014,3.0,0.00017,0.01569,-0.04243,0.475,-0.01962,1e-05,0.01928,-3.0,0.03199,3.0,0.02939
10544,tr5yr,12/3/2014,3.0,0.00031,0.01665,-0.14421,0.50798,-0.02099,0.0005,0.02061,-3.0,0.04106,3.0,0.03457
10545,tr5yr,12/10/2014,3.0,0.00021,0.01727,-0.02987,0.37857,-0.02149,1e-05,0.02162,-3.0,0.04424,3.0,0.04192
10546,tr5yr,12/17/2014,3.0,0.00027,0.01927,-0.0697,0.67367,-0.02375,2e-05,0.02384,-3.0,0.06012,3.0,0.05651
10547,tr5yr,12/24/2014,3.0,0.0006,0.01838,-0.30902,0.69722,-0.02288,0.00115,0.0225,-3.0,0.05549,3.0,0.04721
10548,tr5yr,12/31/2014,3.0,0.00054,0.01753,-0.25546,0.64035,-0.02177,0.00062,0.02145,-3.0,0.04884,3.0,0.03872
10549,tr5yr,1/7/2015,3.0,0.00017,0.02015,0.101,0.54565,-0.02479,-0.00063,0.02504,-3.0,0.06331,3.0,0.06739
10550,tr5yr,1/14/2015,3.0,0.00035,0.02019,0.04977,0.4533,-0.02493,2e-05,0.02528,-3.0,0.06506,3.0,0.06792
10551,tr5yr,1/21/2015,3.0,0.00075,0.02164,-0.19666,0.62319,-0.02697,0.00081,0.02661,-3.0,0.07721,3.0,0.07931
10552,tr5yr,1/28/2015,3.0,0.00067,0.02049,-0.07858,0.43978,-0.02547,3e-05,0.0261,-3.0,0.06869,3.0,0.07151
10553,tr5yr,2/4/2015,3.0,0.00041,0.01903,-0.24931,0.59235,-0.02357,0.00083,0.02379,-3.0,0.05906,3.0,0.05248
10554,tr5yr,2/11/2015,3.0,0.0,0.01992,-0.01887,0.67462,-0.02481,1e-05,0.02419,-3.0,0.06483,3.0,0.06249
10555,tr5yr,2/18/2015,3.0,-0.00019,0.01973,0.10787,0.43084,-0.02481,-0.00086,0.02422,-3.0,0.06283,3.0,0.06227
