,market,idt,maturity_target,mu,sd,skew,kurt,p10,p50,p90,lg_change_decr,prDec,lg_change_incr,prInc
11019,wheat,10/29/2010,6.0,-0.043848233,0.256543119,0.426477723,0.441838696,-0.351499367,-0.062742608,0.289809146,-20.0,0.276435951,20.0,0.158654738
11020,wheat,11/30/2010,6.0,-0.032846646,0.255521028,0.511582219,0.60288655,-0.33599174,-0.054347993,0.299334566,-20.0,0.259528214,20.0,0.165968892
11021,wheat,12/31/2010,6.0,-0.047420585,0.270537463,0.379808885,0.323722429,-0.372181088,-0.068203379,0.307491611,-20.0,0.293183307,20.0,0.170958833
11022,wheat,1/31/2011,6.0,-0.035369725,0.280487025,0.359722767,0.222389768,-0.373626518,-0.057458807,0.33874688,-20.0,0.286993179,20.0,0.192299286
11023,wheat,2/28/2011,6.0,-0.041629866,0.269650015,0.263988713,0.143711466,-0.37071294,-0.059143294,0.315390836,-20.0,0.283289548,20.0,0.180602374
11024,wheat,3/31/2011,6.0,-0.032445292,0.281892091,0.208940391,0.265019039,-0.380115663,-0.044583507,0.332743551,-20.0,0.27312918,20.0,0.191555613
11025,wheat,4/29/2011,6.0,-0.017428038,0.266165361,0.187914938,0.204869798,-0.348861697,-0.026456336,0.327021099,-20.0,0.244599032,20.0,0.197423972
11026,wheat,5/31/2011,6.0,-0.038735736,0.266067269,0.212444365,0.184239549,-0.36850272,-0.049259823,0.308287178,-20.0,0.272342339,20.0,0.17530577
11027,wheat,6/29/2011,6.0,-0.026370966,0.249635496,0.187518163,0.248946708,-0.338242927,-0.033265089,0.29263872,-20.0,0.241701978,20.0,0.172694584
11028,wheat,7/29/2011,6.0,-0.015444592,0.252011558,0.14770225,0.257808922,-0.331288162,-0.021343493,0.306275414,-20.0,0.227497295,20.0,0.186648837
11029,wheat,8/11/2011,6.0,-0.012511216,0.258105364,0.147070128,0.319070317,-0.335369648,-0.017759986,0.314688409,-20.0,0.228080847,20.0,0.192819353
11030,wheat,8/26/2011,6.0,-0.027560455,0.228877124,0.091794752,0.120286156,-0.317376264,-0.03105452,0.266068378,-20.0,0.224023666,20.0,0.156390292
11031,wheat,9/8/2011,6.0,-0.023854597,0.224398825,0.113570064,0.080357974,-0.306527972,-0.028799456,0.266539816,-20.0,0.215437893,20.0,0.157230416
11032,wheat,9/23/2011,6.0,-0.020572228,0.227214909,0.096699859,-0.114684047,-0.308357643,-0.026686578,0.276814889,-20.0,0.221146429,20.0,0.1713301
11033,wheat,10/6/2011,6.0,-0.01768295,0.23610071,0.06686022,0.069994977,-0.317146175,-0.021128785,0.287178258,-20.0,0.218242027,20.0,0.174863089
11034,wheat,10/20/2011,6.0,-0.013811079,0.227217777,0.100548494,0.090159658,-0.300199884,-0.018452163,0.279678084,-20.0,0.204658264,20.0,0.170170411
11035,wheat,11/3/2011,6.0,-0.012162846,0.233048072,0.142746915,0.078350872,-0.304927254,-0.018924412,0.290623959,-20.0,0.210221363,20.0,0.177933497
11036,wheat,11/17/2011,6.0,-0.021196799,0.226692788,0.066635187,0.045438814,-0.309558474,-0.023532099,0.269714666,-20.0,0.216288746,20.0,0.162599835
11037,wheat,12/1/2011,6.0,-0.018430317,0.23012723,0.100144036,0.032684821,-0.30930245,-0.023648672,0.279392789,-20.0,0.216276169,20.0,0.171038768
11038,wheat,12/15/2011,6.0,-0.015551891,0.234463843,0.120188624,0.097108229,-0.31076321,-0.021107038,0.287039992,-20.0,0.215361004,20.0,0.17547658
11039,wheat,12/29/2011,6.0,-0.01324045,0.247526602,0.143556572,0.094522135,-0.324622737,-0.020081421,0.308187261,-20.0,0.22516354,20.0,0.190347458
11040,wheat,1/12/2012,6.0,-0.006644032,0.222901576,0.110854874,0.152904259,-0.287290606,-0.011552192,0.280030081,-20.0,0.18924273,20.0,0.17236286
11041,wheat,1/26/2012,6.0,-0.020642061,0.228912759,0.119910619,0.082195674,-0.309647117,-0.025613609,0.274941958,-20.0,0.217473399,20.0,0.165410653
11042,wheat,2/9/2012,6.0,-0.017161765,0.228340776,0.100409129,0.121892218,-0.306001786,-0.020462396,0.275401619,-20.0,0.210429136,20.0,0.165997558
11043,wheat,2/23/2012,6.0,-0.011585304,0.216953323,0.102647987,0.078991919,-0.285444458,-0.016045391,0.268803188,-20.0,0.191670151,20.0,0.162372381
11044,wheat,3/8/2012,6.0,-0.008708289,0.227794854,0.11453671,0.061119558,-0.296458374,-0.014185414,0.286588955,-20.0,0.200595478,20.0,0.17734691
11045,wheat,3/22/2012,6.0,-0.022063912,0.231971615,0.119972919,0.130741971,-0.31381818,-0.027596898,0.277035682,-20.0,0.219636757,20.0,0.165172717
11046,wheat,4/5/2012,6.0,-0.01855408,0.22615968,0.18801982,0.196987593,-0.299987056,-0.026771742,0.275003325,-20.0,0.20762805,20.0,0.162281878
11047,wheat,4/19/2012,6.0,-0.01462738,0.21733549,0.211431669,0.167888986,-0.283938673,-0.02384209,0.269156185,-20.0,0.194220273,20.0,0.159023864
11048,wheat,5/3/2012,6.0,-0.01153589,0.217299669,0.208522471,0.14031945,-0.281972192,-0.02066032,0.271895004,-20.0,0.191292745,20.0,0.16246759
11049,wheat,5/17/2012,6.0,-0.007915596,0.225636845,0.224423272,0.044734247,-0.288014552,-0.019007512,0.291347392,-20.0,0.198596722,20.0,0.177569246
11050,wheat,5/31/2012,6.0,-0.004877153,0.244324466,0.220757461,0.166160608,-0.30869113,-0.015784072,0.314138686,-20.0,0.211620532,20.0,0.194034106
11051,wheat,6/14/2012,6.0,-0.0229446,0.216941592,0.236665059,0.210402212,-0.291697622,-0.031876201,0.259367042,-20.0,0.205421495,20.0,0.148002268
11052,wheat,6/28/2012,6.0,-0.021062865,0.221507891,0.284911458,0.387863566,-0.291770113,-0.031839797,0.26375962,-20.0,0.203595711,20.0,0.150602072
11053,wheat,7/12/2012,6.0,-0.020369591,0.242911886,0.27748059,0.184232757,-0.318606853,-0.034037731,0.300852623,-20.0,0.229832995,20.0,0.175841524
11054,wheat,7/26/2012,6.0,-0.023128195,0.265024901,0.537301021,0.976899559,-0.335674735,-0.042316495,0.310592351,-20.0,0.243369883,20.0,0.171966212
11055,wheat,8/9/2012,6.0,-0.038634527,0.227557573,0.406010438,0.621626567,-0.313122786,-0.052364603,0.252198006,-20.0,0.233382737,20.0,0.137251231
11056,wheat,8/23/2012,6.0,-0.031430692,0.218822445,0.394931385,0.38992875,-0.29639238,-0.045415009,0.255288345,-20.0,0.220481818,20.0,0.140911346
11057,wheat,9/6/2012,6.0,-0.024898778,0.210966363,0.342275837,0.408676906,-0.281810741,-0.036973298,0.248715767,-20.0,0.197721892,20.0,0.13834759
11058,wheat,9/20/2012,6.0,-0.02067,0.20258,0.36636,0.53025,-0.26678,-0.0321,0.23862,-20.0,0.17979,20.0,0.13099
11059,wheat,10/4/2012,6.0,-0.01858,0.20573,0.38024,0.42404,-0.267,-0.03211,0.24961,-20.0,0.1818,20.0,0.13888
11060,wheat,10/18/2012,6.0,-0.01292,0.1883,0.35044,0.45947,-0.24215,-0.02394,0.23039,-20.0,0.15038,20.0,0.12519
11061,wheat,11/1/2012,6.0,-0.00933,0.18766,0.2651,0.30703,-0.24002,-0.01835,0.23406,-20.0,0.14688,20.0,0.13028
11062,wheat,11/15/2012,6.0,-0.01732,0.18323,0.25092,0.26049,-0.24362,-0.02536,0.2204,-20.0,0.15328,20.0,0.118
11063,wheat,11/29/2012,6.0,-0.0135,0.17782,0.20464,0.27104,-0.23396,-0.01997,0.21568,-20.0,0.13969,20.0,0.11423
11064,wheat,12/13/2012,6.0,-0.01084,0.17265,0.20455,0.19859,-0.22557,-0.01729,0.21296,-20.0,0.13093,20.0,0.11229
