,market,idt,maturity_target,mu,sd,skew,kurt,p10,p50,p90,lg_change_decr,prDec,lg_change_incr,prInc
11605,yen,4/29/2011,3.0,-0.003273829,0.05989317,0.213295466,0.747920719,-0.075532196,-0.005217311,0.071314307,-10.0,0.049025336,10.0,0.049148878
11606,yen,5/31/2011,3.0,-0.002163104,0.055743676,0.128528634,0.636628799,-0.070803265,-0.003406608,0.06672514,-10.0,0.039407189,10.0,0.038690731
11607,yen,6/29/2011,3.0,-0.003498029,0.05370089,0.197469143,0.829309325,-0.068647869,-0.004948613,0.062504467,-10.0,0.035703367,10.0,0.034643421
11608,yen,7/29/2011,3.0,-0.004028091,0.058377039,0.503203549,1.226746689,-0.072254706,-0.008036065,0.068720691,-10.0,0.039046717,10.0,0.049100317
11609,yen,8/11/2011,3.0,-0.004339393,0.064318337,0.491902583,1.646391091,-0.079427384,-0.007646418,0.072669362,-10.0,0.055854525,10.0,0.057474372
11610,yen,8/26/2011,3.0,-0.003314146,0.05937519,0.431257383,1.440650615,-0.072573215,-0.006282303,0.068530951,-10.0,0.043139228,10.0,0.048241721
11611,yen,9/8/2011,3.0,-0.002146717,0.05603227,0.190439602,1.142904709,-0.069069295,-0.003553195,0.065439189,-10.0,0.038961128,10.0,0.039434011
11612,yen,9/23/2011,3.0,-0.001932262,0.063145006,0.194876551,0.978441709,-0.077668075,-0.00388806,0.075247062,-10.0,0.054397885,10.0,0.055836962
11613,yen,10/6/2011,3.0,-0.001411417,0.05651826,0.204408222,0.941955334,-0.069333106,-0.00319761,0.067582243,-10.0,0.039063781,10.0,0.04225976
11614,yen,10/20/2011,3.0,-0.000270482,0.053117374,0.0481062,0.834534541,-0.065189857,-0.000589418,0.063966283,-10.0,0.03349689,10.0,0.033326864
11615,yen,11/3/2011,3.0,-0.004944508,0.051050668,0.906728293,1.740243783,-0.062353229,-0.011409301,0.058087196,-10.0,0.011379308,10.0,0.039168687
11616,yen,11/17/2011,3.0,-0.003281826,0.053118208,0.389202045,1.104385174,-0.066999506,-0.005620946,0.061610775,-10.0,0.029813499,10.0,0.035930065
11617,yen,12/1/2011,3.0,-0.002204556,0.054537925,0.103623389,0.872015964,-0.068396882,-0.002993771,0.064262319,-10.0,0.037512103,10.0,0.035297267
11618,yen,12/15/2011,3.0,-0.001280947,0.050486196,0.009942396,0.696943789,-0.06348515,-0.001377167,0.060276975,-10.0,0.029632427,10.0,0.026456691
11619,yen,12/29/2011,3.0,-0.000573906,0.045549067,-0.016981263,0.685125122,-0.057206293,-0.000493143,0.0549688,-10.0,0.019918064,10.0,0.01808067
11620,yen,1/12/2012,3.0,-1.1e-05,0.039601912,-0.071851887,0.63686233,-0.049869244,1.58e-05,0.047995799,-10.0,0.010574419,10.0,0.00856781
11621,yen,1/26/2012,3.0,0.000601026,0.040658249,-0.156546772,0.639533633,-0.05069756,0.001312073,0.049641654,-10.0,0.01315232,10.0,0.008755653
11622,yen,2/9/2012,3.0,0.000928563,0.04240525,-0.103475018,0.572883019,-0.052689339,0.001570839,0.052680002,-10.0,0.01472882,10.0,0.011683369
11623,yen,2/23/2012,3.0,0.001140529,0.043196701,0.021374832,0.461136122,-0.053625116,0.00109062,0.054572467,-10.0,0.013086492,10.0,0.014830458
11624,yen,3/8/2012,3.0,-0.001343794,0.053198292,-0.076159621,0.490993301,-0.068972508,-0.000434911,0.063705074,-10.0,0.037355428,10.0,0.029196447
11625,yen,3/22/2012,3.0,-0.001133675,0.055312376,0.021921802,0.277319637,-0.070891942,-0.001447836,0.068410789,-10.0,0.038773378,10.0,0.03620832
11626,yen,4/5/2012,3.0,-0.000608973,0.055231662,-0.005052426,0.21245097,-0.071034302,-0.000519818,0.069097272,-10.0,0.03860108,10.0,0.035493214
11627,yen,4/19/2012,3.0,0.00034654,0.049914584,-0.111829097,0.193654138,-0.063918054,0.00122912,0.062809049,-10.0,0.027291914,10.0,0.021410742
11628,yen,5/3/2012,3.0,0.00085938,0.04617255,-0.11436151,0.256509877,-0.058424192,0.001454314,0.057793728,-10.0,0.019572305,10.0,0.01507219
11629,yen,5/17/2012,3.0,0.001522567,0.048783088,-0.104220702,0.440770391,-0.060113444,0.001877512,0.06116701,-10.0,0.025262852,10.0,0.021811125
11630,yen,5/31/2012,3.0,-0.000945413,0.050507243,-0.059412249,0.351186253,-0.064592137,-0.000850148,0.062171745,-10.0,0.02986228,10.0,0.024241214
