,Date,Hurst Exponent,WM1NS,T10Y2Y,WM2NS,CPIAUCSL,T5YIE
0,2008-03-31,0.7362541624991694,1455.6,1.83,7733.1,213.942,2.19
1,2008-04-15,0.7445471473443703,1368.5,1.76,7815.8,213.942,2.20
2,2008-04-30,0.7501499834037011,1443.6,1.48,7671.0,215.208,2.26
3,2008-05-15,0.7544607958502507,1357.9,1.38,7708.6,215.208,2.35
4,2008-05-30,0.756937318357063,1440.2,1.40,7728.9,217.463,2.40
5,2008-06-13,0.757573612031857,1382.9,1.22,7761.5,217.463,2.56
6,2008-06-30,0.7567235284695545,1456.6,1.36,7697.8,219.016,2.63
7,2008-07-15,0.7549968687973374,1377.5,1.48,7761.2,219.016,2.55
8,2008-07-31,0.752057147844995,1452.6,1.47,7705.9,218.69,2.16
9,2008-08-15,0.7535079805954618,1378.7,1.44,7749.5,218.69,1.95
10,2008-08-29,0.7543198354374976,1446.9,1.47,7722.8,218.877,1.89
11,2008-09-15,0.752305060759849,1375.8,1.69,7772.3,218.877,1.23
12,2008-09-30,0.7455243972357272,1536.2,1.85,7860.8,216.995,0.97
13,2008-10-15,0.7192475507673793,1409.9,2.40,7937.6,216.995,0.14
14,2008-10-31,0.7133145998068171,1557.0,2.45,7939.3,213.153,-0.96
15,2008-11-14,0.6784099889930971,1473.9,2.50,8014.3,213.153,-1.10
16,2008-11-28,0.6621526750157541,1580.4,1.93,8090.7,211.398,-2.24
17,2008-12-15,0.6811698018144028,1587.1,1.78,8225.8,211.398,-0.59
18,2008-12-31,0.6960150301484374,1719.4,1.49,8264.1,211.933,-0.26
19,2009-01-15,0.7111207109785551,1564.8,1.50,8293.7,211.933,-0.10
20,2009-01-30,0.7183328857791655,1593.8,1.93,8251.9,212.705,0.38
21,2009-02-13,0.7282929752745356,1532.4,1.92,8312.5,212.705,0.67
22,2009-02-27,0.7370503880135095,1597.3,2.02,8357.4,212.495,0.58
23,2009-03-13,0.743784514246704,1564.8,1.91,8489.9,212.495,0.50
24,2009-03-31,0.7486143109723599,1652.5,1.90,8409.5,212.709,0.73
25,2009-04-15,0.7495446685719105,1576.7,1.96,8495.7,212.709,0.69
26,2009-04-30,0.7448157369031678,1641.1,2.25,8361.1,213.022,0.82
27,2009-05-15,0.7457725276627742,1600.7,2.26,8440.0,213.022,1.00
28,2009-05-29,0.7425756907587436,1663.6,2.55,8433.7,214.79,1.36
29,2009-06-15,0.7373277149661476,1625.9,2.50,8488.2,214.79,1.60
30,2009-06-30,0.7331525016420498,1725.4,2.42,8367.9,214.726,1.34
31,2009-07-15,0.7299876998414135,1609.8,2.60,8425.4,214.726,1.27
32,2009-07-31,0.7281206505531097,1713.3,2.39,8397.8,215.445,1.32
33,2009-08-14,0.7177407428126876,1636.1,2.48,8419.4,215.445,1.13
34,2009-08-31,0.7107675951354768,1690.7,2.43,8351.8,215.861,1.12
35,2009-09-15,0.7068954137754798,1599.9,2.51,8437.1,215.861,1.45
36,2009-09-30,0.7050178380644985,1694.8,2.36,8344.5,216.509,1.37
37,2009-10-15,0.7042457755379438,1604.6,2.52,8431.2,216.509,1.56
38,2009-10-30,0.7047077832776183,1735.4,2.51,8437.8,217.234,1.61
39,2009-11-13,0.6982045848876934,1639.2,2.61,8524.0,217.234,1.73
40,2009-11-30,0.6959544873889905,1755.8,2.54,8506.8,217.347,1.75
41,2009-12-15,0.6958546367331192,1660.6,2.72,8558.2,217.347,1.90
42,2009-12-31,0.6979828257731631,1806.8,2.71,8527.1,217.488,2.13
43,2010-01-15,0.7169111782848775,1641.3,2.81,8476.3,217.488,2.10
44,2010-01-29,0.7184395365214664,1707.3,2.81,8428.8,217.281,1.91
45,2010-02-12,0.7125161184673676,1675.2,2.85,8530.4,217.281,1.96
46,2010-02-26,0.7122427910289953,1728.3,2.80,8527.7,217.353,1.83
47,2010-03-15,0.708684976055611,1696.1,2.75,8599.2,217.353,1.93
48,2010-03-31,0.7059142198865985,1789.8,2.82,8557.8,217.403,1.83
49,2010-04-15,0.6993650675272377,1665.2,2.82,8641.3,217.403,1.96
50,2010-04-30,0.7015143850217617,1772.7,2.72,8552.7,217.29,2.01
51,2010-05-14,0.6846914363735015,1673.8,2.65,8617.0,217.29,1.83
52,2010-05-28,0.6715533376134414,1762.5,2.55,8589.7,217.199,1.69
53,2010-06-15,0.6671795683959784,1674.2,2.53,8628.3,217.199,1.68
54,2010-06-30,0.6579762423218639,1804.9,2.36,8556.2,217.605,1.54
55,2010-07-15,0.6536683114994674,1666.7,2.39,8598.8,217.605,1.43
56,2010-07-30,0.6563026319180084,1781.1,2.39,8585.3,217.923,1.43
57,2010-08-13,0.6688271439867024,1701.4,2.14,8631.6,217.923,1.34
58,2010-08-31,0.6656595188546632,1807.3,2.00,8586.0,218.275,1.19
59,2010-09-15,0.6350882153782171,1685.2,2.24,8682.7,218.275,1.29
60,2010-09-30,0.609070486440111,1795.9,2.11,8603.5,219.035,1.30
61,2010-10-15,0.6040553339727133,1737.1,2.22,8738.6,219.035,1.58
62,2010-10-29,0.6095191343957042,1829.4,2.29,8705.5,219.59,1.48
63,2010-11-15,0.5845575494796885,1753.0,2.39,8788.1,219.59,1.57
64,2010-11-30,0.5670361580239698,1909.8,2.36,8785.2,220.472,1.54
65,2010-12-15,0.5367760906259353,1785.5,2.85,8848.4,220.472,1.77
66,2010-12-31,0.5202412034485528,1965.0,2.69,8888.5,221.187,1.83
67,2011-01-14,0.5298627604025062,1825.6,2.76,8910.1,221.187,1.93
68,2011-01-31,0.5360256834943938,1922.0,2.84,8789.4,221.898,1.96
69,2011-02-15,0.4716338387669744,1807.9,2.77,8886.0,221.898,1.91
70,2011-02-28,0.434094515119134,1935.2,2.73,8908.2,223.046,2.15
71,2011-03-15,0.4161396861463107,1846.9,2.70,9009.4,223.046,2.16
72,2011-03-31,0.4581034026316663,1977.3,2.67,8984.6,224.093,2.21
73,2011-04-15,0.4876142556133821,1894.3,2.72,9094.1,224.093,2.23
74,2011-04-29,0.5188654698151006,1984.0,2.71,8997.9,224.806,2.45
75,2011-05-13,0.5323027576095277,1887.4,2.61,9050.4,224.806,2.15
76,2011-05-31,0.5551203753034106,2017.2,2.60,9017.1,224.806,2.00
77,2011-06-15,0.5468918006892641,1887.6,2.60,9095.1,224.806,1.99
78,2011-06-30,0.54700848456606,2011.8,2.73,9117.1,225.395,2.03
79,2011-07-15,0.5483248109759045,1936.3,2.57,9244.6,225.395,1.98
