DATE,T5YIE
2008-03-28,2.21
2008-03-31,2.19
2008-04-01,2.21
2008-04-02,2.21
2008-04-03,2.21
2008-04-04,2.18
2008-04-07,2.23
2008-04-08,2.19
2008-04-09,2.17
2008-04-10,2.19
2008-04-11,2.17
2008-04-14,2.17
2008-04-15,2.20
2008-04-16,2.22
2008-04-17,2.22
2008-04-18,2.24
2008-04-21,2.25
2008-04-22,2.24
2008-04-23,2.25
2008-04-24,2.26
2008-04-25,2.31
2008-04-28,2.30
2008-04-29,2.29
2008-04-30,2.26
2008-05-01,2.27
2008-05-02,2.32
2008-05-05,2.29
2008-05-06,2.31
2008-05-07,2.29
2008-05-08,2.30
2008-05-09,2.32
2008-05-12,2.30
2008-05-13,2.32
2008-05-14,2.36
2008-05-15,2.35
2008-05-16,2.37
2008-05-19,2.40
2008-05-20,2.42
2008-05-21,2.47
2008-05-22,2.47
2008-05-23,2.42
2008-05-26,.
2008-05-27,2.40
2008-05-28,2.39
2008-05-29,2.40
2008-05-30,2.40
2008-06-02,2.40
2008-06-03,2.36
2008-06-04,2.32
2008-06-05,2.37
2008-06-06,2.45
2008-06-09,2.48
2008-06-10,2.48
2008-06-11,2.51
2008-06-12,2.54
2008-06-13,2.56
2008-06-16,2.58
2008-06-17,2.55
2008-06-18,2.57
2008-06-19,2.55
2008-06-20,2.53
2008-06-23,2.56
2008-06-24,2.57
2008-06-25,2.57
2008-06-26,2.64
2008-06-27,2.62
2008-06-30,2.63
2008-07-01,2.66
2008-07-02,2.70
2008-07-03,2.72
2008-07-04,.
2008-07-07,2.63
2008-07-08,2.52
2008-07-09,2.54
2008-07-10,2.57
2008-07-11,2.60
2008-07-14,2.58
2008-07-15,2.55
2008-07-16,2.56
2008-07-17,2.54
2008-07-18,2.50
2008-07-21,2.47
2008-07-22,2.42
2008-07-23,2.29
2008-07-24,2.28
2008-07-25,2.24
2008-07-28,2.25
2008-07-29,2.18
2008-07-30,2.22
2008-07-31,2.16
2008-08-01,2.17
2008-08-04,2.14
2008-08-05,2.10
2008-08-06,2.08
2008-08-07,2.09
2008-08-08,2.04
2008-08-11,2.01
2008-08-12,1.99
2008-08-13,2.01
2008-08-14,2.02
2008-08-15,1.95
2008-08-18,1.92
2008-08-19,1.92
2008-08-20,1.94
2008-08-21,2.02
2008-08-22,1.94
2008-08-25,1.88
2008-08-26,1.90
2008-08-27,1.92
2008-08-28,1.94
2008-08-29,1.89
2008-09-01,.
2008-09-02,1.72
2008-09-03,1.66
2008-09-04,1.59
2008-09-05,1.60
2008-09-08,1.62
2008-09-09,1.52
2008-09-10,1.52
2008-09-11,1.51
2008-09-12,1.50
2008-09-15,1.23
2008-09-16,1.03
2008-09-17,1.04
2008-09-18,1.02
2008-09-19,1.37
2008-09-22,1.44
2008-09-23,1.25
2008-09-24,1.09
2008-09-25,1.18
2008-09-26,1.15
2008-09-29,0.94
2008-09-30,0.97
2008-10-01,0.95
2008-10-02,0.93
2008-10-03,0.96
2008-10-06,0.75
2008-10-07,0.62
2008-10-08,0.43
2008-10-09,0.47
2008-10-10,0.20
2008-10-13,.
2008-10-14,0.24
2008-10-15,0.14
2008-10-16,-0.04
2008-10-17,0.04
2008-10-20,0.09
2008-10-21,-0.12
2008-10-22,-0.24
2008-10-23,-0.39
2008-10-24,-0.80
2008-10-27,-1.07
2008-10-28,-1.04
2008-10-29,-0.96
2008-10-30,-0.81
2008-10-31,-0.96
2008-11-03,-0.95
2008-11-04,-0.89
2008-11-05,-0.90
2008-11-06,-1.02
2008-11-07,-1.00
2008-11-10,-1.01
2008-11-11,.
2008-11-12,-1.09
2008-11-13,-1.07
2008-11-14,-1.10
2008-11-17,-1.12
2008-11-18,-1.29
