idt,market,maturity_target,mu,sd,skew,kurt,p10,p50,p90,lg_change_decr,prDec,lg_change_incr,prInc,Avg,Open,High,Low,Close
2007-01-12,sp6m,6.0,0.018803344,0.08643514,-1.079705261,1.837194376,-0.095497833,0.033820184,0.111149187,-20.0,0.024242463,20.0,0.001915352,1524.5123009314905,0.05969624741720646,0.08386938215444514,0.016353610620059907,0.017006673963771392
2007-01-31,sp6m,6.0,0.018349613,0.077969269,-1.046439308,1.842209447,-0.083769283,0.030989509,0.102376985,-20.0,0.016757608,20.0,0.000766686,1459.4909224076705,0.024491828371865594,0.044634957242435755,-0.00840660667742368,-0.022173635982571216
2007-02-15,sp6m,6.0,0.019976356,0.08454269,-1.00108081,1.588656939,-0.092096142,0.033610369,0.111834264,-20.0,0.021095823,20.0,0.001900084,1447.7011040581597,-0.021270631068760065,0.01538746268578149,-0.06100057163162337,-0.016925730623655523
2007-02-28,sp6m,6.0,0.01882251,0.100146527,-1.031800567,1.638698301,-0.114332156,0.035649621,0.126682569,-20.0,0.036787759,20.0,0.007349742,1468.0392409104568,0.041696795257320174,0.06173043980745966,0.017747258574225103,0.0484442251773432
2007-03-15,sp6m,6.0,0.018766619,0.099518806,-1.058039718,1.823271349,-0.112901812,0.035359729,0.12550521,-20.0,0.036137565,20.0,0.007714838,1518.8450073242188,0.06396013800488468,0.1000211812153682,0.0555569815759346,0.10540074085087713
2007-03-30,sp6m,6.0,0.01949386,0.09820098,-1.172308409,2.024768336,-0.111578601,0.038192903,0.121965147,-20.0,0.037305948,20.0,0.004717068,1553.0099975585938,0.07223263686275622,0.10368476293348056,0.07220642076344831,0.08615998934072468
2007-04-13,sp6m,6.0,0.020003262,0.089311938,-1.255677208,2.443527236,-0.096587344,0.036968602,0.112389899,-20.0,0.028576979,20.0,0.001660069,1527.4227183948863,0.07259996205908566,0.07419254199597927,0.024953685902030953,0.052407064936554254
2007-04-30,sp6m,6.0,0.018067801,0.093035986,-0.923788949,1.360788523,-0.104966793,0.032287284,0.120738705,-20.0,0.028234624,20.0,0.004867838,1492.98583984375,0.03776359561765544,0.046391843874976434,-0.030020375822335472,-0.021285792673178566
2007-05-15,sp6m,6.0,0.019525622,0.098145715,-0.91405103,1.323293187,-0.108931096,0.034002984,0.128262626,-20.0,0.032022794,20.0,0.007075897,1441.4519897460937,-0.022329883501294247,-0.01840716362185221,-0.06543819063573984,-0.013446016457035267
2007-05-31,sp6m,6.0,0.01851117,0.096887682,-0.946729784,1.455856676,-0.109577188,0.033206455,0.125204284,-20.0,0.032764671,20.0,0.007256745,1486.356367631392,-0.03916638424016162,-0.004616648921717949,-0.046784467120480996,-0.056940896952455175
