idt,market,idt_price,maturity_target,maturity_date,mu,sd,skew,kurt,p10,p50,p90,lg_change_decr,prDec,lg_change_incr,prInc,maturity_date_price,maturity_date_return,risk_free_rate
2007-01-12,sp6m,1430.72998046875,6.0,2007-07-12,0.018803344,0.08643514,-1.079705261,1.837194376,-0.095497833,0.033820184,0.111149187,-20.0,0.024242463,20.0,0.001915352,1547.699951171875,0.07858513651213118,0.024413111231467405
2007-01-31,sp6m,1438.239990234375,6.0,2007-07-31,0.018349613,0.077969269,-1.046439308,1.842209447,-0.083769283,0.030989509,0.102376985,-20.0,0.016757608,20.0,0.000766686,1455.27001953125,0.011771326786416996,0.024474476501040832
2007-02-15,sp6m,1456.81005859375,6.0,2007-08-15,0.019976356,0.08454269,-1.00108081,1.588656939,-0.092096142,0.033610369,0.111834264,-20.0,0.021095823,20.0,0.001900084,1406.699951171875,-0.03500265291812909,0.024556058315617347
2007-02-28,sp6m,1406.8199462890625,6.0,2007-08-28,0.01882251,0.100146527,-1.031800567,1.638698301,-0.114332156,0.035649621,0.126682569,-20.0,0.036787759,20.0,0.007349742,1432.3599853515625,0.01799162336527901,0.024515301344262524
2007-03-15,sp6m,1392.280029296875,6.0,2007-09-17,0.018766619,0.099518806,-1.058039718,1.823271349,-0.112901812,0.035359729,0.12550521,-20.0,0.036137565,20.0,0.007714838,1476.6500244140625,0.05883331302488071,0.024310491562286436
2007-03-30,sp6m,1420.8599853515625,6.0,2007-10-01,0.01949386,0.09820098,-1.172308409,2.024768336,-0.111578601,0.038192903,0.121965147,-20.0,0.037305948,20.0,0.004717068,1547.0400390625,0.08508114121864095,0.024289915602982236
2007-04-13,sp6m,1452.8499755859375,6.0,2007-10-15,0.020003262,0.089311938,-1.255677208,2.443527236,-0.096587344,0.036968602,0.112389899,-20.0,0.028576979,20.0,0.001660069,1548.7099609375,0.06389517335704731,0.024248711305964284
2007-04-30,sp6m,1482.3699951171875,6.0,2007-10-30,0.018067801,0.093035986,-0.923788949,1.360788523,-0.104966793,0.032287284,0.120738705,-20.0,0.028234624,20.0,0.004867838,1531.02001953125,0.03229203766699203,0.02406241883103193
2007-05-15,sp6m,1501.18994140625,6.0,2007-11-15,0.019525622,0.098145715,-0.91405103,1.323293187,-0.108931096,0.034002984,0.128262626,-20.0,0.032022794,20.0,0.007075897,1451.1500244140625,-0.03390172552305733,0.023874672772626643
2007-05-31,sp6m,1530.6199951171875,6.0,2007-11-30,0.01851117,0.096887682,-0.946729784,1.455856676,-0.109577188,0.033206455,0.125204284,-20.0,0.032764671,20.0,0.007256745,1481.1400146484375,-0.03286080745905271,0.023664319132398463
2007-06-15,sp6m,1532.9100341796875,6.0,2007-12-17,0.017632964,0.099831912,-0.953329551,1.457672695,-0.114873641,0.033240477,0.127048893,-20.0,0.036397481,20.0,0.00872543,1445.9000244140625,-0.05843593011168239,0.023302360395462088
2007-06-29,sp6m,1503.3499755859375,6.0,2007-12-31,0.018018525,0.110562027,-1.01824844,1.605386466,-0.129743867,0.036322353,0.137288254,-20.0,0.0482246,20.0,0.015478326,1468.3599853515625,-0.02354981326020654,0.023832750575625967
2007-07-13,sp6m,1552.5,6.0,2008-01-14,0.019513245,0.111052843,-1.049040148,1.609064037,-0.129405566,0.039264908,0.138200317,-20.0,0.049058248,20.0,0.014611456,1416.25,-0.0918540014654177,0.02414539293529927
2007-07-31,sp6m,1455.27001953125,6.0,2008-01-31,0.017407636,0.13777295,-0.887206645,1.161876263,-0.168077117,0.038632365,0.169442686,-20.0,0.075638039,20.0,0.052294824,1378.550048828125,-0.05415920628615024,0.024124676163629635
2007-08-15,sp6m,1406.699951171875,6.0,2008-02-15,0.011459495,0.160131206,-0.918483988,1.225744374,-0.2026859,0.034002984,0.188517575,-20.0,0.101677633,20.0,0.080811121,1349.989990234375,-0.04114932328875225,0.022583179581272428
2007-08-31,sp6m,1473.989990234375,6.0,2008-02-29,0.013267799,0.149005878,-1.043409844,1.272467902,-0.193861604,0.043748138,0.170340395,-20.0,0.095502129,20.0,0.04914639,1330.6300048828125,-0.10232048489752894,0.022158519806160338
2007-09-14,sp6m,1484.25,6.0,2008-03-14,0.013372104,0.152386634,-1.049507403,1.437553531,-0.193986799,0.042417871,0.175471911,-20.0,0.095964727,20.0,0.057768874,1288.1400146484375,-0.14171026536948195,0.022135943621178655
2007-09-28,sp6m,1526.75,6.0,2008-03-28,0.015595414,0.12497892,-1.101276626,1.702453202,-0.152365615,0.038849106,0.147969121,-20.0,0.066234753,20.0,0.022487024,1315.219970703125,-0.14913736337956499,0.021725560982400433
2007-10-15,sp6m,1548.7099609375,6.0,2008-04-15,0.015935119,0.136142286,-1.020942175,1.374801848,-0.169904421,0.041359337,0.16155715,-20.0,0.077630559,20.0,0.037980912,1334.4300537109375,-0.148918026490902,0.022781571499789037
2007-10-31,sp6m,1549.3800048828125,6.0,2008-04-30,0.015682806,0.137897989,-1.193114286,2.008657505,-0.171004914,0.04300426,0.158557146,-20.0,0.080555789,20.0,0.036903526,1385.5899658203125,-0.11172883701932332,0.022000000000000002
2007-11-15,sp6m,1451.1500244140625,6.0,2008-05-15,0.007859308,0.174149047,-1.092337306,1.596158734,-0.227978589,0.039182015,0.192929316,-20.0,0.118467032,20.0,0.087653107,1423.5699462890625,-0.019188598997452868,0.020542638584174138
2007-11-30,sp6m,1481.1400146484375,6.0,2008-05-30,0.006610936,0.170110838,-0.958870829,1.019469788,-0.230913014,0.040212059,0.189314392,-20.0,0.122593598,20.0,0.080657355,1400.3800048828125,-0.0560684395810263,0.020199009876724155
2007-12-14,sp6m,1467.949951171875,6.0,2008-06-16,0.005946782,0.16315558,-0.892178178,1.131814266,-0.216148754,0.029414249,0.187610677,-20.0,0.111283922,20.0,0.080589682,1360.1400146484375,-0.07627919000781451,0.019519221295943134
2007-12-31,sp6m,1468.3599853515625,6.0,2008-06-30,0.008179564,0.162827431,-0.928371142,1.085394346,-0.217488555,0.036534147,0.185904034,-20.0,0.112635719,20.0,0.076641692,1280.0,-0.13728604382801857,0.02071231517720798
2008-01-15,sp6m,1380.949951171875,6.0,2008-07-15,0.005765914,0.172249488,-0.797078923,0.791516923,-0.230083587,0.031738003,0.199037759,-20.0,0.122975231,20.0,0.098419583,1214.9100341796875,-0.128101604656943,0.020223748416156685
2008-01-31,sp6m,1378.550048828125,6.0,2008-07-31,0.003541333,0.166818408,-1.023103578,1.395704509,-0.225847137,0.035344901,0.181723046,-20.0,0.118421446,20.0,0.071075,1267.3800048828125,-0.08408047625548412,0.017088007490635063
2008-02-15,sp6m,1349.989990234375,6.0,2008-08-15,-0.004027924,0.175103077,-1.005966337,1.313989832,-0.244409984,0.029019787,0.18371694,-20.0,0.132152744,20.0,0.074531528,1298.199951171875,-0.03911852577658991,0.017776388834631177
2008-02-29,sp6m,1330.6300048828125,6.0,2008-08-29,-0.004291465,0.175768434,-0.864854515,0.969483369,-0.242934448,0.022658167,0.190828932,-20.0,0.132668612,20.0,0.085225634,1282.8299560546875,-0.03658397731154211,0.01676305461424021
2008-03-14,sp6m,1288.1400146484375,6.0,2008-09-15,-0.009443837,0.198746423,-0.765406782,0.477714164,-0.288398627,0.024354494,0.212527365,-20.0,0.17035205,20.0,0.120810894,1192.699951171875,-0.07697972513583105,0.014696938456699069
