,mu,sd,skew,kurt,p10,p50,p90,prDec,prInc
10dayR2,0.0065,0.0052,0.0043,0.0234,0.0067,0.0027,0.0004,0.0051,0.0061
30dayR2,0.0006,0.0076,0.0104,0.0364,0.0079,0.0026,0.0074,0.0142,0.0165
50dayR2,0.0,0.0197,0.0072,0.0456,0.0133,0.0022,0.029,0.0279,0.0514
80dayR2,0.0005,0.0472,0.0011,0.0693,0.0273,0.0007,0.0723,0.0504,0.1064
110dayR2,0.0028,0.0385,0.0002,0.057,0.0197,0.0008,0.0689,0.0438,0.0914
130dayR2,0.0017,0.0252,0.0011,0.0403,0.0111,0.0029,0.0525,0.0297,0.0683
150dayR2,0.0005,0.0152,0.0051,0.0309,0.0042,0.0079,0.0456,0.0178,0.0532
180dayR2,0.0001,0.0031,0.0119,0.0194,0.0,0.0231,0.031,0.0056,0.025
10dayPvalues,0.0505,0.0812,0.1152,0.0002,0.0471,0.2135,0.64,0.0834,0.0587
30dayPvalues,0.5638,0.0357,0.0139,0.0,0.0318,0.2224,0.0379,0.004,0.0019
50dayPvalues,0.867,0.0007,0.0417,0.0,0.0055,0.2616,0.0,0.0001,0.0
80dayPvalues,0.6081,0.0,0.4223,0.0,0.0001,0.5275,0.0,0.0,0.0
110dayPvalues,0.2129,0.0,0.7621,0.0,0.0008,0.5078,0.0,0.0,0.0
130dayPvalues,0.326,0.0002,0.43,0.0,0.0126,0.2008,0.0,0.0,0.0
150dayPvalues,0.6115,0.0036,0.093,0.0,0.1267,0.0362,0.0,0.0016,0.0
180dayPvalues,0.8399,0.1935,0.0106,0.0011,0.9184,0.0003,0.0,0.0805,0.0002
