,mu,sd,skew,kurt,p10,p50,p90,prDec,prInc
10dayR2,0.0226,0.0169,0.0,0.0302,0.0199,0.0002,0.0172,0.0126,0.0128
30dayR2,0.0448,0.0405,0.0,0.0286,0.0451,0.0003,0.0398,0.0321,0.0319
50dayR2,0.0833,0.0878,0.0028,0.0348,0.0939,0.0001,0.0877,0.0748,0.0768
80dayR2,0.123,0.148,0.0125,0.0361,0.1546,0.0,0.1485,0.1377,0.129
110dayR2,0.108,0.1451,0.0284,0.0413,0.1519,0.0015,0.1473,0.1553,0.1286
130dayR2,0.1182,0.1544,0.0245,0.0734,0.1624,0.0002,0.1608,0.1806,0.1411
150dayR2,0.1331,0.1755,0.0109,0.1172,0.1829,0.0007,0.188,0.2139,0.1656
180dayR2,0.1624,0.1918,0.0026,0.1762,0.2015,0.0053,0.2068,0.2394,0.1845
10dayPvalues,0.0029,0.0102,0.9056,0.0006,0.0053,0.797,0.0096,0.0269,0.0257
30dayPvalues,0.0,0.0001,0.9836,0.0009,0.0,0.7345,0.0001,0.0004,0.0004
50dayPvalues,0.0,0.0,0.3055,0.0003,0.0,0.847,0.0,0.0,0.0
80dayPvalues,0.0,0.0,0.0309,0.0002,0.0,0.9326,0.0,0.0,0.0
110dayPvalues,0.0,0.0,0.0012,0.0001,0.0,0.461,0.0,0.0,0.0
130dayPvalues,0.0,0.0,0.0027,0.0,0.0,0.8055,0.0,0.0,0.0
150dayPvalues,0.0,0.0,0.048,0.0,0.0,0.6066,0.0,0.0,0.0
180dayPvalues,0.0,0.0,0.3387,0.0,0.0,0.172,0.0,0.0,0.0
