,mu,sd,skew,kurt,p10,p50,p90,prDec,prInc
10dayR2,0.0054,0.0074,0.001,0.0003,0.0041,0.0001,0.0118,0.004,0.0141
30dayR2,0.0092,0.0414,0.0089,0.0097,0.0347,0.0134,0.046,0.0341,0.0453
50dayR2,0.021,0.0704,0.0138,0.0122,0.0603,0.0267,0.0795,0.0589,0.075
80dayR2,0.0475,0.0721,0.0185,0.0148,0.058,0.0406,0.0854,0.0518,0.0612
110dayR2,0.0504,0.0684,0.029,0.0316,0.054,0.0483,0.0791,0.0486,0.0475
130dayR2,0.0723,0.0624,0.0309,0.0309,0.0484,0.0629,0.0739,0.0443,0.0422
150dayR2,0.0872,0.0653,0.0357,0.0434,0.0489,0.071,0.0784,0.0464,0.0437
180dayR2,0.0961,0.0885,0.0608,0.0791,0.0688,0.0944,0.1011,0.0645,0.0545
10dayPvalues,0.0775,0.0387,0.4509,0.6869,0.1225,0.8453,0.0089,0.127,0.0042
30dayPvalues,0.0218,0.0,0.0235,0.0182,0.0,0.0055,0.0,0.0,0.0
50dayPvalues,0.0005,0.0,0.005,0.0083,0.0,0.0001,0.0,0.0,0.0
80dayPvalues,0.0,0.0,0.0012,0.0038,0.0,0.0,0.0,0.0,0.0
110dayPvalues,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
130dayPvalues,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150dayPvalues,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180dayPvalues,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
