,mu,sd,skew,kurt,p10,p50,p90,prDec,prInc
10dayR2,0.0003,0.0038,0.0029,0.0161,0.0015,0.0004,0.0038,0.0015,0.0012
30dayR2,0.0048,0.0105,0.0253,0.0152,0.0152,0.0048,0.0005,0.0087,0.0092
50dayR2,0.003,0.0208,0.0253,0.0132,0.0245,0.0047,0.0042,0.0141,0.0139
80dayR2,0.0078,0.0299,0.0106,0.0064,0.0305,0.0,0.0114,0.0206,0.0217
110dayR2,0.0093,0.028,0.0037,0.0015,0.0299,0.0,0.0134,0.0152,0.0192
130dayR2,0.0031,0.0143,0.0014,0.0023,0.0163,0.0013,0.004,0.003,0.0076
150dayR2,0.002,0.0071,0.0,0.0013,0.0085,0.0004,0.0014,0.0005,0.0034
180dayR2,0.0028,0.0024,0.0038,0.001,0.0033,0.0013,0.0002,0.0,0.0009
10dayPvalues,0.6528,0.1357,0.1941,0.0022,0.3517,0.6308,0.1385,0.3439,0.4025
30dayPvalues,0.0967,0.0138,0.0001,0.003,0.003,0.0968,0.5829,0.0248,0.0214
50dayPvalues,0.1937,0.0005,0.0001,0.0058,0.0002,0.1027,0.1225,0.0044,0.0047
80dayPvalues,0.0361,0.0,0.0144,0.0561,0.0,0.9262,0.0108,0.0006,0.0004
110dayPvalues,0.0224,0.0001,0.1518,0.3549,0.0,0.9039,0.0061,0.0035,0.001
130dayPvalues,0.1864,0.0048,0.3843,0.2549,0.0026,0.3949,0.1342,0.1958,0.0404
150dayPvalues,0.2974,0.0477,0.8722,0.3937,0.0302,0.6193,0.3888,0.6186,0.1732
180dayPvalues,0.2147,0.25,0.1478,0.4577,0.183,0.3998,0.7419,0.9743,0.4908
