,mu,sd,skew,kurt,p10,p50,p90,prDec,prInc
10dayR2,0.0,0.0019,0.0001,0.0053,0.001,0.0002,0.003,0.002,0.0012
30dayR2,0.0107,0.0201,0.0001,0.0137,0.0077,0.0003,0.032,0.0145,0.032
50dayR2,0.0097,0.0623,0.0026,0.0091,0.033,0.0012,0.0784,0.0411,0.088
80dayR2,0.0018,0.0849,0.0126,0.0008,0.0467,0.0065,0.1044,0.0518,0.1092
110dayR2,0.0023,0.086,0.0235,0.0034,0.0459,0.0197,0.1072,0.0541,0.0983
130dayR2,0.0098,0.0664,0.0257,0.0049,0.0331,0.0273,0.088,0.0422,0.0756
150dayR2,0.0207,0.0496,0.02,0.006,0.0264,0.0272,0.0649,0.0338,0.0498
180dayR2,0.0165,0.0444,0.0054,0.0003,0.0341,0.013,0.0477,0.0387,0.0368
10dayPvalues,0.9043,0.292,0.8382,0.0797,0.4532,0.7529,0.1851,0.278,0.4023
30dayPvalues,0.0125,0.0006,0.8028,0.0048,0.0349,0.6598,0.0,0.0036,0.0
50dayPvalues,0.0178,0.0,0.2251,0.0217,0.0,0.4105,0.0,0.0,0.0
80dayPvalues,0.3175,0.0,0.0073,0.5096,0.0,0.0542,0.0,0.0,0.0
110dayPvalues,0.2577,0.0,0.0003,0.1696,0.0,0.0008,0.0,0.0,0.0
130dayPvalues,0.0191,0.0,0.0001,0.0979,0.0,0.0001,0.0,0.0,0.0
150dayPvalues,0.0007,0.0,0.0008,0.0694,0.0001,0.0001,0.0,0.0,0.0
180dayPvalues,0.0026,0.0,0.0858,0.6749,0.0,0.0074,0.0,0.0,0.0
