,mu,sd,skew,kurt,p10,p50,p90,prDec,prInc
10dayR2,0.0001,0.0016,0.0,0.0,0.0008,0.0002,0.0017,0.0011,0.0019
30dayR2,0.0062,0.0165,0.0003,0.0,0.0155,0.005,0.0112,0.0144,0.0133
50dayR2,0.0111,0.0205,0.002,0.0001,0.0201,0.0064,0.0118,0.0179,0.0152
80dayR2,0.0202,0.0278,0.0026,0.0001,0.0286,0.006,0.0153,0.0229,0.0223
110dayR2,0.04,0.0378,0.0013,0.0001,0.0401,0.0015,0.0211,0.0297,0.0355
130dayR2,0.0402,0.0388,0.0017,0.0002,0.0408,0.0016,0.0219,0.0299,0.0374
150dayR2,0.0455,0.0409,0.0017,0.0004,0.0432,0.001,0.0231,0.0306,0.0419
180dayR2,0.0658,0.0496,0.0009,0.0,0.0545,0.0002,0.0279,0.0392,0.0518
10dayPvalues,0.7787,0.2996,0.9083,0.9225,0.4527,0.7,0.2877,0.3759,0.2508
30dayPvalues,0.0399,0.0008,0.6407,0.8708,0.0011,0.0646,0.0057,0.0017,0.0026
50dayPvalues,0.0062,0.0002,0.2414,0.7945,0.0002,0.0379,0.0048,0.0005,0.0014
80dayPvalues,0.0002,0.0,0.1862,0.7618,0.0,0.0456,0.0014,0.0001,0.0001
110dayPvalues,0.0,0.0,0.3456,0.8442,0.0,0.3267,0.0002,0.0,0.0
130dayPvalues,0.0,0.0,0.2926,0.7136,0.0,0.3107,0.0001,0.0,0.0
150dayPvalues,0.0,0.0,0.2873,0.6123,0.0,0.4267,0.0001,0.0,0.0
180dayPvalues,0.0,0.0,0.4576,0.9512,0.0,0.7003,0.0,0.0,0.0
