,mu,sd,skew,kurt,p10,p50,p90,prDec,prInc
10dayR2,0.0003,0.0028,0.0001,0.0,0.0012,0.0001,0.009,0.0028,0.0097
30dayR2,0.0,0.0092,0.0009,0.0023,0.0022,0.0025,0.0397,0.0145,0.0275
50dayR2,0.0025,0.0165,0.0024,0.018,0.0048,0.0059,0.0555,0.0244,0.0279
80dayR2,0.0382,0.0683,0.0002,0.0148,0.0383,0.0003,0.1083,0.0709,0.0532
110dayR2,0.0604,0.0965,0.0012,0.0269,0.0615,0.0002,0.1184,0.0911,0.0772
130dayR2,0.0685,0.1074,0.0018,0.0272,0.073,0.0,0.1077,0.0939,0.0804
150dayR2,0.0869,0.1157,0.0014,0.0304,0.0812,0.0001,0.1058,0.0981,0.073
180dayR2,0.1014,0.1243,0.0001,0.0305,0.0824,0.0013,0.1223,0.0873,0.0847
10dayPvalues,0.6996,0.199,0.836,0.9431,0.4059,0.7863,0.0219,0.2027,0.0172
30dayPvalues,0.9347,0.0205,0.473,0.2444,0.2586,0.2307,0.0,0.0036,0.0001
50dayPvalues,0.2263,0.002,0.2402,0.0012,0.0975,0.0652,0.0,0.0002,0.0001
80dayPvalues,0.0,0.0,0.7216,0.0036,0.0,0.6696,0.0,0.0,0.0
110dayPvalues,0.0,0.0,0.4053,0.0001,0.0,0.746,0.0,0.0,0.0
130dayPvalues,0.0,0.0,0.3211,0.0001,0.0,0.9255,0.0,0.0,0.0
150dayPvalues,0.0,0.0,0.3824,0.0,0.0,0.866,0.0,0.0,0.0
180dayPvalues,0.0,0.0,0.8424,0.0,0.0,0.394,0.0,0.0,0.0
