,mu,sd,skew,kurt,p10,p50,p90,prDec,prInc
10dayR2,0.0987,0.4227,0.1723,0.1188,0.4392,0.1659,0.3672,0.3696,0.3799
30dayR2,0.0718,0.3209,0.1661,0.1213,0.3272,0.1329,0.2756,0.2843,0.2872
50dayR2,0.051,0.2488,0.1459,0.1026,0.2534,0.1162,0.2123,0.2153,0.2235
80dayR2,0.0413,0.1766,0.138,0.0924,0.1821,0.09,0.1452,0.1523,0.1515
110dayR2,0.0297,0.1381,0.1409,0.0927,0.1412,0.081,0.1125,0.1205,0.1154
130dayR2,0.0231,0.1203,0.1516,0.0971,0.1226,0.0822,0.0971,0.1055,0.0971
150dayR2,0.0134,0.1091,0.1591,0.1027,0.109,0.0937,0.089,0.0943,0.0877
180dayR2,0.0047,0.0899,0.1647,0.112,0.0873,0.1049,0.0736,0.072,0.0722
10dayPvalues,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30dayPvalues,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50dayPvalues,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80dayPvalues,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110dayPvalues,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130dayPvalues,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150dayPvalues,0.0052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180dayPvalues,0.0985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
