,mu,sd,skew,kurt,p10,p50,p90,prDec,prInc
10dayR2,0.2041,0.4466,0.0621,0.0064,0.4519,0.0213,0.4087,0.3914,0.4112
30dayR2,0.1999,0.3503,0.0503,0.0035,0.3654,0.006,0.3104,0.3213,0.314
50dayR2,0.1896,0.2761,0.0379,0.0001,0.3015,0.0023,0.235,0.2625,0.2405
80dayR2,0.1645,0.1985,0.031,0.0001,0.2261,0.0003,0.1611,0.1957,0.1634
110dayR2,0.1311,0.1508,0.0365,0.0001,0.1748,0.0005,0.1184,0.1544,0.1185
130dayR2,0.113,0.1292,0.0412,0.0006,0.1513,0.0012,0.0994,0.1342,0.0974
150dayR2,0.1007,0.1115,0.0413,0.0008,0.132,0.0012,0.0843,0.1178,0.0814
180dayR2,0.0766,0.085,0.0367,0.0009,0.1025,0.0018,0.0632,0.0893,0.06
10dayPvalues,0.0,0.0,0.0,0.048,0.0,0.0003,0.0,0.0,0.0
30dayPvalues,0.0,0.0,0.0,0.1468,0.0,0.0561,0.0,0.0,0.0
50dayPvalues,0.0,0.0,0.0,0.8405,0.0,0.2415,0.0,0.0,0.0
80dayPvalues,0.0,0.0,0.0,0.8081,0.0,0.6911,0.0,0.0,0.0
110dayPvalues,0.0,0.0,0.0,0.8123,0.0,0.5765,0.0,0.0,0.0
130dayPvalues,0.0,0.0,0.0,0.5586,0.0,0.4081,0.0,0.0,0.0
150dayPvalues,0.0,0.0,0.0,0.4975,0.0,0.4029,0.0,0.0,0.0
180dayPvalues,0.0,0.0,0.0,0.4763,0.0,0.3054,0.0,0.0,0.0
