,mu,sd,skew,kurt,p10,p50,p90,prDec,prInc
10dayR2,0.1034,0.1989,0.0317,0.0321,0.1706,0.0288,0.1089,0.1775,0.1704
30dayR2,0.0873,0.2701,0.0469,0.0253,0.2226,0.0365,0.1848,0.2557,0.2548
50dayR2,0.0495,0.3256,0.0486,0.0238,0.2455,0.0426,0.2883,0.3031,0.3673
80dayR2,0.0285,0.3435,0.0482,0.0272,0.2419,0.0351,0.3479,0.3593,0.3982
110dayR2,0.0275,0.3136,0.0507,0.0197,0.2223,0.0305,0.3224,0.38,0.357
130dayR2,0.0268,0.2893,0.0513,0.0148,0.2094,0.0289,0.2852,0.3579,0.313
150dayR2,0.0114,0.2442,0.0544,0.0098,0.1742,0.0285,0.2568,0.3127,0.267
180dayR2,0.0051,0.1805,0.0804,0.007,0.132,0.0336,0.1961,0.2558,0.1848
10dayPvalues,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30dayPvalues,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0
50dayPvalues,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0
80dayPvalues,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0
110dayPvalues,0.0001,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,0.0
130dayPvalues,0.0001,0.0,0.0,0.004,0.0,0.0001,0.0,0.0,0.0
150dayPvalues,0.0118,0.0,0.0,0.0197,0.0,0.0001,0.0,0.0,0.0
180dayPvalues,0.0936,0.0,0.0,0.0507,0.0,0.0,0.0,0.0,0.0
