,mu,sd,skew,kurt,p10,p50,p90,prDec,prInc
10dayR2,0.0269,0.3392,0.1402,0.0891,0.3609,0.2527,0.3081,0.3522,0.3209
30dayR2,0.0489,0.3369,0.1138,0.0688,0.3489,0.25,0.3179,0.3429,0.3139
50dayR2,0.0428,0.2757,0.0679,0.0359,0.2811,0.1772,0.2687,0.2697,0.2565
80dayR2,0.0292,0.2455,0.0836,0.0461,0.2516,0.1559,0.2352,0.2455,0.2115
110dayR2,0.0244,0.201,0.0506,0.0314,0.2034,0.1094,0.1967,0.1933,0.1766
130dayR2,0.0177,0.1739,0.0409,0.0285,0.1756,0.0859,0.1697,0.1655,0.1539
150dayR2,0.0099,0.1508,0.0396,0.0295,0.1539,0.0694,0.1444,0.1436,0.1305
180dayR2,0.0053,0.0926,0.0212,0.0146,0.0959,0.0419,0.0876,0.0882,0.0842
10dayPvalues,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30dayPvalues,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50dayPvalues,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80dayPvalues,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110dayPvalues,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130dayPvalues,0.0017,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0
150dayPvalues,0.0194,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0
180dayPvalues,0.0904,0.0,0.0007,0.0047,0.0,0.0,0.0,0.0,0.0
